rec_model,WAIC,WAIC_se,WAIC_scale
probabilistic_satisficing_with_active_gaze,-522.0919471858855,7.407544163439125,log
independent_accumulation_with_active_gaze,-502.2377434512246,7.918260194305043,log
GLAM_with_active_gaze,-518.0926450686939,7.97121223121526,log
