rec_model,WAIC,WAIC_se,WAIC_scale
probabilistic_satisficing_with_active_gaze,-510.55865484613963,5.683669511977505,log
independent_accumulation_with_active_gaze,-499.6006182040267,6.624364230184815,log
GLAM_with_active_gaze,-509.3596501117238,6.619726996249374,log
