b,p_error,v,s,gamma,zeta
1.0,0.05,5.7634086301881505e-05,0.004747357797928438,0.0025292993908354305,6.698095059467323
1.0,0.05,5.7634086301881505e-05,0.004747357797928438,0.0025292993908354305,6.698095059467323
1.0,0.05,5.7634086301881505e-05,0.004747357797928438,0.003428721809796793,6.1612425971436116
1.0,0.05,5.7634086301881505e-05,0.004747357797928438,0.003428721809796793,6.1612425971436116
1.0,0.05,5.7634086301881505e-05,0.004747357797928438,0.003428721809796793,6.1612425971436116
1.0,0.05,5.9685464215379944e-05,0.004747357797928438,0.003428721809796793,5.840442688172572
1.0,0.05,5.9685464215379944e-05,0.004438599686703037,0.003428721809796793,5.840442688172572
1.0,0.05,5.9685464215379944e-05,0.004552416788410764,0.005772511325286439,6.096967238690568
1.0,0.05,5.9685464215379944e-05,0.004552416788410764,0.005772511325286439,6.096967238690568
1.0,0.05,5.9685464215379944e-05,0.004552416788410764,0.005772511325286439,6.096967238690568
1.0,0.05,6.226751026977426e-05,0.004552416788410764,0.005772511325286439,5.006426981462188
1.0,0.05,6.226751026977426e-05,0.004552416788410764,0.00113136257328465,5.006426981462188
1.0,0.05,6.347618190197664e-05,0.004552416788410764,0.02208489427919176,5.61314467680462
1.0,0.05,6.347618190197664e-05,0.004552416788410764,0.0022488284172752725,5.61314467680462
1.0,0.05,6.347618190197664e-05,0.004552416788410764,0.0020136381822238275,6.10963349681048
1.0,0.05,6.347618190197664e-05,0.004552416788410764,0.0020136381822238275,5.323378930673312
1.0,0.05,6.478411567857476e-05,0.004552416788410764,0.0020136381822238275,5.323378930673312
1.0,0.05,6.478411567857476e-05,0.004552416788410764,0.0020136381822238275,5.323378930673312
1.0,0.05,6.870714248467138e-05,0.004552416788410764,0.00945016688288178,4.0204697900255635
1.0,0.05,6.870714248467138e-05,0.004552416788410764,0.00945016688288178,4.0204697900255635
1.0,0.05,6.870714248467138e-05,0.004552416788410764,0.003287889396256974,4.0204697900255635
1.0,0.05,6.787951806071606e-05,0.004552416788410764,0.003287889396256974,4.0204697900255635
1.0,0.05,6.787951806071606e-05,0.004552416788410764,0.003287889396256974,4.0204697900255635
1.0,0.05,6.787951806071606e-05,0.004552416788410764,0.003287889396256974,4.0204697900255635
1.0,0.05,6.787951806071606e-05,0.004552416788410764,0.003287889396256974,4.756477047402399
1.0,0.05,6.787951806071606e-05,0.004552416788410764,0.003287889396256974,3.05615412376032
1.0,0.05,6.787951806071606e-05,0.004283993053778436,0.003287889396256974,5.8151877821212725
1.0,0.05,6.787951806071606e-05,0.004283993053778436,0.003287889396256974,5.8151877821212725
1.0,0.05,6.787951806071606e-05,0.0039234529794331145,0.003287889396256974,5.8151877821212725
1.0,0.05,6.802212791966204e-05,0.0039234529794331145,0.003287889396256974,5.626487720332871
1.0,0.05,6.802212791966204e-05,0.0046466009483679925,0.008427452659928437,4.314762886634943
1.0,0.05,6.259985560222503e-05,0.0046466009483679925,0.008427452659928437,4.866477918395949
1.0,0.05,7.336360608143838e-05,0.0046466009483679925,0.008427452659928437,4.866477918395949
1.0,0.05,6.510700749728147e-05,0.0046466009483679925,0.008427452659928437,4.866477918395949
1.0,0.05,6.510700749728147e-05,0.0046466009483679925,0.008427452659928437,4.985859390620458
1.0,0.05,6.900559057830766e-05,0.0046466009483679925,0.008427452659928437,4.985859390620458
1.0,0.05,6.351500088581264e-05,0.0046466009483679925,0.009950072502859298,4.985859390620458
1.0,0.05,6.351500088581264e-05,0.0046466009483679925,0.009950072502859298,4.985859390620458
1.0,0.05,6.351500088581264e-05,0.0046466009483679925,0.005016352434092793,4.985859390620458
1.0,0.05,6.351500088581264e-05,0.0046466009483679925,0.0106253651914582,4.985859390620458
1.0,0.05,6.391058223366646e-05,0.0046466009483679925,0.0106253651914582,5.415709237184013
1.0,0.05,6.0630077819312525e-05,0.0046466009483679925,0.008319512987058695,5.415709237184013
1.0,0.05,6.0630077819312525e-05,0.0046466009483679925,0.0018514285327300719,5.415709237184013
1.0,0.05,6.0630077819312525e-05,0.0046466009483679925,0.0018514285327300719,5.415709237184013
1.0,0.05,5.994129004236106e-05,0.0046466009483679925,0.0018514285327300719,5.415709237184013
1.0,0.05,5.994129004236106e-05,0.004836838850937103,0.0018514285327300719,5.415709237184013
1.0,0.05,5.994129004236106e-05,0.004836838850937103,0.0151629208636686,5.415709237184013
1.0,0.05,5.994129004236106e-05,0.004836838850937103,0.0151629208636686,6.124015200125879
1.0,0.05,6.278507602805403e-05,0.004836838850937103,0.0011052310842519398,6.124015200125879
1.0,0.05,5.4773687236683284e-05,0.004836838850937103,0.0011052310842519398,6.124015200125879
1.0,0.05,5.4773687236683284e-05,0.004836838850937103,0.0017661074618419094,7.165270855731447
1.0,0.05,5.4773687236683284e-05,0.004836838850937103,0.0017661074618419094,7.782519379839826
1.0,0.05,5.491515305728872e-05,0.004836838850937103,0.0017661074618419094,7.52245137674553
1.0,0.05,5.453998473032898e-05,0.004836838850937103,0.0017661074618419094,7.52245137674553
1.0,0.05,5.453998473032898e-05,0.004836838850937103,0.005876049105725404,7.52245137674553
1.0,0.05,5.120976766820657e-05,0.004836838850937103,0.005876049105725404,7.52245137674553
1.0,0.05,5.120976766820657e-05,0.004836838850937103,0.020395062724918856,7.52245137674553
1.0,0.05,5.530571866173915e-05,0.004836838850937103,0.020395062724918856,8.297515961544452
1.0,0.05,6.061714230924039e-05,0.004836838850937103,0.020395062724918856,7.991863868057853
1.0,0.05,5.649228147757748e-05,0.004670068340207829,0.020395062724918856,8.26869252353999
1.0,0.05,5.649228147757748e-05,0.004670068340207829,0.020395062724918856,8.26869252353999
1.0,0.05,5.38026820318021e-05,0.004670068340207829,0.020395062724918856,8.26869252353999
1.0,0.05,5.38026820318021e-05,0.004156745644859448,0.00017592626626591884,7.073224905708464
1.0,0.05,5.38026820318021e-05,0.004509130993436844,0.0004767981860134087,7.073224905708464
1.0,0.05,5.38026820318021e-05,0.004509130993436844,0.0012620410531618148,7.073224905708464
1.0,0.05,5.38026820318021e-05,0.004509130993436844,0.0002685414098619609,7.073224905708464
1.0,0.05,5.38026820318021e-05,0.004792120540992613,0.009319713858203434,7.073224905708464
1.0,0.05,5.059524108438349e-05,0.004797740504267368,0.0004870319453236752,7.073224905708464
1.0,0.05,5.059524108438349e-05,0.004825672371576301,0.0004870319453236752,7.073224905708464
1.0,0.05,5.059524108438349e-05,0.004825672371576301,0.0002622414758795305,7.691724180226316
1.0,0.05,5.392934201278946e-05,0.004825672371576301,0.0002622414758795305,7.691724180226316
1.0,0.05,5.5212118383258606e-05,0.004682094940589067,0.0002622414758795305,7.691724180226316
1.0,0.05,5.48434222899008e-05,0.004682094940589067,0.0002622414758795305,7.809865036098289
1.0,0.05,5.48434222899008e-05,0.004404986973971033,0.0005401115598999385,7.809865036098289
1.0,0.05,5.1515919020387044e-05,0.004404986973971033,0.0007725774778791378,7.809865036098289
1.0,0.05,4.862499118696487e-05,0.0042419024283708055,0.0007725774778791378,8.826601214947182
