,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
b,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
p_error,0.05000000447034836,3.725476371840841e-09,0.05000000074505806,0.05000000074505806,3.7254763718408414e-11,2.6343864464297942e-11,10000.0,10000.0,10000.0,10000.0,
v,5.847522968735299e-05,4.218866085354091e-05,1.7095256115936528e-07,0.00013628676732418255,2.1306986171629676e-06,1.5077537111241662e-06,392.0553932502527,392.0553932502527,394.91595020132746,723.3125418166084,1.0033213481612837
s,0.02150934546785902,0.0020297404961944036,0.017711410074303782,0.025298717240796346,6.723931676006429e-05,4.78106547832731e-05,911.2435129067158,901.7428490946946,908.4798974885503,1620.2175572118613,1.000367783161756
gamma,0.12755137303684258,0.1801778897535904,2.9150812461338675e-05,0.5004803862913683,0.006956103830125485,0.004920848066206158,670.9202197685657,670.9202197685657,651.3289326894827,1306.443211904863,1.0016568239697843
zeta,2.9274611108548263,2.7465422544245914,0.0032035236938063815,8.462965909122968,0.11285126677447173,0.07983722231166829,592.3244948999561,592.3244948999561,545.3758107279872,1422.407293192723,1.0044447613158245
