b,p_error,v,s,gamma,zeta
1.0,0.05,0.0003103652411504328,0.03408398537477799,0.03656886008537298,1.244822670799556
1.0,0.05,0.0003103652411504328,0.03408398537477799,0.03656886008537298,1.244822670799556
1.0,0.05,0.0003103652411504328,0.03408398537477799,0.0068713656831285155,1.3195305673905762
1.0,0.05,0.00039845194667289635,0.03408398537477799,0.014314707671424055,1.3195305673905762
1.0,0.05,0.00039845194667289635,0.0379808876841703,0.014314707671424055,1.3195305673905762
1.0,0.05,0.00039845194667289635,0.0379808876841703,0.014314707671424055,1.3195305673905762
1.0,0.05,0.00039845194667289635,0.0379808876841703,0.002849056054369593,1.3195305673905762
1.0,0.05,0.00039845194667289635,0.0379808876841703,0.0361402062010212,1.3195305673905762
1.0,0.05,0.00039845194667289635,0.0379808876841703,0.0361402062010212,1.1012821391558012
1.0,0.05,0.0002944451871437371,0.039872237428590966,0.009640446415790037,1.1012821391558012
1.0,0.05,0.00028352993322777823,0.033502356678020234,0.013752183575432786,1.1012821391558012
1.0,0.05,0.00028352993322777823,0.034787977484601676,0.013752183575432786,3.69774246697392
1.0,0.05,0.00028352993322777823,0.034787977484601676,0.013752183575432786,3.69774246697392
1.0,0.05,0.000229838871269057,0.034787977484601676,0.013752183575432786,3.69774246697392
1.0,0.05,0.000229838871269057,0.034787977484601676,0.005303182683719296,3.69774246697392
1.0,0.05,0.00030529568179973697,0.034787977484601676,0.005303182683719296,3.69774246697392
1.0,0.05,0.00030529568179973697,0.034787977484601676,0.00534349783271021,3.69774246697392
1.0,0.05,0.00030529568179973697,0.034787977484601676,0.00534349783271021,3.69774246697392
1.0,0.05,0.00030529568179973697,0.034787977484601676,0.00534349783271021,3.69774246697392
1.0,0.05,0.00030529568179973697,0.032027588750614296,0.014169154510704171,4.268482393430549
1.0,0.05,0.00030529568179973697,0.032027588750614296,0.014169154510704171,2.8018450801345356
1.0,0.05,0.00030529568179973697,0.0375385905334377,0.014169154510704171,2.8018450801345356
1.0,0.05,0.00030529568179973697,0.0375385905334377,0.014169154510704171,2.8018450801345356
1.0,0.05,0.0002581656411235912,0.0375385905334377,0.030970908986861004,3.0714460905661207
1.0,0.05,0.0002581656411235912,0.0375385905334377,0.030970908986861004,3.0714460905661207
1.0,0.05,0.0002581656411235912,0.03598542409225052,0.030970908986861004,3.0714460905661207
1.0,0.05,0.0002581656411235912,0.03714304774949974,0.030970908986861004,3.0714460905661207
1.0,0.05,0.0002581656411235912,0.03714304774949974,0.030970908986861004,3.0714460905661207
1.0,0.05,0.0002581656411235912,0.03714304774949974,0.030970908986861004,3.9518634981817784
1.0,0.05,0.0002581656411235912,0.03714304774949974,0.01114550845238879,2.637414886490288
1.0,0.05,0.0002581656411235912,0.03714304774949974,0.01114550845238879,2.637414886490288
1.0,0.05,0.0002581656411235912,0.03907514064183333,0.08249165324624555,2.637414886490288
