,Unnamed: 0,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
0,b,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
1,p_error,0.050000004470348365,3.725476371840841e-09,0.05000000074505806,0.05000000074505806,3.7254763718408414e-11,2.6343864464297942e-11,10000.0,10000.0,10000.0,10000.0,
2,v,0.00019391388552929904,1.4013234456867413e-05,0.00016950373314722343,0.0002210928909717769,4.6210869880239255e-07,3.2686389062371364e-07,919.5778227661528,919.5778227661528,932.8207134860677,1207.2038353947555,1.0022164269885796
3,s,0.006683996898683168,0.0005159759073803817,0.005792191280449779,0.007717899172857491,1.3941391091609146e-05,9.860152033427555e-06,1369.7667695183852,1369.7667695183852,1369.2067578919239,1838.1669659117533,1.0052688046070992
4,gamma,0.004143612962419126,0.004020797589461415,3.0874887782845876e-06,0.011563382472673809,8.963498020300381e-05,6.339069172899529e-05,2012.1917681009327,2012.1917681009327,1735.4636465832048,1727.845093993219,1.0021349632772736
5,zeta,0.1648957589333675,0.1699881850697649,5.433733148466112e-05,0.4826278605704234,0.0046599617885827345,0.0033223186652180645,1330.6773451360668,1309.538931989598,1403.5904044016784,1654.0334443139068,1.0002252696417724
