Intercept__0,beta_size__0,frac_items_seen_sd
59.00964821300377,-61.13830278728754,11.463775645491918
59.429140343208424,-63.781762554903814,12.270497532028404
62.72233513554626,-61.82495276691606,12.720625165602442
59.99085285457171,-58.32646056064702,13.030190335806227
60.2959292725728,-53.333395975030875,11.322087036250153
59.26929298172479,-27.614111852640477,13.275512194945946
57.5849744040809,4.667667772929342,12.789012083299399
57.5849744040809,4.667667772929342,12.789012083299399
62.41994726438762,7.896033035034204,13.292581176506875
57.946795586412186,3.69477895112405,11.961556705107267
60.44685127743568,-64.68633479457685,13.754876839293718
61.45657447622341,-109.59452461789982,11.258514959131643
59.55271491155583,-14.21617463371345,13.733150153267554
57.3270244913635,-4.677091456536473,13.827337088134534
59.90239199801825,-3.2543300913817244,13.844915879797718
61.27992680909419,-4.379501398921125,13.853783605242246
60.45279738910023,-1.1465383473039141,13.85793080968754
60.45279738910023,-1.1465383473039141,13.85793080968754
58.56348878753657,6.932929130670013,13.785538483442311
56.89776392615829,8.065585685069907,13.835794479873776
60.12090237215024,15.117496334389127,10.668487534424273
60.56532899899645,24.633148894931157,13.764537976530741
58.555340634637616,32.355956372866224,13.713293395471414
58.017589512346824,27.979969752750588,13.771173900242877
60.68208065216901,35.3567865947602,12.120676810673627
59.0705574091781,7.033879776289087,13.369163584667989
59.0705574091781,7.033879776289087,13.369163584667989
57.66624156263976,40.11825790842373,13.576996314649334
60.62498818563335,44.63810063629164,13.595942725354973
55.2177163685212,39.10240548025245,13.014050265979927
62.79460320845693,24.244948487646436,13.713493105962689
63.33504844138892,25.59891991336946,13.641844921289433
60.23767108927476,18.986818831185538,13.072214832862699
60.23767108927476,18.986818831185538,13.072214832862699
57.772524227172234,19.955183856895054,12.565462220523472
58.10600662178237,-7.577914424022476,12.907930949897898
57.65810663607927,-9.30501843952386,12.36357839109888
61.40364085076242,-13.461293189749021,12.589850635918745
61.40364085076242,-13.461293189749021,12.589850635918745
60.36991831841983,3.73389585058876,12.791504205343045
61.83469399227065,-190.2657364367465,13.44211921434279
60.50000031678104,-189.90824607296824,13.485351859594193
64.05718626703542,-187.8921723026577,13.777089434549024
59.964411652907074,-187.6810839210088,13.879159328338268
64.35681162111402,-199.08664611972253,13.845743757472839
60.13926667027769,-187.99174710396656,13.863532631153248
63.33754725239119,-198.02219531792926,13.88401917801878
60.808807486266986,-159.31511985310414,9.963722629173175
60.808807486266986,-159.31511985310414,9.963722629173175
60.808807486266986,-159.31511985310414,9.963722629173175
64.09931398007616,-162.25442178904095,13.788045436568494
63.45665976332924,-162.8156624324344,13.778050200534881
63.03025224791596,-167.76376602213256,13.814672345705976
61.636914910558104,-135.92329458320378,11.062866529612132
61.636914910558104,-135.92329458320378,11.062866529612132
59.95734522976745,-154.8014959004978,13.751337792154896
62.268075865876106,-113.39256711699838,12.9669068268151
61.117720765275614,-145.50777585315873,11.851067679773776
63.3346730036657,-136.48351907653714,12.814528885670954
61.52312677003274,-116.0024758495875,12.226595302345967
61.467399539882614,-103.04116697562674,12.46577183580952
61.16890512992492,-75.97388432665876,13.139171856332968
60.89814661574148,-80.6026009337047,12.746825279849896
63.475373454811525,-86.33197707691868,13.16913258510021
59.396912556564295,-89.1089350951337,12.283985573685476
61.317919798613794,-94.1692111536408,13.658207893680656
59.56452927804966,-77.68987929126084,10.480728003843453
62.726131940718595,-71.63010937944699,13.30662153343912
59.29567236730499,-135.303067956744,13.395005840106665
61.50339230197293,-90.83987481048658,13.53111449778162
64.11265741721974,-139.60095639586592,13.693184580160459
61.316522730547845,-114.7817392253435,13.80169836246921
57.855903674581484,-115.4586323613209,13.615319795329327
64.91169832170658,-113.10301852303974,13.650986670942384
64.91169832170658,-113.10301852303974,13.650986670942384
64.40523341686523,-110.50122236837832,13.815933513370855
58.24490157678552,-104.93383027819253,13.85743589422138
57.54635098695694,-105.2024714402158,13.764253695013334
59.31769213296628,-100.11582480327098,13.804470153605305
62.976606196899205,-96.19713664615458,13.826770087399238
59.939250469816805,-99.61443544892424,13.78120520000029
58.211830034215815,-100.34236026041813,13.807540077854366
60.656682694353385,-97.96870467288223,13.820880748312716
62.54981466069374,-102.1625439103367,13.7110417891434
60.47296016276411,-99.00180000919798,13.699706035259087
64.24100285416614,-100.16518807668362,13.764938982677057
57.64627031538354,-112.9858458148645,11.967221333788476
65.54210708096691,-108.91314152864442,13.601672465894746
59.408168416681676,-102.33816703852958,11.570633223525444
64.10193503291767,-106.25673369002884,13.355436845881036
61.48801302097787,-106.30048529905169,11.778056138633428
61.65554777795205,-98.54401848406364,13.300709638095157
60.110695124648714,-118.77944483780794,12.139886218283474
60.110695124648714,-118.77944483780794,12.139886218283474
57.9500363049466,-64.80494477475104,12.96411311359703
62.773746366932706,-71.46966489799703,11.541534193748214
59.69383902943513,-66.56748128841936,13.083111818722207
61.55955718758852,-81.5244570654557,12.244889502239587
60.275579785281074,-83.30816840676765,12.835063734625585
59.242992009687995,-51.05693173672777,11.928850309327382
58.53884017362952,-48.29014968009,13.324407253446177
58.79548976698759,-72.2256560694111,12.251386087773335
58.79548976698759,-72.2256560694111,12.251386087773335
60.05759694436634,-31.716279280492387,13.25459880495318
57.85466070457758,24.324827599444973,13.298603559946095
57.85466070457758,24.324827599444973,13.298603559946095
63.4324051884812,25.535170961581006,13.74572434917201
56.32652901805754,22.546585083285883,13.492897670345835
58.679621684909456,29.247196349077356,13.592703720583629
60.01899207052012,25.777563122337543,11.272070002981549
61.03740692674167,-13.4671431293336,13.756426323592153
60.0783061543587,-25.874880389281138,13.41389350105037
57.28822009735856,-19.292254270603188,12.052731904767791
59.785048326465756,-29.666045371808057,13.226587527919788
58.642355546713894,-140.8474655388232,13.098214445464953
64.83029531602115,-128.21430773143615,11.549726723106915
59.551714502219895,-107.6357929144349,13.768455041766233
