,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],6.358,0.32899999999999996,5.795,7.023,0.013000000000000001,0.009000000000000001,632.0,625.0,628.0,1164.0,1.0
row[0],-0.114,0.044000000000000004,-0.203,-0.035,0.001,0.001,3587.0,3119.0,3606.0,2634.0,1.0
column[0],0.11199999999999999,0.044000000000000004,0.027999999999999997,0.195,0.001,0.001,4064.0,3632.0,4087.0,2827.0,1.0
size[0],0.035,0.005,0.026000000000000002,0.045,0.0,0.0,1270.0,1270.0,1268.0,1721.0,1.0
rating[0],0.391,0.066,0.263,0.505,0.002,0.001,1710.0,1710.0,1713.0,2463.0,1.0
setsize[0],-0.196,0.006999999999999999,-0.21,-0.182,0.0,0.0,2803.0,2792.0,2798.0,2318.0,1.0
cumulative_gaze_sd,3.7310000000000003,0.044000000000000004,3.6489999999999996,3.8139999999999996,0.001,0.0,5793.0,5767.0,5869.0,2805.0,1.0
