Intercept__0,beta_row__0,p_choose_last_seen_sd
39.680775228395824,-9.00014466986243,19.21883300074299
40.15010235008909,-35.47161209906401,22.23167144647927
37.18060609758256,-27.01010059198164,20.975825244665167
43.872678283914915,-23.286323373887,21.02557075462972
35.131162275882176,-28.602503825720667,21.069106325639993
44.39640331640604,-12.54953837257881,22.8950763337981
40.2385454416841,-7.576905119531585,20.22553424800636
40.2385454416841,-7.576905119531585,20.22553424800636
40.2385454416841,-7.576905119531585,20.22553424800636
45.628539692453394,-23.80249496847045,21.915284670002436
51.71053483327196,1.286904403727109,22.513336669747225
41.048340411275205,13.297858420534453,21.11773403364256
29.394768558619027,-69.10544677292805,22.09310590509964
27.908917486550123,-66.34527996966933,22.278835233810174
29.60581218745617,-65.55402355604825,21.904084113363066
26.2293102100908,-69.04411663556095,22.425529101716606
29.12342661006458,-71.55099799406707,22.199900643506854
47.147801028813106,7.633780087297884,19.36042295385628
45.83747204632767,7.4673689597525374,20.880702509936427
45.83747204632767,7.4673689597525374,20.880702509936427
44.93891337762595,-1.9623872048722593,20.796324524295706
42.90979916415973,-3.942468170393056,21.85579661372206
49.900587787334274,8.502313955549244,22.453008702726862
48.45546616449792,12.059482745607223,21.944824732655974
49.99719812308163,12.488313834274374,21.19799326868566
52.70136130892164,16.834356982569485,21.47976825679776
47.37640560466964,14.395148149269176,20.381423639744174
45.40284346316167,2.2281592808528563,21.286361873431726
38.71825629965308,-23.64515894578574,21.679642108456253
39.03489498733763,-25.678906419166683,21.898298942430557
46.20316102505402,-24.750625655667193,19.81325556414897
37.88498728322687,-17.80352852856659,20.98382418092006
38.81203421276811,-22.42587680884715,21.080560451300283
45.98428239005546,-9.909014851090937,22.206182257901418
42.704581103530586,-29.33654063338701,21.59384925365361
45.24526137297611,-8.633573673712178,21.55673840001515
45.24526137297611,-8.633573673712178,21.55673840001515
44.5857495324685,8.1289433025676,20.969869756729548
48.58280626287941,19.601521960738822,22.679930526370576
37.70287606689211,-12.119653777540677,20.151404519854154
39.525945638923204,-12.386986689317457,20.321130037195136
42.95666039261396,-21.78715510266638,21.907159675812785
50.49590568281406,15.348822046943411,22.71446329777029
46.925154289282645,27.19929602776078,20.589188641609457
48.2728947885624,26.54553413499237,20.88843629409562
44.25476393084801,21.60154538110898,22.100859233456177
35.25187730430245,-32.020699796496366,22.072237995561014
33.072934890471295,-35.699742900703974,20.263865837797358
38.8121402168895,-33.69892026122334,21.007131301881458
37.65021700234185,-32.8798005502284,21.276359143340095
43.28361288280649,-37.96198278255025,21.719414967928202
47.214983865516174,6.345297710749209,21.638373976845383
42.21678236623416,6.362659705289646,21.375233446678752
49.590241715656404,6.322218084850814,20.230607660528616
41.614705682281965,2.681496040317894,20.77043844086927
46.72940462483741,-4.899367622691605,21.4293251382792
45.59105858015101,1.581907869125861,21.649212324341764
44.796057340945666,15.297615537563036,22.7342938192007
50.043416305369696,9.010192072723537,19.05042431177869
51.80228241330552,10.459095509841813,20.482683049106825
44.22454895908987,19.945605410211748,22.523866718489312
42.32588891304545,-28.188257839871262,20.073281230778584
42.10108244125129,-26.011526182293125,21.804574653141614
36.508477317698656,-25.591507292298218,20.841743581610565
41.31822899927009,-22.149414713806124,21.990592848268598
40.19592955532195,-23.62928310510497,19.890361327506973
37.695790496919926,-26.93267451436931,22.264513577434105
33.52435199634087,-23.56385008126427,20.421541357428502
36.70784845013707,-29.53858791205812,22.061345922003856
43.924992711987805,-28.97652870708591,20.307424702650962
