Intercept__0,beta_size__0,p_choose_last_seen_sd
44.44768359002457,-162.83313049053658,20.717727831888972
44.70028482587759,-161.97288296055518,20.732807703152137
47.519489810738975,-166.57120278993875,20.401040080286858
48.107918754368946,-282.5383053326058,18.7542344229161
48.107918754368946,-282.5383053326058,18.7542344229161
50.51065878563402,-308.1483682294435,21.019297167142977
46.24524836193518,-310.4845211387243,20.58065676547738
46.24524836193518,-310.4845211387243,20.58065676547738
48.56916005257941,-322.1703719633888,21.939217383866634
49.42105462626677,-323.02284061183,21.586121471847623
54.345541891762196,-246.51577174977334,21.446356989387855
54.345541891762196,-246.51577174977334,21.446356989387855
54.345541891762196,-246.51577174977334,21.446356989387855
49.34065436521607,-192.31637640801267,21.254171361575576
48.66674090668707,-264.5752341103994,20.937427409067585
49.99247706358184,-303.84300381146926,20.949500321905095
52.448478641304995,-299.74126286295245,20.166533436056255
46.84538374661865,-280.8696459782852,20.58779701066019
46.02914963021156,-237.65497332043498,21.07990704255769
46.3061099456572,-237.68111179082578,20.868472813500464
47.88476211209209,-237.46606435162474,22.382063740575184
49.06217057740439,-239.71024429954542,22.098633975984423
42.34863901536151,-236.32407985157496,21.235761017897147
49.712232472078135,-237.60997461000642,21.98047665557835
50.11145116777362,-251.7435395907451,21.94737724463365
43.36439555389401,-243.74283641551338,19.881062036977475
49.50251731541895,-189.10396018010013,21.467843964561837
48.7029705676934,-247.66510118997587,21.552877569071843
48.7029705676934,-247.66510118997587,21.552877569071843
52.00078317678826,-243.57582449964528,20.09807403419161
47.72722980010915,-202.41398706005114,20.87795406942807
44.20573656014786,-144.86792545862164,19.701009493938972
49.13788956669671,-137.900358769821,21.495341578176745
42.80405324055984,-86.43089647012145,20.43256875393501
49.09597924098517,-76.07620720590488,22.245530647062463
46.9471711735293,-62.63995054895216,20.304405183755588
42.913951655417094,-51.83186109432106,22.683567250466982
44.95159832275842,-49.83186413093218,22.84817510241621
44.29605699791013,-44.38662712808525,22.959563082396446
44.95577784034456,-43.1464793210349,22.94572955958256
46.364001414300034,-29.789391014118163,21.52354408639404
46.04115988308669,-39.26440395801533,22.28928991795877
44.09162018391474,-43.84732713084878,22.722321917158006
41.544373425646306,-47.630412428590894,22.60751023208446
47.09727479073212,-53.19285468603601,21.05163103597547
46.68084445211531,-54.00806947667233,21.23793204204536
44.92308219468689,22.58126665416191,19.777359350256923
49.322101201313906,24.976949967355655,21.045644037130945
43.59386352528269,-66.85596888932959,21.125268592787688
51.29356663619286,-233.57003606892363,22.8734538320903
49.9314582448971,-246.73513801507264,23.039883783499754
51.49010265746956,-244.39377048341868,23.0380523895248
45.68413546040949,-244.0192316104017,23.04057331971876
44.702405271670436,-223.96968674550166,23.035218655933896
45.538731467008596,-203.33277785101728,18.90743401431752
46.86923400486986,-197.6002222065512,22.244821255658564
43.55304316726369,-191.18291548046656,20.438805768304874
43.6137277880546,-193.1074360097146,22.078561384379395
43.55214200839262,-192.96083384504303,20.232049904061867
50.509867605935376,-181.68000784552183,21.865277582881284
51.84203512628833,-184.82214020129055,21.294152188013964
