,Unnamed: 0,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
0,p_error,0.050000004470348365,3.725476371840841e-09,0.05000000074505806,0.05000000074505806,3.7254763718408414e-11,2.6343864464297942e-11,10000.0,10000.0,10000.0,10000.0,
1,v,1.072369517028548e-07,4.682390637403066e-08,2.2741627082455375e-08,1.9263326163829673e-07,2.1675356498894854e-09,1.5336381113508159e-09,466.6623752041464,466.6623752041464,470.7792835183285,1013.5812706154558,1.005282611517911
2,alpha,2.3533054069050706e-05,1.3951707148982575e-05,1.0141880447236977e-08,4.707757293685441e-05,6.613641016767138e-07,4.67961889893612e-07,445.0137882208232,445.0137882208232,450.90843080179224,750.3465685728951,1.004179957774204
3,tau,1.319473355195947,0.28452779928600924,0.8105724497272709,1.8435341740678604,0.006315818814989631,0.004466600287442411,2029.5048063575773,2029.5048063575773,1976.4217424033425,1705.351526746032,1.0005955226149523
4,gamma,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
5,zeta,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
