p_error,v,alpha,tau,gamma,zeta
0.05,5.051126347473491e-08,1.8253343079354758e-06,4.185086891066561,1.0,0.0
0.05,5.051126347473491e-08,1.9191533851653798e-06,4.185086891066561,1.0,0.0
0.05,5.051126347473491e-08,1.9191533851653798e-06,4.586965399755543,1.0,0.0
0.05,5.051126347473491e-08,1.9191533851653798e-06,4.586965399755543,1.0,0.0
0.05,6.668633419322064e-08,1.9191533851653798e-06,7.796550787009063,1.0,0.0
0.05,6.668633419322064e-08,1.9191533851653798e-06,3.911974657730189,1.0,0.0
0.05,7.859001495843414e-08,1.9191533851653798e-06,3.911974657730189,1.0,0.0
0.05,7.859001495843414e-08,1.9191533851653798e-06,3.911974657730189,1.0,0.0
0.05,7.859001495843414e-08,1.1883661442418712e-06,3.911974657730189,1.0,0.0
0.05,7.859001495843414e-08,4.0846568544793174e-07,3.911974657730189,1.0,0.0
0.05,7.859001495843414e-08,4.0846568544793174e-07,3.911974657730189,1.0,0.0
0.05,7.859001495843414e-08,4.0846568544793174e-07,5.007381765686299,1.0,0.0
0.05,5.443485678098435e-08,2.8104950030697716e-07,5.007381765686299,1.0,0.0
0.05,5.459438718800503e-08,2.8104950030697716e-07,5.007381765686299,1.0,0.0
0.05,5.459438718800503e-08,1.1592959476192375e-06,6.674813046872638,1.0,0.0
0.05,5.459438718800503e-08,1.1592959476192375e-06,7.7060307235511525,1.0,0.0
0.05,5.459438718800503e-08,1.1592959476192375e-06,4.39115568633661,1.0,0.0
0.05,5.459438718800503e-08,1.3944283110861249e-06,4.39115568633661,1.0,0.0
0.05,5.6337860758938774e-08,1.3944283110861249e-06,4.39115568633661,1.0,0.0
0.05,6.613317287736294e-08,1.3944283110861249e-06,4.39115568633661,1.0,0.0
0.05,6.613317287736294e-08,1.3944283110861249e-06,4.39115568633661,1.0,0.0
0.05,6.613317287736294e-08,1.3944283110861249e-06,3.1585686359096443,1.0,0.0
0.05,5.9265144077951034e-08,2.3309415479628508e-06,3.1585686359096443,1.0,0.0
0.05,5.9265144077951034e-08,9.743452369213308e-07,3.1585686359096443,1.0,0.0
0.05,5.9265144077951034e-08,9.743452369213308e-07,3.1585686359096443,1.0,0.0
0.05,5.9265144077951034e-08,2.538609295087877e-06,2.7922917537071785,1.0,0.0
0.05,5.671054497728897e-08,2.538609295087877e-06,2.7922917537071785,1.0,0.0
0.05,5.671054497728897e-08,2.0871140669950506e-06,2.7922917537071785,1.0,0.0
0.05,4.450014607722836e-08,1.0536889332440458e-06,5.497624011620921,1.0,0.0
0.05,4.450014607722836e-08,5.153954979278638e-07,4.2231646900784146,1.0,0.0
0.05,4.450014607722836e-08,2.1304098832746298e-07,4.2231646900784146,1.0,0.0
0.05,4.450014607722836e-08,2.1304098832746298e-07,2.0905618465283284,1.0,0.0
0.05,5.364871761271816e-08,2.1304098832746298e-07,2.0905618465283284,1.0,0.0
0.05,5.9170760323693837e-08,2.1304098832746298e-07,2.0905618465283284,1.0,0.0
0.05,5.9170760323693837e-08,2.1304098832746298e-07,2.0905618465283284,1.0,0.0
0.05,6.101600125813006e-08,2.1304098832746298e-07,3.3869114576804558,1.0,0.0
0.05,6.101600125813006e-08,5.603327729299116e-07,5.675189015758636,1.0,0.0
0.05,6.101600125813006e-08,5.603327729299116e-07,5.675189015758636,1.0,0.0
0.05,6.101600125813006e-08,1.6628137231983799e-06,2.600206101301021,1.0,0.0
0.05,6.101600125813006e-08,7.879326959180764e-07,2.600206101301021,1.0,0.0
0.05,6.101600125813006e-08,7.879326959180764e-07,2.600206101301021,1.0,0.0
0.05,6.101600125813006e-08,7.879326959180764e-07,3.214888454849632,1.0,0.0
0.05,6.101600125813006e-08,7.879326959180764e-07,3.214888454849632,1.0,0.0
0.05,7.338176499313347e-08,9.76069984023779e-07,3.214888454849632,1.0,0.0
