,Unnamed: 0,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
0,p_error,0.050000004470348365,3.725476371840841e-09,0.05000000074505806,0.05000000074505806,3.7254763718408414e-11,2.6343864464297942e-11,10000.0,10000.0,10000.0,10000.0,
1,v,8.307923287955866e-08,1.5035080986471936e-08,5.7303098159116924e-08,1.1294544074599399e-07,4.611839976326704e-10,3.2619586572308237e-10,1062.8282377859641,1062.8282377859641,1043.1023742502603,940.1931919726346,1.0011817415406494
2,alpha,5.418709428951651e-06,5.075208940130908e-06,1.1147228974870325e-09,1.5000402063783636e-05,1.6972465036271546e-07,1.228838578447887e-07,894.1657017719182,853.4638692778732,1028.2199196187223,758.7640901217939,1.0006077447267383
3,tau,5.102151321027329,1.5342218503772893,2.7082836416354934,8.275023761337481,0.044330857105361485,0.03274992422660729,1197.7441849638715,1097.884257949481,1282.2384919435353,1099.048104357231,1.0006715972307287
4,gamma,0.8292096655965694,0.11761091086949843,0.6217714853901457,0.9997707234595692,0.0030716286218711057,0.002187210346478377,1466.0804937622765,1446.3031544435073,1427.5679393103778,1991.1725082651747,1.000914183937903
5,zeta,1.1718021845316786,0.9908879879486348,0.0013296919472436824,3.0129127967835374,0.026965251001747514,0.019071431826800038,1350.3308600268092,1350.3308600268092,1246.5608036293327,1831.6083156011512,1.0005806970478242
