,Unnamed: 0,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
0,p_error,0.050000004470348365,3.725476371840841e-09,0.05000000074505806,0.05000000074505806,3.7254763718408414e-11,2.6343864464297942e-11,10000.0,10000.0,10000.0,10000.0,
1,v,1.01256742068107e-07,1.9033976837915087e-08,6.73995032800064e-08,1.3818707278343553e-07,5.266553549059562e-10,3.724847602074788e-10,1306.1891270331098,1306.1891270331098,1279.4670224664094,1387.9336068400119,1.000561352348917
2,alpha,6.98819049705113e-06,6.930232949695494e-06,2.0015459738480715e-09,1.9312092382360487e-05,2.2552540548575872e-07,1.5951982588223404e-07,944.2885450577521,944.2885450577521,981.5660824747084,1470.2641325318582,1.0031401864877003
3,tau,3.2860197919212166,1.0439713283761562,1.596627601118068,5.1941697290594115,0.0760663509326054,0.05387053910649473,188.3614293337817,188.3614293337817,182.22526874004367,717.1981368362589,1.0143245069287845
4,gamma,0.5475006030058408,0.18555771795584566,0.27019687620451976,0.915897940450434,0.01462291492306803,0.010358749372606451,161.02382511866912,161.02382511866912,171.8872279093797,700.2679002450293,1.0183487917333789
5,zeta,3.4163677404997754,2.5890662592273386,0.022822383012082826,8.241331045463632,0.20986041043032988,0.14867901716133355,152.20372950670588,152.20372950670588,165.1972587545511,486.88131896361085,1.0163187374662002
