subject,trial,repeat,choice,rt,item_value_0,gaze_0,stimulus_0,item_value_1,gaze_1,stimulus_1,item_value_2,gaze_2,stimulus_2,item_value_3,gaze_3,stimulus_3,item_value_4,gaze_4,stimulus_4,item_value_5,gaze_5,stimulus_5,item_value_6,gaze_6,stimulus_6,item_value_7,gaze_7,stimulus_7,item_value_8,gaze_8,stimulus_8,setsize,rt_choice_indication,best_chosen,best_seen_chosen,longest_chosen,fixation_count,refixation_count,seen_items_count,fixation_onset_0,gaze_corrected_0,fixation_onset_1,gaze_corrected_1,fixation_onset_2,gaze_corrected_2,fixation_onset_3,gaze_corrected_3,fixation_onset_4,gaze_corrected_4,fixation_onset_5,gaze_corrected_5,fixation_onset_6,gaze_corrected_6,fixation_onset_7,gaze_corrected_7,fixation_onset_8,gaze_corrected_8,v,alpha,gamma,zeta,tau
30.0,8.0,0.0,4.0,3937.0,1.0,0.06525858219703526,nr42.png,-2.0,0.11929435089521732,nr120.png,0.0,0.0756500761774549,nr92.png,3.0,0.12137264969130125,nr96.png,3.0,0.1338424424678048,nr81.png,0.0,0.09975834221202842,nr11.png,1.0,0.06068632484565064,nr60.png,0.0,0.0,nr53.png,3.0,0.0,nr52.png,9,1348.214572,1.0,1.0,0.0,9.0,2.0,7.0,353.0,0.07042525705868691,749.0,0.14128786741024102,1027.0,0.09617854950351414,2905.0,0.3062999705029457,0.0,0.1338424424678048,1863.0,0.1627875924774311,3549.0,0.23126374167470035,4811.627673,0.0,4811.627673,0.0,1.7e-07,1.5e-07,0.95,0.29,4.14
30.0,9.0,0.0,5.0,3266.0,0.0,0.07673027213415984,nr11.png,1.0,0.07673027213415984,nr54.png,3.0,0.08606233225858469,nr45.png,-1.0,0.05962149523938096,nr112.png,0.0,0.13842555851230187,nr19.png,3.0,0.08761767561265549,nr49.png,3.0,0.03888358385177019,nr97.png,3.0,0.0,nr72.png,2.0,0.0,nr21.png,9,1868.470979,1.0,1.0,0.0,9.0,2.0,7.0,573.0,0.0901156222463227,441.0,0.08663408459037834,1281.0,0.12884851987486595,2481.0,0.1670699223697693,0.0,0.13842555851230187,1819.0,0.16579443896432786,2749.0,0.13529735764206408,3857.6691020000003,0.0,3857.6691020000003,0.0,1.7e-07,1.5e-07,0.95,0.29,4.14
30.0,11.0,0.0,3.0,5942.0,1.0,0.07145172435448215,nr102.png,2.0,0.1880988165235464,nr87.png,0.0,0.07790820547085102,nr124.png,3.0,0.08952987148031498,nr75.png,1.0,0.11363406764809207,nr54.png,2.0,0.11492536387136587,nr9.png,3.0,0.04003018292148699,nr109.png,2.0,0.0,nr74.png,3.0,0.0,nr15.png,9,1385.3901340000002,1.0,1.0,0.0,10.0,3.0,7.0,540.0,0.08084755745919983,396.0,0.20562316391204327,1228.0,0.10589458767558343,3238.0,0.2953509458661254,0.0,0.11363406764809207,2282.0,0.2258411427032997,3690.0,0.19446020899322403,4646.493881,0.0,4646.493881,0.0,1.7e-07,1.5e-07,0.95,0.29,4.14
30.0,27.0,0.0,3.0,4689.0,3.0,0.15278537745773124,nr15.png,0.0,0.0733543431544221,nr113.png,3.0,0.07943103430330914,nr97.png,3.0,0.09375466343997144,nr98.png,2.0,0.0646733557988692,nr18.png,0.0,0.044707084881097495,nr114.png,0.0,0.04340493677776456,nr101.png,1.0,0.0,nr90.png,2.0,0.039932541835543386,nr21.png,9,1408.0605380000004,1.0,1.0,0.0,11.0,3.0,8.0,565.0,0.17413799492289495,1627.0,0.11339348891916175,1121.0,0.1049681844960412,3315.0,0.3341659650767141,0.0,0.0646733557988692,2263.0,0.08785506904433064,1361.0,0.061599667081396074,4607.770794,0.0,2515.0,0.08792171628519009,1.7e-07,1.5e-07,0.95,0.29,4.14
30.0,32.0,0.0,3.0,7050.0,2.0,0.07478120235385799,nr21.png,2.0,0.09237677937829517,nr91.png,0.0,0.07203189344378969,nr69.png,3.0,0.06983244631573504,nr97.png,2.0,0.16550839638611214,nr28.png,2.0,0.06873272275170772,nr18.png,0.0,0.058285348893448136,nr113.png,0.0,0.0,nr48.png,1.0,0.05223686929129786,nr55.png,9,1651.298458,1.0,1.0,0.0,11.0,3.0,8.0,567.0,0.08859133479868439,411.0,0.10414478567155606,1161.0,0.10580396519210432,1495.0,0.11856539398498075,0.0,0.16550839638611214,3381.0,0.9755042912355728,2091.0,0.13710344490616802,3637.277704,0.0,2571.0,0.1781899774207414,1.7e-07,1.5e-07,0.95,0.29,4.14
30.0,35.0,0.0,0.0,1392.0,3.0,0.19465707548046185,nr98.png,-3.0,0.05668585165090372,nr63.png,3.0,0.08288968873481202,nr65.png,2.0,0.0604292569486049,nr10.png,0.0,0.1080239814479486,nr53.png,3.0,0.15454916157652052,nr75.png,0.0,0.03315587549392481,nr83.png,0.0,0.036899280791626,nr113.png,-1.0,0.04278177483087073,nr93.png,9,1358.329302,1.0,1.0,0.0,14.0,5.0,9.0,373.0,0.2162219770837898,643.0,0.06845532482734247,1163.0,0.12029910430424873,2273.0,0.15406531758112446,0.0,0.1080239814479486,1511.0,0.2593195437584708,2549.0,0.10412203239234412,2729.0,0.13651062917460138,2921.0,0.195381596205412,1.7e-07,1.5e-07,0.95,0.29,4.14
30.0,42.0,0.0,0.0,1246.0,3.0,0.04790217788739837,nr14.png,0.0,0.060764799727533125,nr92.png,1.0,0.060764799727533125,nr54.png,3.0,0.050119871308111255,nr109.png,0.0,0.054111719465394455,nr101.png,0.0,0.0,nr113.png,-1.0,0.0572164902543925,nr12.png,3.0,0.08826419814437292,nr96.png,2.0,0.08116757919809169,nr87.png,9,1720.7250270000004,1.0,1.0,1.0,9.0,1.0,8.0,371.0,0.052196739017864285,667.0,0.07131350402238393,985.0,0.07774837194050803,1875.0,0.08579488894950824,0.0,0.054111719465394455,4509.1895509999995,0.0,2711.0,0.14347764386492085,2481.0,0.19623412407571364,3761.0,0.4891808493059265,1.7e-07,1.5e-07,0.95,0.29,4.14
30.0,47.0,0.0,1.0,2125.0,3.0,0.03894590286349698,nr97.png,3.0,0.04154229638773012,nr106.png,0.0,0.07677906564517976,nr48.png,3.0,0.0793754591694129,nr2.png,3.0,0.27336314676568835,nr46.png,2.0,0.09829204056025427,nr74.png,3.0,0.09736475715874246,nr75.png,0.0,0.039316816224101714,nr8.png,3.0,0.02448028179991239,nr107.png,9,1659.482631,1.0,1.0,0.0,15.0,6.0,9.0,427.0,0.04229526500447929,693.0,0.04766875534865779,965.0,0.0935150520716476,305.0,0.08413446524980735,0.0,0.27336314676568835,1421.0,0.13346445445415092,3041.0,0.22330022668009886,3321.0,0.10236132156716847,4749.0,0.2052574544873625,1.7e-07,1.5e-07,0.95,0.29,4.14
30.0,58.0,0.0,3.0,7494.0,2.0,0.1129345651132412,nr74.png,2.0,0.027302861895508863,nr27.png,1.0,0.0,nr56.png,3.0,0.13589378988901002,nr51.png,2.0,0.13837586824314718,nr18.png,3.0,0.11603716305591268,nr30.png,1.0,0.019856626833097357,nr90.png,0.0,0.0,nr19.png,0.0,0.0,nr48.png,9,1420.52254,1.0,1.0,0.0,7.0,1.0,6.0,534.0,0.13536100443898527,396.0,0.031127244791265107,3223.105341,0.0,2280.0,0.464423199571298,0.0,0.13837586824314718,1598.0,0.2301389273447721,2742.0,0.13302699959009606,3223.105341,0.0,3223.105341,0.0,1.7e-07,1.5e-07,0.95,0.29,4.14
30.0,65.0,0.0,1.0,1429.0,0.0,0.0611065186167564,nr124.png,3.0,0.05055175631022575,nr81.png,2.0,0.16998722451570414,nr21.png,3.0,0.03471961285042977,nr107.png,1.0,0.15276629654189097,nr84.png,0.0,0.05777343578311515,nr121.png,2.0,0.06388408764479077,nr9.png,3.0,0.0,nr75.png,3.0,0.03221980072519883,nr72.png,9,1873.6095050000001,1.0,1.0,0.0,10.0,2.0,8.0,383.0,0.06838094462282339,691.0,0.06255863669139113,921.0,0.2284203802097538,3475.0,0.9978401948550408,0.0,0.15276629654189097,2375.0,0.1697584246209262,3193.0,0.5647351480548951,3600.27056,0.0,2813.0,0.14734451647728325,1.7e-07,1.5e-07,0.95,0.29,4.14
