subject,trial,repeat,choice,rt,item_value_0,cumulative_gaze_0,stimulus_0,item_value_1,cumulative_gaze_1,stimulus_1,item_value_2,cumulative_gaze_2,stimulus_2,item_value_3,cumulative_gaze_3,stimulus_3,item_value_4,cumulative_gaze_4,stimulus_4,item_value_5,cumulative_gaze_5,stimulus_5,item_value_6,cumulative_gaze_6,stimulus_6,item_value_7,cumulative_gaze_7,stimulus_7,item_value_8,cumulative_gaze_8,stimulus_8,setsize,rt_choice_indication,best_chosen,best_seen_chosen,longest_chosen,fixation_count,refixation_count,seen_items_count,gaze_onset_0,gaze_onset_1,gaze_onset_2,gaze_onset_3,gaze_onset_4,gaze_onset_5,gaze_onset_6,gaze_onset_7,gaze_onset_8,v,alpha,gamma,zeta,tau
29.0,14.0,0.0,0.0,6765.0,1.0,0.19261628331193986,nr92.png,-3.0,0.08351533085956289,nr12.png,-1.0,0.047309262567844866,nr98.png,-3.0,0.11489392337905185,nr27.png,-3.0,0.1414450401263117,nr20.png,-2.0,0.06710191323398405,nr14.png,-1.0,0.09558402029013556,nr52.png,1.0,0.04151629164116999,nr69.png,0.0,0.04827475772229069,nr1.png,9,1358.08619,1.0,1.0,1.0,13.0,4.0,9.0,656.0,466.0,3458.0,948.0,0.0,1340.0,2128.0,1912.0,1670.0,8e-08,3.249e-05,0.6,0.27,2.52
29.0,16.0,0.0,7.0,1657.0,-3.0,0.0,nr94.png,-2.0,0.1554010107012313,nr91.png,0.0,0.008275793469296341,nr84.png,-1.0,0.1121829781393504,nr7.png,-2.0,0.1839065215399187,nr48.png,-3.0,0.0,nr120.png,-3.0,0.09011419555456016,nr54.png,3.0,0.07907980426216504,nr55.png,-2.0,0.16091820634742887,nr74.png,9,1216.471685,1.0,1.0,0.0,8.0,1.0,7.0,2175.018029,201.0,2157.0,611.0,0.0,2175.018029,897.0,1525.0,1743.0,8e-08,3.249e-05,0.6,0.27,2.52
29.0,19.0,0.0,4.0,866.0,-1.0,0.19612684778458056,nr50.png,-2.0,0.11979639891706813,nr14.png,-3.0,0.09912356901545018,nr72.png,2.0,0.0776556302714623,nr93.png,0.0,0.10018371413861007,nr1.png,-3.0,0.05565761896589448,nr11.png,-2.0,0.06678914275907337,nr109.png,-1.0,0.040285514680076,nr60.png,1.0,0.04982682078851506,nr9.png,9,1126.960082,1.0,1.0,0.0,12.0,3.0,9.0,736.0,512.0,2228.0,966.0,0.0,1970.0,1226.0,1536.0,1734.0,8e-08,3.249e-05,0.6,0.27,2.52
29.0,22.0,0.0,8.0,2237.0,-3.0,0.06967375174903055,nr121.png,-3.0,0.18961843830432368,nr90.png,-1.0,0.0,nr60.png,-3.0,0.0811390526697571,nr19.png,-3.0,0.09260435359048363,nr28.png,-3.0,0.11641690165660802,nr20.png,0.0,0.04762509613224874,nr84.png,-3.0,0.14640307329543129,nr111.png,3.0,0.0749654290970582,nr55.png,9,1316.711771,1.0,1.0,0.0,8.0,0.0,8.0,571.0,0.0,2267.711958,771.0,1005.0,1261.0,2159.0,1783.0,1569.0,8e-08,3.249e-05,0.6,0.27,2.52
29.0,24.0,0.0,4.0,189.0,-3.0,0.0874522350118859,nr27.png,-3.0,0.14730429656257374,nr120.png,-3.0,0.05520034692239606,nr49.png,1.0,0.12900755235795933,nr92.png,2.0,0.12466595203822033,nr76.png,-3.0,0.06636446203029639,nr90.png,1.0,0.06016217585924065,nr56.png,-1.0,0.048998060751340326,nr98.png,-1.0,0.05892171862502951,nr87.png,9,1551.140184,0.0,0.0,0.0,11.0,2.0,9.0,2751.0,253.0,2215.0,675.0,0.0,1939.0,2467.0,1497.0,1705.0,8e-08,3.249e-05,0.6,0.27,2.52
29.0,28.0,0.0,4.0,2396.0,-2.0,0.08182693852962569,nr113.png,0.0,0.11266027768571656,nr1.png,-1.0,0.038344024335138616,nr98.png,-1.0,0.0838034346293751,nr99.png,1.0,0.10277779718696947,nr56.png,1.0,0.13361113634306032,nr92.png,-3.0,0.06996796193112922,nr102.png,-3.0,0.09487181278797184,nr49.png,0.0,0.10356839562686923,nr83.png,9,1454.836944,1.0,1.0,1.0,18.0,9.0,9.0,593.0,223.0,1833.0,779.0,0.0,1575.0,2331.0,1039.0,1359.0,8e-08,3.249e-05,0.6,0.27,2.52
29.0,30.0,0.0,4.0,1016.0,-3.0,0.06354354100898578,nr3.png,-1.0,0.06533121096064523,nr89.png,-1.0,0.04550432604224045,nr60.png,-3.0,0.08223281777633452,nr8.png,0.0,0.0949090228881015,nr75.png,1.0,0.11928634041073033,nr30.png,-3.0,0.08840840488206715,nr45.png,0.0,0.1729164389605137,nr83.png,-2.0,0.07443207616909331,nr29.png,9,1292.6588980000001,1.0,1.0,0.0,18.0,9.0,9.0,742.0,526.0,2246.0,960.0,0.0,1928.0,1232.0,1478.0,1692.0,8e-08,3.249e-05,0.6,0.27,2.52
29.0,32.0,0.0,8.0,1913.0,0.0,0.07843119588244662,nr96.png,-3.0,0.12300719929765012,nr3.png,-2.0,0.06150359964882505,nr101.png,-3.0,0.103822590232879,nr107.png,2.0,0.07843119588244662,nr100.png,-3.0,0.08153458852527726,nr46.png,2.0,0.11285064155747715,nr76.png,0.0,0.05868233360988812,nr53.png,1.0,0.09253752607713127,nr42.png,9,1453.410992,0.0,0.0,0.0,14.0,5.0,9.0,579.0,205.0,3203.0,795.0,0.0,1297.0,2197.0,1947.0,1555.0,8e-08,3.249e-05,0.6,0.27,2.52
29.0,41.0,0.0,6.0,4937.0,-3.0,0.11245217417466263,nr20.png,-3.0,0.1109528118523338,nr57.png,-3.0,0.08246492772808595,nr15.png,-3.0,0.15293495687754122,nr111.png,-3.0,0.050478531518404125,nr49.png,-3.0,0.05597619336694319,nr8.png,2.0,0.07196939147178409,nr100.png,-3.0,0.058475130570824575,nr88.png,2.0,0.10345600024068964,nr4.png,9,1465.269972,1.0,1.0,0.0,13.0,4.0,9.0,539.0,231.0,3671.0,777.0,0.0,1331.0,2337.0,2057.0,1599.0,8e-08,3.249e-05,0.6,0.27,2.52
29.0,43.0,0.0,4.0,1305.0,2.0,0.04969967969770254,nr51.png,-2.0,0.09605418864652124,nr74.png,0.0,0.0520890873754767,nr21.png,-3.0,0.1103906347131662,nr112.png,2.0,0.28075540213846384,nr100.png,-3.0,0.04826603509103804,nr111.png,0.0,0.0640361257643475,nr1.png,-3.0,0.05639002119547017,nr102.png,1.0,0.04014204898660589,nr42.png,9,870.175824,1.0,1.0,1.0,11.0,2.0,9.0,1948.0,194.0,670.0,1430.0,0.0,934.0,2212.0,2524.0,2812.0,8e-08,3.249e-05,0.6,0.27,2.52
