,Unnamed: 0,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
0,b,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
1,p_error,0.050000004470348365,3.725476371840841e-09,0.05000000074505806,0.05000000074505806,3.7254763718408414e-11,2.6343864464297942e-11,10000.0,10000.0,10000.0,10000.0,
2,v,0.000219819598292996,2.669802283749356e-05,0.00017248965697680814,0.0002707991144601537,8.202271444459005e-07,5.801479182436231e-07,1059.473077262203,1059.473077262203,1071.7841784177256,1785.599326157022,1.002139964843624
3,s,0.0058155962949390455,0.0003590894660265688,0.005193078648594357,0.006540274950574681,1.197951238985508e-05,8.473545659064262e-06,898.5185514728714,898.5185514728714,894.1125940505545,1499.053900502347,1.000750591879184
4,tau,1.9510948053556765,0.8649083811035492,0.878670810212045,3.4604414820927056,0.040192939613289576,0.02843862054368095,463.0636277851318,463.0636277851318,405.0611858883148,950.5907026412497,1.0025235894385591
5,gamma,0.7142151899996153,0.17801449458399815,0.4270109439983049,0.99979640240627,0.008106575100838759,0.00573568495946046,482.2096644564888,482.2096644564888,501.21608549357285,1297.0917333740667,1.0035139915957192
6,zeta,3.8281648189423048,2.457965177066362,0.02814212590262137,8.165288669849605,0.11905389505978975,0.08424148759091127,426.24984510002406,426.24984510002406,405.9375736941577,1430.710085780925,1.0048309087010645
