,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
b,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
p_error,0.05000000447034836,3.725476371840841e-09,0.05000000074505806,0.05000000074505806,3.7254763718408414e-11,2.6343864464297942e-11,10000.0,10000.0,10000.0,10000.0,
v,0.00030895552053644297,2.6057565955083198e-05,0.00025885618746799,0.00035402831072202346,1.6258921460040597e-06,1.1509874013512008e-06,256.8527530629923,256.8527530629923,256.0709875127942,400.3435274634979,1.0049769653111114
s,0.004705585997530379,0.0005170542910295548,0.003732278174817212,0.005695306995459416,2.6542234385434514e-05,1.87826377153792e-05,379.48737616240663,379.48737616240663,376.64984019257145,685.4397069065205,1.0031299679079604
tau,2.184087949032477,1.356633471189879,0.7142487178839952,4.14176948779011,0.0988660001114352,0.07001739568722325,188.29167889632842,188.29167889632842,203.30852849055256,303.02803628573275,1.0077217286240412
gamma,0.6972715671642886,0.17939589127651337,0.41434540907056316,0.99567243278592,0.00934418220134512,0.0066125700838295335,368.58901512988103,368.58901512988103,375.47633995887406,538.7207432420797,1.003479420240644
zeta,3.1981639216434226,2.3290888923374085,0.0015442569165936089,7.471953564514767,0.10372394660477299,0.07338637434454821,504.2130275513357,504.2130275513357,487.5808632256384,1336.9100742173443,1.0033421576260912
