b,p_error,v,s,tau,gamma,zeta
1.0,0.05,0.00036233808313849167,0.008870249513011021,5.681299157421867,0.8662628503443792,5.392159514365403
1.0,0.05,0.00036233808313849167,0.008808057406105218,5.681299157421867,0.8662628503443792,5.392159514365403
1.0,0.05,0.00036233808313849167,0.008808057406105218,5.681299157421867,0.8662628503443792,5.606494171614724
1.0,0.05,0.00036233808313849167,0.008808057406105218,5.681299157421867,0.9447477412904095,5.606494171614724
1.0,0.05,0.0003178768047632735,0.008808057406105218,8.737092198547765,0.9421765018964212,6.684750100828617
1.0,0.05,0.00028257928115472784,0.008808057406105218,8.737092198547765,0.9140910930017837,6.723843767712626
1.0,0.05,0.00028257928115472784,0.008808057406105218,7.522377911447716,0.9001475648999767,6.723843767712626
1.0,0.05,0.0004019005260847087,0.009342250816479039,7.522377911447716,0.9540921976694596,5.972792134582015
1.0,0.05,0.0004019005260847087,0.009086271210724672,7.522377911447716,0.9540921976694596,5.972792134582015
1.0,0.05,0.0004019005260847087,0.009086271210724672,7.522377911447716,0.9540921976694596,5.972792134582015
1.0,0.05,0.0004019005260847087,0.009086271210724672,9.344636303180476,0.9540921976694596,6.241805066235928
1.0,0.05,0.0004019005260847087,0.009086271210724672,9.344636303180476,0.9823350278356354,6.241805066235928
1.0,0.05,0.0004019005260847087,0.009086271210724672,9.344636303180476,0.93131131649745,6.730954320187335
1.0,0.05,0.0004019005260847087,0.009086271210724672,9.344636303180476,0.93131131649745,6.730954320187335
1.0,0.05,0.0004019005260847087,0.00947192286902,3.9461080080383915,0.93131131649745,6.0758996692542775
1.0,0.05,0.0004127353129293048,0.00947192286902,3.9461080080383915,0.8465417714651567,6.0758996692542775
1.0,0.05,0.0004127353129293048,0.00947192286902,6.539493090770687,0.8465417714651567,6.0758996692542775
1.0,0.05,0.0004127353129293048,0.009637870398673441,6.539493090770687,0.8465417714651567,6.0758996692542775
1.0,0.05,0.0004127353129293048,0.009637870398673441,6.795681694142846,0.923997736303786,6.0758996692542775
1.0,0.05,0.0004127353129293048,0.009637870398673441,6.795681694142846,0.8769191341589021,6.0758996692542775
1.0,0.05,0.00042787807691261644,0.009637870398673441,7.522080290432076,0.8693024938742029,6.0758996692542775
1.0,0.05,0.00042787807691261644,0.009637870398673441,7.522080290432076,0.9600965929478287,6.0758996692542775
1.0,0.05,0.00042787807691261644,0.009637870398673441,7.96246022426079,0.863173332248608,6.0758996692542775
1.0,0.05,0.00042787807691261644,0.009637870398673441,5.444200422858733,0.863173332248608,6.0758996692542775
1.0,0.05,0.00042787807691261644,0.008617607189045572,5.444200422858733,0.863173332248608,6.0758996692542775
1.0,0.05,0.00042787807691261644,0.008617607189045572,5.444200422858733,0.8999496145123757,6.0758996692542775
1.0,0.05,0.00042787807691261644,0.008617607189045572,5.444200422858733,0.8999496145123757,6.241096006480321
1.0,0.05,0.00042787807691261644,0.008883507722708253,5.444200422858733,0.8999496145123757,6.241096006480321
1.0,0.05,0.00042787807691261644,0.008858284283467811,9.680623252255362,0.8999496145123757,6.241096006480321
1.0,0.05,0.00042787807691261644,0.009407340732217542,9.42548400451657,0.8999496145123757,6.241096006480321
1.0,0.05,0.0003108075580768622,0.009407340732217542,9.42548400451657,0.7365197014406235,5.344680535453319
1.0,0.05,0.0003108075580768622,0.009407340732217542,9.42548400451657,0.7365197014406235,5.344680535453319
1.0,0.05,0.0003108075580768622,0.009003076755015509,8.546785143564184,0.7365197014406235,5.344680535453319
1.0,0.05,0.00039333774849828,0.009003076755015509,7.1435911448223655,0.7365197014406235,5.344680535453319
