b,p_error,v,s,tau,gamma,zeta
1.0,0.05,0.0004836871530163261,0.008272442974595087,2.8675650744980548,0.5925172171986081,1.9548406641223433
1.0,0.05,0.0004836871530163261,0.007064780578511005,2.8675650744980548,0.5925172171986081,1.9548406641223433
1.0,0.05,0.0004836871530163261,0.007084333470552204,2.1464937630220065,0.5925172171986081,1.9548406641223433
1.0,0.05,0.0004836871530163261,0.007084333470552204,2.1464937630220065,0.5044591794050037,2.7765276831477976
1.0,0.05,0.00046287847996053807,0.007304572647856448,2.1464937630220065,0.5044591794050037,2.7765276831477976
1.0,0.05,0.0003969336597547821,0.007304572647856448,2.1464937630220065,0.5044591794050037,2.7765276831477976
1.0,0.05,0.0003820938218407246,0.007304572647856448,2.1464937630220065,0.5044591794050037,1.9449826430700705
1.0,0.05,0.00045915727631951254,0.007304572647856448,2.1464937630220065,0.5044591794050037,3.7764621953203137
1.0,0.05,0.00045915727631951254,0.007304572647856448,2.1464937630220065,0.6123972881294549,3.7764621953203137
1.0,0.05,0.0004520610712772499,0.007304572647856448,2.1464937630220065,0.6069444873112506,3.7764621953203137
1.0,0.05,0.0004257104582887394,0.007312281316102995,2.1464937630220065,0.6069444873112506,3.7764621953203137
1.0,0.05,0.0004257104582887394,0.007312281316102995,2.1464937630220065,0.48631748389400814,2.504368279991577
1.0,0.05,0.0004257104582887394,0.007312281316102995,2.1464937630220065,0.48631748389400814,1.8038840079435545
1.0,0.05,0.0004257104582887394,0.007312281316102995,2.1464937630220065,0.48631748389400814,1.8038840079435545
1.0,0.05,0.0004257104582887394,0.007312281316102995,2.694782056463667,0.48631748389400814,1.5708001172301567
1.0,0.05,0.0004257104582887394,0.007312281316102995,1.6164824512525415,0.48631748389400814,1.5708001172301567
1.0,0.05,0.00047456630026796115,0.006634873858971257,1.6164824512525415,0.48631748389400814,1.5708001172301567
1.0,0.05,0.00047456630026796115,0.007362247286920502,1.6164824512525415,0.48631748389400814,1.5708001172301567
1.0,0.05,0.00047875967014654117,0.00748807157217235,1.6164824512525415,0.7315069154182279,1.5708001172301567
1.0,0.05,0.00047875967014654117,0.00748807157217235,1.6164824512525415,0.7315069154182279,1.5708001172301567
1.0,0.05,0.00045972835714777247,0.007156510751160306,1.6164824512525415,0.7315069154182279,1.2658025501928254
1.0,0.05,0.00045972835714777247,0.007156510751160306,1.6164824512525415,0.7315069154182279,7.872926902792199
1.0,0.05,0.0003755860422409213,0.008067493425167964,1.6164824512525415,0.7315069154182279,7.872926902792199
1.0,0.05,0.0004173431215760447,0.008067493425167964,1.6164824512525415,0.7315069154182279,7.872926902792199
