b,p_error,v,s,tau,gamma,zeta
1.0,0.05,0.0003490450307806106,0.009019176149228227,6.0334434922447535,0.7028708706815263,0.6716527034099298
1.0,0.05,0.0003490450307806106,0.009019176149228227,6.0334434922447535,0.4051923498270568,0.6716527034099298
1.0,0.05,0.0003490450307806106,0.008763344363923519,7.288109754060968,0.5178562537829526,0.6716527034099298
1.0,0.05,0.0003490450307806106,0.0076273923554290544,7.288109754060968,0.5178562537829526,0.2204739576610104
1.0,0.05,0.0003490450307806106,0.0076273923554290544,7.288109754060968,0.5178562537829526,0.6393851330200352
1.0,0.05,0.0003490450307806106,0.008436024526227803,7.288109754060968,0.5178562537829526,0.6393851330200352
1.0,0.05,0.0003490450307806106,0.008758000032289215,7.288109754060968,0.5178562537829526,3.3699769346998387
1.0,0.05,0.0003490450307806106,0.00938282321638935,8.99127877338874,0.6759281549649585,3.3699769346998387
1.0,0.05,0.0003490450307806106,0.00938282321638935,8.99127877338874,0.6759281549649585,3.3699769346998387
1.0,0.05,0.0003493297236101572,0.00938282321638935,8.99127877338874,0.8559702038369041,3.3699769346998387
1.0,0.05,0.0003493297236101572,0.00915960773605978,8.99127877338874,0.8559702038369041,1.6975380442812924
1.0,0.05,0.0003493297236101572,0.008250957948578958,8.99127877338874,0.8559702038369041,1.6975380442812924
1.0,0.05,0.00035919125176851383,0.008909871832781023,8.99127877338874,0.7031950550223676,1.6975380442812924
1.0,0.05,0.00035919125176851383,0.008969414864541484,5.909881076302337,0.7031950550223676,1.6975380442812924
1.0,0.05,0.00035919125176851383,0.008969414864541484,5.909881076302337,0.7031950550223676,1.6975380442812924
1.0,0.05,0.00035919125176851383,0.008114083688013201,8.041605840271847,0.7031950550223676,1.6881945886748826
1.0,0.05,0.00035919125176851383,0.007824822207283822,8.041605840271847,0.7031950550223676,1.6881945886748826
1.0,0.05,0.00035919125176851383,0.008257550249498298,8.041605840271847,0.7306254737040172,1.6881945886748826
1.0,0.05,0.00035919125176851383,0.008899550894472447,8.041605840271847,0.6577867127855584,1.6881945886748826
1.0,0.05,0.0002823772713850723,0.008899550894472447,8.041605840271847,0.6577867127855584,3.5428548400248014
1.0,0.05,0.0002823772713850723,0.008899550894472447,8.041605840271847,0.5052868681678727,0.7875848768194296
1.0,0.05,0.0003058499856815357,0.008854230771382247,8.041605840271847,0.5052868681678727,1.8521336674774225
1.0,0.05,0.00027531138436872314,0.008854230771382247,8.041605840271847,0.5052868681678727,0.8064621797270222
1.0,0.05,0.00027531138436872314,0.008854230771382247,8.041605840271847,0.5052868681678727,0.8064621797270222
1.0,0.05,0.000292353236494974,0.008854230771382247,8.041605840271847,0.5052868681678727,0.8064621797270222
1.0,0.05,0.000292353236494974,0.009449300694485576,8.230990154960194,0.5052868681678727,1.4297648928450837
1.0,0.05,0.000292353236494974,0.009449300694485576,8.42959527039638,0.7788760946814008,1.4297648928450837
1.0,0.05,0.00035506357794830155,0.009449300694485576,6.016328102793723,0.7788760946814008,3.6593440011497633
1.0,0.05,0.00035506357794830155,0.008550559251354329,6.016328102793723,0.7788760946814008,3.6593440011497633
1.0,0.05,0.00035506357794830155,0.00799731619548616,6.016328102793723,0.7888021958534028,3.6593440011497633
1.0,0.05,0.00035506357794830155,0.008588001997957322,6.016328102793723,0.8048060195591136,3.6593440011497633
1.0,0.05,0.00035506357794830155,0.008588001997957322,8.196659510029534,0.8048060195591136,4.035587065760444
1.0,0.05,0.00035506357794830155,0.008588001997957322,9.265840637580633,0.7709418632115392,2.915034330404997
1.0,0.05,0.00035506357794830155,0.008588001997957322,8.775433238107016,0.7709418632115392,1.4299949611107878
1.0,0.05,0.00035506357794830155,0.008757544116888977,9.135273739221438,0.5664979720305764,1.0416680896784565
1.0,0.05,0.00035506357794830155,0.007628937050895569,6.914755580841214,0.5664979720305764,2.8388401682095754
1.0,0.05,0.00035506357794830155,0.007628937050895569,6.914755580841214,0.5664979720305764,2.779937162014581
1.0,0.05,0.00035506357794830155,0.007628937050895569,6.914755580841214,0.640822016419594,2.6932849661510483
1.0,0.05,0.00035506357794830155,0.007628937050895569,6.914755580841214,0.640822016419594,2.6932849661510483
1.0,0.05,0.00035506357794830155,0.007628937050895569,6.914755580841214,0.640822016419594,2.6932849661510483
1.0,0.05,0.00035506357794830155,0.00954167865331752,6.914755580841214,0.5271700012453838,1.152588186467302
