Intercept__0,obs_rt__0,1|setsize_offset__0,1|setsize_offset__1,1|setsize_offset__2,1|setsize_offset__3,obs_rt|setsize_offset__0,obs_rt|setsize_offset__1,obs_rt|setsize_offset__2,obs_rt|setsize_offset__3,1|setsize_sd,1|setsize__0,1|setsize__1,1|setsize__2,1|setsize__3,obs_rt|setsize_sd,obs_rt|setsize__0,obs_rt|setsize__1,obs_rt|setsize__2,obs_rt|setsize__3,pred_rt_sd
-1260.0095575790438,1.1602496124904185,0.9716459631400036,0.6422264383494054,-0.843843904254177,-0.13030420892736336,0.4946079252369001,-1.944754134967592,1.7747201162025563,-0.5115844159856202,1904.8892438856567,1850.8779440503122,1223.3702345507772,-1607.4291767322597,-248.21508601876383,0.09940828670119867,0.049168126436634804,-0.1933246766122,0.17642188612584833,-0.05085573029616382,2323.7071473620417
-1260.0095575790438,1.1602496124904185,0.9716459631400036,0.6422264383494054,-0.843843904254177,-0.13030420892736336,0.4946079252369001,-1.944754134967592,1.7747201162025563,-0.5115844159856202,1904.8892438856567,1850.8779440503122,1223.3702345507772,-1607.4291767322597,-248.21508601876383,0.09940828670119867,0.049168126436634804,-0.1933246766122,0.17642188612584833,-0.05085573029616382,2323.7071473620417
-1260.0095575790438,1.1602496124904185,0.9716459631400036,0.6422264383494054,-0.843843904254177,-0.13030420892736336,0.4946079252369001,-1.944754134967592,1.7747201162025563,-0.5115844159856202,1904.8892438856567,1850.8779440503122,1223.3702345507772,-1607.4291767322597,-248.21508601876383,0.09940828670119867,0.049168126436634804,-0.1933246766122,0.17642188612584833,-0.05085573029616382,2323.7071473620417
-1229.1583486984607,1.1328541197883357,0.8038476584311772,0.5938722435352518,-0.7032186665190358,-0.3728031818046903,-1.4005293213235637,-0.5696023119192595,1.4547532100917113,-0.5967678163275913,1913.9525626930827,1538.5262858691854,1136.6433024265857,-1345.9271689177208,-713.5276051952222,0.14127234093390714,-0.19785605576995607,-0.08046905200619935,0.20551639147077208,-0.08430678640661476,2146.391581881218
-1229.2398851868302,1.13748201736457,0.8345127538780446,0.5595029970352083,-0.6782645326353551,-0.34622606922467947,-1.5849504988479541,-1.192994762850005,0.9510670837864882,-1.0640483734507622,1896.32914237641,1582.5108548637284,1061.0018385248077,-1286.2127994767395,-656.5585849211919,0.08994299461634923,-0.14255519418506157,-0.10730152153235084,0.08554182159679508,-0.09570369712481706,2148.6556185781747
-1203.2372986384048,1.127587706767676,0.8680682102503805,0.12176335655813186,-0.2519381844842389,-0.5155778064693252,1.9235464362840144,1.2367727720478678,0.7819133770168536,-0.061623825581314906,1648.6817220683752,1431.1681917484098,200.74902037508642,-415.36587985025494,-850.0237058300825,0.038706234142201146,0.07445323874620566,0.04787081649558394,0.030264922249733536,-0.0023852262216885393,2174.935439522793
-1140.7720908582019,1.0818172113915194,0.8496290710821611,0.26959483483034086,-0.07240419479511336,0.12016565565335016,-1.3902094341930058,1.4885160387849623,0.1986427936537727,-1.2548729338252427,1737.7508171960385,1476.4436125865366,468.48864453825587,-125.82044867362939,208.81796631050702,0.07463147765763978,-0.10375338432741535,0.11109015149161838,0.014825005216422684,-0.09365302132395548,2198.051478838552
-1581.169753567081,1.1933581964613857,1.8716209434769886,0.5474482928350357,-0.10650239720239632,-1.3481922262620534,0.191002691082866,-0.7690152457049587,0.9089554314679987,-0.2966324855729438,845.9103520137868,1583.2235311329953,463.09217810143167,-90.09148030779122,-1140.4497606995844,0.011034876280881798,0.0021076910654149114,-0.008485988094466136,0.0100302107310849,-0.0032733027791878896,2214.9298772263905
-1469.609741310978,1.163962539656993,1.620878882148228,1.1840037517428696,-0.2227697914113079,-1.5053965116902908,0.033927259719810754,-2.222280880220201,0.3343307130531311,-0.03214547017170277,912.4550447921591,1478.9791130132262,1080.3501963306246,-203.2674200005449,-1373.6066415043244,0.04243086849947987,0.0014395630957189903,-0.09429330779753174,0.014185942520894744,-0.001363960217709473,2236.68853014755
-1444.954412531383,1.2102997283072727,1.628552137890382,1.047747120169035,-0.2908671760775761,-1.2204390054688017,0.009520029312971745,0.4070123784892976,-0.9373755045987655,-0.038471909817729064,970.6320240300169,1580.7248578389526,1016.9769079212916,-282.32499584007303,-1184.5971820833638,0.06283932194671492,0.0005982321869399947,0.025576381888187158,-0.058904041118446174,-0.002417548726941259,2065.5836641091905
-1346.4040858655571,1.100974327684644,1.1895809397675674,0.7687321994313968,0.019146919702534904,-0.6216754341590691,0.231755764418059,1.7595755200706495,-0.47693216046069986,0.46959609893030696,1825.3720145450955,2171.427756487972,1403.222243521771,34.95025138974932,-1134.788939644137,0.009486656739089194,0.002198587384339347,0.0166924889654146,-0.004524491694122867,0.004454896996567192,2120.1535106997712
