Intercept__0,obs_gaze_influence__0,1|setsize_offset__0,1|setsize_offset__1,1|setsize_offset__2,1|setsize_offset__3,obs_gaze_influence|setsize_offset__0,obs_gaze_influence|setsize_offset__1,obs_gaze_influence|setsize_offset__2,obs_gaze_influence|setsize_offset__3,1|setsize_sd,1|setsize__0,1|setsize__1,1|setsize__2,1|setsize__3,obs_gaze_influence|setsize_sd,obs_gaze_influence|setsize__0,obs_gaze_influence|setsize__1,obs_gaze_influence|setsize__2,obs_gaze_influence|setsize__3,pred_gaze_influence_sd
7.535408031696632,0.3874195657531986,-0.29286803082558954,-0.8301453224540293,0.0665075874994627,-0.28319500548242904,0.01897200069441274,-0.18783041781370513,-0.19671417814876174,-1.5796979672084288,2.1577359566471435,-0.6319318806648185,-1.7912344115014962,0.14350581293744674,-0.6110600460723221,0.049227320736078294,0.000933940763188956,-0.009246388221706855,-0.009683711941063138,-0.07776429849790022,7.047064798808694
7.657533541781306,0.42070776595179066,-0.32880640903591235,-0.5575027054375989,0.10773988564377612,0.09122932090478883,-1.493569568796317,-0.7407069385200076,-1.1536770078157084,-2.4615245038219684,3.7314529833579937,-1.2269256559442838,-2.0802951334352815,0.4020263177121175,0.34041792165989804,0.021160732396285117,-0.03160502596053382,-0.015673901310093493,-0.02441265043413514,-0.05208766131227518,6.373871660675104
7.107609066680903,0.4160923453469128,-0.17135332040368936,-0.4135741458139641,0.15577286958560932,0.2558661485934489,-1.6406923054850249,-0.5974455548349231,-1.367690295827654,-2.6068630386464364,4.602110443398407,-0.7885869053408121,-1.9033138955700197,0.7168839499180707,1.1775242745540397,0.040972977933776335,-0.06722404962875454,-0.024479123534884063,-0.0560383443111865,-0.10681094175883757,6.349153601778872
6.419097821875407,0.3813703847880626,0.36572671177959104,-0.8167911239891104,0.21291417262037438,0.29479614012282396,-1.0608711433889795,0.8268390975489303,0.25085506976018385,-1.404724498775618,2.904918037095398,1.062406121696124,-2.3727112686153906,0.6184982203981687,0.8563586247088937,0.027842676926413006,-0.02953749250593372,0.023021413863181753,0.0069844766626855955,-0.039111290390026976,6.804654929674384
5.544440109161129,0.394197077495243,0.03408757883645374,0.029301362274988862,0.29247279615080957,0.04693432439221831,0.7529347688630286,0.19081413694800897,-0.17526179819685547,-1.1092549485304906,2.1034462682813975,0.07170139049828655,0.06163384113288664,0.6152008116372463,0.09872382949712018,0.01459135079073473,0.010986335335021224,0.002784236008039696,-0.0025573063777052777,-0.016185528070366786,6.430506242777659
4.477265648724128,0.3905684240877196,0.6519989839497442,0.44768728890836945,1.3986567574564435,0.5499049194663846,-0.8787532809442885,0.583783230228207,-1.4437690305581188,-0.5474077986298432,2.5034491170291364,1.6322462806728812,1.1207623481228255,3.5014660244811684,1.376658985088099,0.04708037465407368,-0.04137203369535357,0.027484733195909335,-0.06797318687262498,-0.02577216424805474,7.146171524865592
2.7520025339530614,0.3582614225835433,1.571271085159912,1.0869444778547717,0.9912904597231007,1.2484492940717913,0.7605052042590147,-1.685365502875721,0.5772201518145171,0.8197993889092008,3.072165680042456,4.82720510187135,3.339273520977097,3.0454085293148188,3.835443074520589,0.006931580827649782,0.005271503293169668,-0.011682247207315682,0.004001048137650604,0.005682505726682024,6.721298169528711
2.899792291001706,0.3666982527116123,1.303726098162137,1.2270391207057798,1.1820822726154079,0.762020153382951,0.5748495729953608,-1.54787212454553,0.45248541776177625,0.6294031247506939,3.0114588200685555,3.926117457263931,3.6951777826185856,3.559792085914353,2.2947923119750815,0.008578469960974342,0.0049313297940196295,-0.013278374523843365,0.0038816325640483236,0.005399315799017214,6.454007136738799
5.171424160714732,0.42659745674550364,0.8135049365633498,0.045339603782642734,1.9901055586504137,0.8834984128426665,-0.45597792640763607,0.5487854322804185,-1.5643696533015394,-1.2992651897809866,1.1643687776424785,0.9472197485923896,0.05279201903519001,2.317216776705284,1.0287179670106854,0.05493576254723201,-0.025049495091909128,0.030147946197137145,-0.08593983980986904,-0.07137612395169261,7.036702334835901
6.1643997131753565,0.36059584714859005,0.5898731434765424,0.08414733072821443,0.34783284046094964,1.150700713813818,0.054569230956041215,0.5509779607397538,0.011233127235705923,-0.12539316640579246,2.450844971103675,1.4456876272786003,0.20623206234704206,0.8524843678284253,2.820189057696005,0.049570665086846794,0.0027050330717687116,0.027312343962064157,0.0005568335880791154,-0.006215822656080786,7.080221046730519
4.656675308845859,0.3837167619679821,0.4413315112646772,0.2243649161582071,0.16559860301796336,0.0755560566470311,0.03782417462491569,-0.6998189261190295,1.241495859912934,-1.4662173709502158,4.4172425868022005,1.9494683464561071,0.9910742626383376,0.7314892015658991,0.33374943111210525,0.01175440750498633,0.0004446007620810225,-0.008225956837304994,0.014593048253170048,-0.017234516469038542,7.147605660506872
2.013031697118786,0.3375458871596197,1.037191675625305,0.7044203039660825,1.2874993538783726,1.0045654714351306,1.7446369347746744,-0.3971332722692405,1.7477997660594986,-0.883203601898068,4.803854330000673,4.9825177219932755,3.3839325273478558,6.184959346001689,4.82578618972282,0.00980923022480131,0.017113545351896447,-0.003895571697617682,0.017144570292131494,-0.008663547466391912,6.659523544299407
2.013031697118786,0.3375458871596197,1.037191675625305,0.7044203039660825,1.2874993538783726,1.0045654714351306,1.7446369347746744,-0.3971332722692405,1.7477997660594986,-0.883203601898068,4.803854330000673,4.9825177219932755,3.3839325273478558,6.184959346001689,4.82578618972282,0.00980923022480131,0.017113545351896447,-0.003895571697617682,0.017144570292131494,-0.008663547466391912,6.659523544299407
