Intercept__0,beta_size__0,p_choose_last_seen_sd
50.6599229858312,-188.90788759431433,20.397020498653365
50.6599229858312,-188.90788759431433,20.397020498653365
47.65978081389577,-164.65485980959323,22.92495776785508
46.631146035918874,-154.05354454200003,22.936277793001228
47.455183490277086,-204.26321044827876,22.40175843651291
48.01840465696145,-196.42426107622563,22.724229623971397
47.24598832729458,-193.84155374147,22.093485796642817
50.345282184519526,-194.30299503794012,21.83583310228604
48.5369547590002,-164.78750705951907,22.055506819835813
48.00610858539433,-158.31210806771557,22.16432349789854
46.3006857312475,-163.57209625823177,18.65670651282611
46.011540646367145,-158.2781251054351,22.010376205488164
45.987763003816376,-169.48184991210243,22.034118023684545
50.359368330748346,-169.1988594491712,22.410119037999245
44.96014070438855,-178.0792564565389,20.413542296680394
53.1026662508942,-164.74545428614906,22.238586329922654
41.24619537014989,-150.36715122894253,22.476936255394907
44.7507259653959,-148.33723968134476,22.094353570177937
49.28394653216046,-142.08047590823486,22.689405661208696
45.68120424319507,-145.014333912007,21.945409087983297
48.27095226822277,-142.1268642901,20.399197724680125
45.26074850323029,-120.58190355061632,21.981265895492193
46.55312209110835,-128.80544574141575,22.332795764463015
47.85054132072279,-132.8719564766122,20.6603600119917
45.33861198807361,-113.42018231261648,22.785436286156497
57.472974728767426,-116.84355269056186,22.011705085093634
52.45677848420769,-120.56052604843221,22.340640003906028
42.8206082483408,-225.71081666386223,21.83764990508224
44.1019617090716,-307.7453571664738,17.76912417245296
44.78473572530002,-305.8078135899355,21.792875622254435
56.41551140925576,-304.9966441322101,18.871125891967033
54.699812059487016,-303.25570909692567,20.370164612994493
51.62301030648328,-321.89745696310126,20.43216260335665
51.62301030648328,-321.89745696310126,20.43216260335665
46.97485792977686,-332.22990032168747,22.4443792037602
46.85904010430994,-331.4255497354653,22.815454370541715
41.10237577554619,-275.27852150247,20.063171082420727
41.10237577554619,-275.27852150247,20.063171082420727
49.76701876546202,-281.4479218248253,21.8164133874168
49.44416167255887,-274.5568576774682,21.86157683906277
48.457208825935744,-259.075084784609,21.503566596562848
44.00122016763645,-259.7957173034678,22.161543109509942
44.27841942892806,-254.83220219133563,19.923024267329225
53.12257358152022,-249.18125022741643,21.423841099982926
48.1577074825279,-160.48375865390648,18.94625453736178
51.62864071950416,-187.29524548434716,19.134005608918
49.3564118561519,-128.4782051008148,19.979580914431516
44.6805130867153,-135.32261186882104,21.476095928036052
46.31360556776531,-203.80049386927354,20.40410483842145
51.275992174659095,-202.72267180224478,22.282887306795594
44.387711745983815,-188.5828497359671,22.673364245210344
45.82444841917086,-197.0473192850919,22.75334934475701
