,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
1|subject[19],18.921,15.949,-9.958,49.234,0.386,0.277,1710.0,1657.0,1722.0,2026.0,1.0
1|subject[20],-30.565,18.583,-66.636,3.058,0.402,0.287,2136.0,2102.0,2138.0,2893.0,1.0
1|subject[21],152.056,15.733,124.85,183.983,0.377,0.271,1744.0,1691.0,1744.0,1962.0,1.0
1|subject[22],-1.604,18.102,-35.016,32.092,0.36,0.319,2533.0,1607.0,2529.0,2289.0,1.0
1|subject[23],-21.496,21.867,-64.347,16.838,0.39,0.319,3139.0,2351.0,3142.0,2627.0,1.0
1|subject[24],-16.661,15.757,-46.429,12.051,0.396,0.28,1580.0,1580.0,1581.0,2287.0,1.0
1|subject[25],-3.44,15.691,-32.624,25.608,0.399,0.282,1548.0,1548.0,1549.0,2445.0,1.0
1|subject[26],44.417,16.262,13.519,74.412,0.377,0.274,1864.0,1765.0,1867.0,2340.0,1.0
1|subject[27],-31.755,15.781,-62.567,-3.74,0.363,0.257,1890.0,1890.0,1888.0,2260.0,1.0
1|subject[28],-49.208,23.876,-94.672,-5.363,0.368,0.272,4219.0,3855.0,4210.0,2521.0,1.0
1|subject[29],6.514,17.097,-23.239,40.365,0.386,0.305,1964.0,1569.0,1976.0,2334.0,1.0
1|subject[30],-54.336,21.299,-93.622,-12.966,0.387,0.281,3027.0,2875.0,3025.0,2482.0,1.0
1|subject[31],46.789,16.832,16.447,78.539,0.393,0.278,1834.0,1829.0,1840.0,1915.0,1.0
1|subject[32],76.814,17.329,43.204,108.293,0.402,0.294,1854.0,1738.0,1862.0,1753.0,1.0
1|subject[33],39.237,25.35,-6.608,87.879,0.396,0.313,4106.0,3276.0,3976.0,2792.0,1.0
1|subject[34],-10.169,17.967,-44.608,23.221,0.353,0.285,2590.0,1990.0,2573.0,2464.0,1.0
1|subject[35],-40.649,17.92,-73.212,-6.616,0.363,0.269,2433.0,2218.0,2429.0,2017.0,1.0
1|subject[36],-41.847,18.554,-77.349,-7.343,0.358,0.255,2693.0,2647.0,2702.0,2502.0,1.0
1|subject[37],-45.707,21.608,-85.963,-6.02,0.359,0.272,3630.0,3162.0,3628.0,2731.0,1.0
1|subject[38],4.682,15.34,-24.111,32.021,0.393,0.278,1527.0,1527.0,1519.0,2579.0,1.0
1|subject[39],20.272,13.057,-5.393,44.114,0.374,0.265,1218.0,1218.0,1215.0,2162.0,1.0
1|subject[40],-10.226,22.163,-49.124,33.559,0.328,0.343,4565.0,2093.0,4552.0,2743.0,1.0
1|subject[41],8.567,14.332,-17.029,37.354,0.364,0.258,1547.0,1547.0,1546.0,2287.0,1.0
1|subject[42],68.629,17.826,33.771,100.487,0.4,0.283,1982.0,1982.0,1975.0,2695.0,1.0
1|subject[43],8.573,15.765,-20.416,38.34,0.358,0.253,1936.0,1936.0,1939.0,2476.0,1.0
1|subject[44],11.894,13.418,-12.527,37.849,0.392,0.277,1174.0,1174.0,1175.0,2233.0,1.0
1|subject[45],-72.624,22.824,-115.975,-29.693,0.426,0.308,2876.0,2742.0,2890.0,2354.0,1.0
1|subject[46],-47.14,20.589,-87.093,-9.15,0.377,0.278,2983.0,2742.0,2994.0,2456.0,1.0
1|subject[47],12.95,22.017,-30.011,53.52,0.36,0.354,3736.0,1936.0,3714.0,2822.0,1.0
1|subject[48],-17.624,22.349,-58.794,25.365,0.368,0.331,3683.0,2280.0,3675.0,2480.0,1.0
item_value|subject_sd,15.666,1.882,12.484,19.562,0.06,0.043,971.0,971.0,973.0,1614.0,1.0
item_value|subject[0],-7.877,7.223,-21.659,4.921,0.111,0.091,4233.0,3121.0,4221.0,2868.0,1.0
item_value|subject[1],-0.099,8.707,-15.981,16.423,0.163,0.126,2865.0,2376.0,2860.0,3027.0,1.0
item_value|subject[2],-8.671,6.444,-21.372,3.166,0.108,0.083,3539.0,2981.0,3535.0,2739.0,1.0
item_value|subject[3],-10.616,5.375,-20.516,-0.291,0.108,0.078,2466.0,2351.0,2447.0,2510.0,1.0
item_value|subject[4],15.968,4.561,7.006,24.306,0.098,0.07,2150.0,2150.0,2156.0,2609.0,1.0
item_value|subject[5],-6.534,9.209,-23.527,10.624,0.138,0.123,4457.0,2812.0,4453.0,2822.0,1.0
item_value|subject[6],-10.615,5.857,-21.673,0.474,0.095,0.075,3803.0,3017.0,3811.0,2646.0,1.0
item_value|subject[7],-8.976,6.277,-20.883,3.016,0.093,0.078,4563.0,3277.0,4569.0,2456.0,1.0
item_value|subject[8],36.468,5.369,26.832,47.356,0.11,0.078,2385.0,2385.0,2379.0,2768.0,1.0
item_value|subject[9],-10.812,7.362,-23.756,3.555,0.11,0.087,4453.0,3570.0,4480.0,2541.0,1.0
item_value|subject[10],0.168,7.825,-14.581,14.746,0.106,0.159,5428.0,1215.0,5465.0,2602.0,1.0
item_value|subject[11],-14.363,5.655,-25.143,-3.932,0.105,0.08,2909.0,2525.0,2893.0,2303.0,1.0
item_value|subject[12],42.226,5.008,33.525,52.32,0.102,0.072,2411.0,2411.0,2398.0,2846.0,1.0
item_value|subject[13],-10.56,6.012,-22.061,0.324,0.102,0.078,3449.0,3000.0,3460.0,2753.0,1.0
item_value|subject[14],-5.083,5.931,-15.799,6.389,0.1,0.084,3529.0,2480.0,3522.0,2951.0,1.0
item_value|subject[15],-12.354,8.342,-28.231,3.266,0.131,0.102,4076.0,3336.0,4047.0,2775.0,1.0
item_value|subject[16],-4.308,4.003,-11.876,3.074,0.096,0.068,1740.0,1719.0,1748.0,2630.0,1.0
item_value|subject[17],14.92,3.507,8.209,21.287,0.097,0.069,1310.0,1310.0,1311.0,2487.0,1.0
item_value|subject[18],22.673,5.874,11.581,33.453,0.107,0.076,2988.0,2953.0,2979.0,2743.0,1.0
item_value|subject[19],1.542,5.532,-8.836,11.794,0.103,0.077,2913.0,2586.0,2892.0,3035.0,1.0
item_value|subject[20],-1.787,7.173,-15.074,11.997,0.12,0.105,3551.0,2319.0,3553.0,2882.0,1.0
item_value|subject[21],35.406,4.371,27.002,43.196,0.106,0.075,1712.0,1712.0,1713.0,2877.0,1.0
item_value|subject[22],-14.938,6.026,-26.592,-4.087,0.097,0.074,3836.0,3287.0,3869.0,2641.0,1.0
item_value|subject[23],15.824,10.449,-3.95,35.093,0.139,0.115,5627.0,4104.0,5618.0,2369.0,1.0
item_value|subject[24],-7.774,5.258,-17.515,2.524,0.102,0.083,2670.0,2019.0,2700.0,2002.0,1.0
item_value|subject[25],4.358,4.439,-4.484,12.243,0.092,0.069,2316.0,2072.0,2312.0,2636.0,1.0
item_value|subject[26],-8.989,4.126,-16.587,-1.401,0.102,0.072,1650.0,1650.0,1652.0,2675.0,1.0
item_value|subject[27],-6.322,4.392,-14.435,2.057,0.095,0.07,2143.0,1978.0,2152.0,2390.0,1.0
item_value|subject[28],-6.541,9.017,-24.725,9.011,0.119,0.123,5702.0,2690.0,5665.0,2860.0,1.0
item_value|subject[29],-3.998,4.643,-12.948,4.309,0.096,0.071,2353.0,2157.0,2360.0,2829.0,1.0
item_value|subject[30],-13.713,6.974,-26.805,-0.585,0.11,0.08,3988.0,3776.0,3975.0,3139.0,1.0
item_value|subject[31],-2.075,4.669,-10.852,6.757,0.099,0.07,2236.0,2236.0,2229.0,2879.0,1.0
item_value|subject[32],6.416,4.357,-1.382,14.799,0.093,0.066,2187.0,2185.0,2190.0,2404.0,1.0
item_value|subject[33],11.139,9.251,-5.404,29.044,0.12,0.102,5931.0,4085.0,5931.0,3119.0,1.0
item_value|subject[34],-6.569,6.529,-18.427,5.904,0.112,0.082,3408.0,3177.0,3441.0,2969.0,1.0
item_value|subject[35],-5.831,5.116,-15.332,3.741,0.107,0.076,2277.0,2238.0,2267.0,2684.0,1.0
item_value|subject[36],-14.26,6.016,-25.084,-2.734,0.106,0.079,3206.0,2867.0,3213.0,2975.0,1.0
item_value|subject[37],-7.512,7.385,-22.616,5.324,0.102,0.093,5269.0,3159.0,5274.0,2592.0,1.0
item_value|subject[38],11.684,4.463,3.358,19.985,0.1,0.071,1998.0,1998.0,1994.0,2229.0,1.0
item_value|subject[39],2.021,3.845,-5.291,9.137,0.091,0.065,1776.0,1776.0,1779.0,2798.0,1.0
item_value|subject[40],1.426,8.102,-14.71,15.749,0.115,0.128,4956.0,2000.0,4963.0,3146.0,1.0
item_value|subject[41],25.45,4.459,17.323,34.212,0.094,0.067,2229.0,2229.0,2239.0,2272.0,1.0
item_value|subject[42],0.462,5.237,-9.1,10.77,0.095,0.084,3062.0,1935.0,3049.0,2861.0,1.0
item_value|subject[43],-6.64,4.101,-14.294,1.038,0.105,0.074,1523.0,1523.0,1528.0,2340.0,1.0
item_value|subject[44],-12.395,3.851,-19.337,-5.122,0.097,0.069,1579.0,1579.0,1580.0,2606.0,1.0
item_value|subject[45],-14.038,8.243,-29.063,1.863,0.128,0.102,4136.0,3267.0,4156.0,2670.0,1.0
item_value|subject[46],-8.969,6.04,-20.7,2.28,0.101,0.078,3576.0,3027.0,3581.0,2842.0,1.0
item_value|subject[47],11.229,7.971,-3.055,26.884,0.111,0.094,5181.0,3614.0,5147.0,3113.0,1.0
item_value|subject[48],-9.704,10.652,-30.769,9.385,0.142,0.136,5628.0,3084.0,5664.0,2789.0,1.0
setsize|subject_sd,0.995,0.189,0.645,1.345,0.005,0.004,1257.0,1257.0,1255.0,2037.0,1.0
setsize|subject[0],0.39,0.613,-0.7,1.573,0.009,0.008,4479.0,2659.0,4519.0,3071.0,1.0
setsize|subject[1],-0.173,0.694,-1.481,1.123,0.01,0.011,4550.0,1895.0,4569.0,2839.0,1.0
setsize|subject[2],0.005,0.733,-1.289,1.525,0.01,0.011,5890.0,2303.0,5897.0,3350.0,1.0
setsize|subject[3],-0.094,0.694,-1.356,1.233,0.009,0.01,5355.0,2218.0,5370.0,3232.0,1.0
setsize|subject[4],-0.043,0.535,-0.996,0.993,0.008,0.008,4284.0,2494.0,4289.0,3387.0,1.0
setsize|subject[5],-0.294,0.89,-1.979,1.353,0.013,0.013,4654.0,2457.0,4714.0,3332.0,1.0
setsize|subject[6],0.715,0.657,-0.454,2.005,0.009,0.008,4866.0,3300.0,4899.0,2931.0,1.0
setsize|subject[7],1.28,0.687,0.007,2.558,0.011,0.008,3818.0,3509.0,3840.0,3334.0,1.0
setsize|subject[8],-0.706,0.677,-2.052,0.503,0.01,0.008,4266.0,3354.0,4265.0,3162.0,1.0
setsize|subject[9],0.363,0.791,-1.004,1.961,0.01,0.011,5919.0,2440.0,5896.0,3085.0,1.0
setsize|subject[10],-0.117,0.756,-1.56,1.342,0.01,0.013,5627.0,1588.0,5683.0,3048.0,1.0
setsize|subject[11],-0.955,0.692,-2.238,0.375,0.011,0.009,4202.0,3018.0,4216.0,3025.0,1.0
setsize|subject[12],-0.793,0.693,-2.045,0.526,0.01,0.009,4370.0,3230.0,4424.0,3533.0,1.0
setsize|subject[13],-0.313,0.724,-1.687,1.061,0.011,0.01,4602.0,2521.0,4614.0,3191.0,1.0
setsize|subject[14],0.575,0.729,-0.758,1.97,0.01,0.01,5561.0,2415.0,5638.0,3127.0,1.0
setsize|subject[15],-0.062,0.788,-1.489,1.464,0.01,0.013,6012.0,1878.0,6053.0,2902.0,1.0
setsize|subject[16],-0.449,0.611,-1.627,0.659,0.009,0.008,4789.0,2604.0,4850.0,2763.0,1.0
setsize|subject[17],-1.235,0.495,-2.239,-0.369,0.009,0.006,3059.0,3059.0,3046.0,3236.0,1.0
setsize|subject[18],0.461,0.719,-0.965,1.745,0.01,0.01,5034.0,2760.0,5042.0,3388.0,1.0
setsize|subject[19],-0.082,0.625,-1.23,1.103,0.008,0.01,5565.0,2048.0,5572.0,2989.0,1.0
setsize|subject[20],-0.553,0.656,-1.729,0.743,0.009,0.008,5204.0,3073.0,5213.0,3197.0,1.0
setsize|subject[21],-0.837,0.578,-1.851,0.273,0.01,0.008,3641.0,2645.0,3631.0,2329.0,1.0
setsize|subject[22],0.172,0.66,-1.033,1.418,0.009,0.01,5263.0,2088.0,5281.0,2917.0,1.0
setsize|subject[23],0.481,0.764,-0.984,1.884,0.01,0.01,6064.0,3104.0,6117.0,3357.0,1.0
setsize|subject[24],-0.107,0.601,-1.254,0.989,0.009,0.009,4311.0,2342.0,4308.0,3079.0,1.0
setsize|subject[25],-0.383,0.553,-1.351,0.708,0.009,0.008,3984.0,2628.0,3991.0,3030.0,1.0
setsize|subject[26],-0.658,0.611,-1.787,0.488,0.01,0.008,3953.0,3114.0,3960.0,3084.0,1.0
setsize|subject[27],-0.158,0.616,-1.289,0.99,0.009,0.01,4729.0,1965.0,4759.0,2997.0,1.0
setsize|subject[28],-0.135,0.87,-1.757,1.523,0.011,0.014,6130.0,2041.0,6160.0,3384.0,1.0
setsize|subject[29],-0.377,0.657,-1.671,0.823,0.01,0.009,4747.0,2649.0,4752.0,2873.0,1.0
setsize|subject[30],0.581,0.734,-0.793,1.955,0.011,0.01,4794.0,2943.0,4860.0,3111.0,1.0
setsize|subject[31],0.69,0.581,-0.376,1.772,0.009,0.007,3844.0,3123.0,3840.0,2906.0,1.0
setsize|subject[32],-1.746,0.705,-3.046,-0.413,0.013,0.01,3154.0,2740.0,3190.0,2330.0,1.0
setsize|subject[33],1.682,0.9,0.087,3.399,0.015,0.011,3621.0,3141.0,3685.0,3140.0,1.0
setsize|subject[34],-0.108,0.684,-1.426,1.105,0.01,0.011,4940.0,2094.0,4967.0,2999.0,1.0
setsize|subject[35],0.032,0.655,-1.181,1.271,0.008,0.011,5947.0,1667.0,5919.0,2270.0,1.0
setsize|subject[36],-0.227,0.703,-1.574,1.084,0.009,0.01,5636.0,2377.0,5621.0,3206.0,1.0
setsize|subject[37],-0.137,0.757,-1.561,1.245,0.01,0.011,6140.0,2462.0,6164.0,3236.0,1.0
setsize|subject[38],0.629,0.565,-0.393,1.717,0.009,0.008,3606.0,2747.0,3617.0,2903.0,1.0
setsize|subject[39],1.306,0.487,0.386,2.206,0.008,0.006,3498.0,3425.0,3495.0,3113.0,1.0
setsize|subject[40],0.591,0.799,-0.836,2.142,0.011,0.01,4931.0,2948.0,5003.0,3568.0,1.0
setsize|subject[41],0.32,0.563,-0.74,1.352,0.009,0.008,3576.0,2547.0,3569.0,3177.0,1.0
setsize|subject[42],1.546,0.649,0.307,2.742,0.01,0.008,4056.0,3600.0,4095.0,3560.0,1.0
setsize|subject[43],0.269,0.601,-0.876,1.351,0.009,0.008,4476.0,2584.0,4488.0,3205.0,1.0
setsize|subject[44],-1.464,0.524,-2.433,-0.483,0.01,0.007,2610.0,2610.0,2613.0,3297.0,1.0
setsize|subject[45],0.032,0.83,-1.584,1.591,0.013,0.013,4392.0,2148.0,4427.0,3040.0,1.0
setsize|subject[46],0.596,0.792,-0.903,2.109,0.012,0.01,4497.0,2970.0,4516.0,3241.0,1.0
setsize|subject[47],-0.182,0.779,-1.709,1.183,0.01,0.012,6462.0,1995.0,6509.0,3285.0,1.0
setsize|subject[48],-0.356,0.791,-1.886,1.146,0.01,0.012,5771.0,2259.0,5838.0,3293.0,1.0
dur_sd,240.227,0.909,238.547,241.94,0.013,0.009,4625.0,4621.0,4620.0,2454.0,1.0
