,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
setsize|subject_offset[23],-0.06259306963520153,1.0234350911144763,-2.0606196947782216,1.7237087759208027,0.01409695067805738,0.016296051680125948,5270.7236601516115,1972.6692384780474,5254.142678588357,3275.481353929332,1.0006586135122733
setsize|subject_offset[24],-0.010755461723007922,0.990823415268313,-1.7619022548344891,1.9321510224943046,0.012417450257491596,0.017011908897960223,6366.894663496174,1696.7027881560555,6369.419491535823,2902.6260952454354,0.9998399212799769
setsize|subject_offset[25],-0.000709746395313021,0.9641914729180693,-1.7696939692493086,1.8480598663954506,0.014705068118329438,0.015392835391809313,4299.247936315827,1962.4041147153685,4297.737994815374,2962.9800307196815,0.9999740109719901
setsize|subject_offset[26],-0.010338227065587142,0.9900087536494,-2.0517749907104244,1.6816988304188698,0.013630738095951802,0.017036540932621705,5275.204773542375,1689.0217961088551,5280.174764483392,2866.5996771192936,0.999971571165918
setsize|subject_offset[27],0.06091724377696466,0.9921253580583271,-1.8293812503093703,1.8788839355816227,0.012984433533901815,0.016867507714235588,5838.309108012344,1730.4047691310411,5840.680065053816,3195.641365417925,1.0002614837972874
setsize|subject_offset[28],-0.024267285283202957,1.0341498555317028,-1.8816133794438479,1.9476936605366566,0.014200029482568393,0.017193156396382737,5303.816121702928,1809.5298745273876,5305.010758728951,2953.398638107892,0.9997527517443026
setsize|subject_offset[29],0.022013259876133385,0.9721128052937321,-1.743513700048526,1.8746835538788276,0.012785384595484476,0.015804195380546157,5781.036812938965,1892.3107430131734,5773.120326503925,2793.2618155468876,1.0001974775952311
setsize|subject_offset[30],-0.008362763219268923,0.9970042572536435,-1.9010503202348608,1.8026842157584364,0.0111614438502876,0.01818521841822948,7979.088240438105,1503.4726361065289,7930.779350532958,2605.303931839507,1.0007614435675578
setsize|subject_offset[31],0.0116149083140152,0.9895073485683328,-1.8707847447092365,1.8578460277299527,0.014396443885076677,0.01552188854559357,4724.192547026359,2032.5610189034787,4717.05670938641,3047.7100428498707,0.9998410288245619
setsize|subject_offset[32],0.01785507587355104,0.9902097248055713,-1.9905676503595835,1.742641932733933,0.01241118243722492,0.01733312026645324,6365.434524820975,1632.3981931792512,6350.104422347128,3057.1898007329355,1.0012385390103236
setsize|subject_offset[33],-0.02523738547735291,1.011972488023063,-1.92528023569551,1.8501383901203958,0.01475736865477627,0.016568006515736936,4702.399887517386,1865.9615758090804,4700.034117336565,2859.498117462954,1.000018213295249
setsize|subject_offset[34],-0.06579614380842484,0.9848063552551366,-1.874265266313806,1.8439781406087625,0.012563054269805404,0.017740846587814822,6144.848974591025,1541.3008321361933,6148.948897255953,2662.9926001435488,0.9998586692814783
setsize|subject_offset[35],0.05484192587981546,0.9978059788060991,-1.7654736185913977,1.9135073489645995,0.013339984010197606,0.01780706896622743,5594.761604071016,1570.50264828372,5585.853349082787,2820.8788389618526,1.0018815609735916
setsize|subject_offset[36],-0.02092803245255146,0.9842068731730189,-1.8745955759132622,1.7745215512352142,0.013372780246481475,0.016605542481932373,5416.632501109379,1757.0368481466867,5420.21943292867,2776.3160321401824,0.999613443245272
setsize|subject_offset[37],-0.01610971871518967,1.031873834206331,-1.9575389240636618,1.8749006196200626,0.014997288744116646,0.016720616816243674,4733.993897709905,1904.8098985738447,4740.1422326923785,2833.143573450924,1.0021869060464133
