Intercept__0,obs_rt__0,pred_rt_sd
-182.58098557838633,0.9717517534379071,500.2724352676788
-182.3840841509991,0.9774160842082744,493.2240083033281
-183.25769480508,0.9763950252212827,479.8118136824712
-215.60962102255743,0.9761110684545073,489.42310809947656
-215.70587247100778,0.9855316314997283,485.2444583682269
-299.6781441723754,0.9990581626575908,506.6088250422988
-299.8716060933185,0.9868198457832922,513.0619358962969
-300.1033095287435,0.9971320817874799,498.4592462971305
-300.0511449089675,0.9934189298900311,489.3712863293956
-290.83674219569156,0.9919998915451462,448.89461270453086
-292.5169531252852,0.992702043916953,555.8686220136058
-205.6873734712571,0.9793724722163082,478.44156790315293
-176.10421670681836,0.966895290093244,474.25946711794273
-294.99508626289065,0.9944575741023078,525.3918925323414
-294.9325857975778,0.9925244216578053,554.416883090927
-294.7759589630356,0.9910592786461533,509.7450069426555
-183.49694688130162,0.9813151715524404,495.62743957745397
-154.65308989977956,0.970360123025403,499.90118281234163
-116.46202179440351,0.9628976129720923,514.1091827949627
-116.1494509074897,0.9686926396411549,487.6429588528599
-116.16012515405708,0.9799233433392825,472.22721106446545
-125.33767267942713,0.9599912744469136,472.5393212458211
-125.30984203340302,0.9658426929467492,470.18909642088136
-125.17588015820303,0.9721726289339926,477.4833519614206
-175.8961661107175,0.9862424840066516,488.37242747218556
-175.9151132973648,0.9735086668557009,502.60238740366236
-175.9151132973648,0.9735086668557009,502.60238740366236
-289.06196175869394,0.9830310797701376,495.79618766149315
-114.81509242934291,0.9714270318836808,484.7861582708442
-166.1702462486041,0.9744388477927928,484.2239027842103
-166.48558605718367,0.9734262105331483,530.6116365085658
-207.40977835592238,0.9774276356843528,464.1867149874524
-18.830723652750304,0.9472404621308214,500.0232426309072
-18.830723652750304,0.9472404621308214,500.0232426309072
-30.987110349651445,0.9479173170256582,489.91959105141206
-31.25195182982693,0.9501440365482818,472.66149628093615
-31.25195182982693,0.9501440365482818,472.66149628093615
-31.029170853064386,0.9577126581446598,472.67299204365145
-42.83047571887367,0.9501174517334833,537.8649515479975
-42.93168577073638,0.9590093042227709,571.25583512731
-266.5537781801311,0.9842143954863795,495.87487349907093
-377.9193607702644,1.0169703911724306,505.07251884798967
-377.67781420950496,1.007179831650942,514.4142961228158
