Intercept__0,predicted__0,setsize__0,rt_sd
5070.838559408911,-1099.9233071318247,33.004939098533235,2871.9842833680254
5077.852538962592,-1103.4278161371092,3.9598753808924325,2981.8320889203105
4977.690037640573,-1006.5730537557773,18.873086220399635,2993.848359809183
5029.452797440069,-904.6656793514715,7.346204339098776,2891.9215675753712
5007.4368560824805,-935.4788171850867,11.459154754744912,2982.9429151803984
4939.495931224345,-1316.7438676837637,21.851028419188108,2959.3443410230857
4603.383169446597,-1408.1407034821164,37.99451969998802,2957.5003277676306
4290.504863538407,-1089.293833200941,45.6621693989805,2895.377649138695
4295.215626759782,-1100.9349422861078,45.67638984732407,3016.123950117586
4294.190351909174,-1098.8617367358509,49.023841684077475,3032.530686913874
4286.184627686818,-1106.6425096189091,50.08201774151478,3016.167670658303
4300.99945590836,-1108.7698254483144,50.2195453176245,2919.664586267692
4292.950910900839,-1109.5740617256163,46.10022941360591,3010.0364447791335
4282.811340605838,-1084.441661721167,52.48322200984658,3050.3341119531774
4285.013961578271,-1086.6586377058616,46.670053542537296,3019.169084963198
4323.002648199786,-1208.3298254798524,51.898742253287004,3059.0936316488014
4304.767374819186,-1237.112986428146,45.60917134110259,2855.18238583975
4505.937503977429,-1144.7041459412114,36.45048680653335,2961.5342891376486
4245.878954433085,-1003.7886847138461,50.05938316116731,2886.7868681012665
4245.878954433085,-1003.7886847138461,50.05938316116731,2886.7868681012665
4244.70628836587,-1000.0511538165105,58.0468677306601,3039.5771889891394
4241.539326899135,-987.5129331176399,50.54812084210435,2904.3598110360813
4214.927956552529,-1016.689370421282,55.11749886502378,2969.5966321153232
4237.135890819263,-1107.692836118965,43.97606289284946,2904.2652493181768
4234.011851719754,-1103.8302960556591,44.98868228806864,3024.9220505783137
4231.19948266701,-1084.773580574257,41.848964535440075,2907.0364794207253
4155.09526660536,-1041.2328542317896,50.104813239442116,2963.4764174981897
4173.2364527096615,-729.8574859079413,40.12667806096147,2969.280411095468
4175.154906785055,-730.7822227135363,53.464244228160254,2974.992667132164
4006.166386531902,-631.3819531282254,39.2570789170066,2861.5232906701117
4007.836315034512,-607.9172021951705,61.76206073487545,3012.67215870043
4004.4411081971107,-617.0154580774888,46.19443443857734,2814.905356637372
4006.313648705892,-620.4187467183207,43.72376139959942,2810.8849098237856
4028.801099990253,-668.8433117632759,52.89166777677687,3017.5265065881704
4023.177280756853,-669.3029511648184,55.82304379762272,3047.936542983477
4020.9046741570305,-657.9351289989733,61.821629193941945,3023.6486433679133
4022.9369213659197,-649.3619838134687,35.506732356569856,2954.846864407205
4042.610676782135,-666.7519994072999,58.67794469319481,2978.0074829355895
4462.254065333953,-1057.121891395892,46.27698128672321,2977.972501757292
4468.503944329668,-1034.2948644587552,37.97103842933457,2863.9885492119756
4465.514608019391,-1106.3670226652769,57.556238642119666,3022.4772495076218
4452.131600024247,-1098.6581988175208,35.48081062438963,2950.322705619299
4093.150862809033,-981.036166353957,56.188687013497784,2957.5429673390413
4371.99913338361,-1140.5074809204405,51.35775955628751,2941.2447741082055
4307.414534434533,-1222.794099184493,54.13119786584031,2985.082685254253
4315.784927304765,-1217.1357945954633,55.300737215556566,3041.7269039070925
4318.938689459954,-1222.5853343865442,44.3692616943828,3040.783170694385
4290.876331388556,-1220.030908838856,55.08591401840749,2934.52569134407
4342.778078757879,-1251.3347765525616,44.20194405151274,2861.524350442368
4164.856449255901,-1190.2800406333265,55.30197446622614,3052.184074138884
4182.0133758245565,-1190.8899677498337,48.43867840077288,3029.464658963356
4119.975829794376,-1314.2720081971602,65.43720609912617,2972.9627891694286
4100.55915249624,-1363.5360971916264,59.183762240511356,2892.638962897672
4106.800267101958,-1362.2483893790138,60.82751666567597,3013.068401497996
4157.819856642821,-1339.4946691298778,57.196684296629456,3028.2092080928537
4169.882474621313,-1323.640264462701,54.59342065520361,2977.60218448664
4114.58406402247,-1396.1786920382451,61.26167769095511,2988.7865758494727
4111.512963827675,-1405.142529066798,54.43667061526839,2828.456502667414
4147.274776752974,-1346.0764013669768,54.84233487071812,2975.342009436046
4649.399719654418,-726.333203816267,28.40627950271069,2973.865508330861
4585.835207396158,-1111.2554083339253,37.20456242831728,2861.4283894750656
4580.810940170338,-1117.7352749063948,43.32608922390348,2975.745431696672
4541.115736276727,-1384.7592467082789,53.1596896507745,2859.475343279253
4480.9746755940605,-1366.0742522340784,45.15625135436287,3035.3748835893352
4462.017496451742,-1365.0489410554615,51.85693565215663,2850.3022266280723
4465.297385317222,-1367.8319418446536,50.98381575653798,2989.3910376173512
4580.969225953189,-1432.0639035000358,49.82796369474603,2983.0541241870606
4521.956174273691,-1435.1161484850736,37.95333080780494,2911.0732491018803
4520.15319177201,-1432.679370054703,48.23471083195721,2851.6635105442174
4595.535283848413,-1436.4471464445637,40.26276760276514,2992.3068520361994
4598.9899069619605,-1444.6123411436517,55.506765298827105,2841.026389196153
4382.074124125238,-1378.9808181796132,44.072694139135336,2951.1858557771675
4133.031486414354,-1247.3845679621256,64.9331322503311,3035.6511982199477
4131.39001169529,-1238.8878411650903,54.25660160977471,3033.9603802519096
4120.414515054651,-1236.8341345991773,59.801218159866075,3017.9976192516247
4121.171234870492,-1229.8063892989558,48.94558597126526,3048.656566037147
4117.84429862508,-1281.1160693479455,57.03743768845902,2886.4209591453423
4579.010466848482,-1233.5934461761124,33.799759830761886,2902.7638006459956
4580.2368239769075,-1230.107620453544,45.656341396464,3016.841473314575
4575.028951399675,-1228.4082631179656,35.790710205265775,3031.537931216199
4916.817950973446,-1121.2304899237624,24.434049841141764,2911.64121763885
4865.829044758177,-1128.8640449733923,20.60972984336406,2909.2418676936545
4874.451017184154,-1076.3412124114643,27.231700723352628,3058.2786829199867
4850.125834136322,-1034.3212649385075,28.96104094743287,2786.969776498237
4849.306784502093,-1054.6881590840617,24.649947718464535,3056.5256023972624
4845.804977370908,-1050.6053874697013,28.975391612800607,3053.944897156618
4761.610197829833,-1143.0806383286913,26.0699068886766,3050.398272600261
4779.73582329207,-1158.3394935035317,33.34112443181562,3057.782476415752
4763.511808366487,-1147.1690087096597,27.74121292769364,3043.0167270424904
4684.091380225887,-1168.474595164004,35.44301238654494,2858.4374078080095
4687.274100216437,-1168.8430799998337,42.321744418133136,3033.6191515705386
4708.952577195474,-1159.4744230104786,37.40100736142756,3011.0715411136503
4694.077729352253,-1134.4599416911803,25.958520922235675,2834.831479466249
4689.925441752342,-1131.8650121765456,35.41332999065424,2978.090710301128
4736.495001201676,-1064.8986019175352,36.05710148870633,2901.3472741581177
4114.66205378743,-1409.458695335976,64.75472675780067,2950.298634492886
3935.4210464605394,-1451.095181366332,65.29106839853756,2907.999872145637
3805.3352520898225,-900.0911063347056,71.68871665506651,2894.7286460160644
3787.172428245721,-876.588619935953,57.414647864967,3001.9801092769526
3787.3781733696896,-871.1622650776111,60.05898248565312,2873.0986115811647
3796.936797612657,-869.1544584214541,63.74574787939691,3009.7111631716725
3782.949772183781,-872.3217672721642,68.82446284485746,2883.77028617828
3929.0161831778696,-987.2315984541816,58.967297901358755,3005.2937798024695
3826.834904228992,-1022.7292466510554,67.1907978608102,2982.1958934282134
3865.046889791803,-1043.3523361674975,57.654358328499214,2900.402411531937
3893.014177138167,-1073.0476710106266,56.80778695021059,2905.2595265007894
3796.1432549908372,-948.2545309852546,58.28651853921604,2953.1019733076732
3802.089913176153,-941.1592956357551,70.02745505913666,2956.5888176810345
3848.4932872863715,-939.2142424498737,71.2609770783116,3002.846369548584
3885.498058768589,-957.1197990335833,62.65598544692563,2831.381331711881
3885.498058768589,-957.1197990335833,62.65598544692563,2831.381331711881
3877.53005027728,-918.5901465894941,64.0761997739925,3038.235752680306
3846.8313065162283,-950.0696369631783,56.281586815614496,2854.5721420373784
3870.441907657038,-918.2192727179701,67.78688932383021,3001.0372888017855
3873.591704927394,-913.6192941800513,50.83425596629831,2879.4468128353083
3839.277087565668,-1058.8480829810214,73.10814664572693,3004.246421007965
3841.2025721172595,-768.928644571505,76.33577320776301,2891.2741892025797
3832.3846727064065,-786.647450993904,47.024994952697014,3014.4832546635853
3832.626301622236,-788.2005318553593,50.275277113024764,3001.7464194494114
3832.626301622236,-788.2005318553593,50.275277113024764,3001.7464194494114
3779.6243870887024,-748.7077902451215,55.30080196599686,2978.8869886954385
3779.275278459463,-745.7493678463097,65.29755535965498,2919.853306418039
3778.05317979437,-739.5506499170832,50.89316582443735,2920.7509381902787
3754.319441283072,-738.6181082649132,60.7509746569029,2873.615975520885
3712.4806186114674,-683.412545249596,61.184559606820315,2955.169489102832
4727.2300494765,-610.871669822391,17.03534403476517,2833.160791581251
4795.985539603935,-766.1063966721046,18.292031866140785,2833.011141795743
4821.837192416374,-790.8805118085106,33.12497018777913,3054.052005738954
4788.847218623114,-807.9776271894046,16.31867368675709,2990.4402643177896
4780.982649192767,-806.2161758541049,24.63467974570584,3015.083148974713
4773.86960201243,-816.9329272809147,18.865719600298647,2946.937706993171
4237.0923867174,-924.2405297515427,44.691235135662915,2945.809335379889
4643.869805736326,-842.6250211197352,31.965106585591755,2945.979586998228
4573.053242817809,-925.2599140519387,42.566983527928606,2999.3441165575487
4599.577081846475,-882.5040414085489,26.294980290522126,2996.5907658227693
4671.651807939187,-869.8969431528465,25.12510231662038,3022.2640024470656
4680.416655333255,-883.6255883308918,26.465744075407237,3052.6567492868844
4649.729659895959,-865.8176650003207,21.461835338266738,3058.266951193311
4645.162765088194,-844.2390767141869,26.541534172000766,3061.5877750476197
4796.270661985471,-662.7037017656564,13.553421295045426,3028.3227906043335
4777.924941786626,-710.6498416479466,28.739843726299533,2864.4493200574384
4949.209408011349,-988.570746040033,16.202744957176805,2846.745551054165
4826.966342713277,-1111.5503280002927,34.718179845034754,2915.2742134673695
4826.966342713277,-1111.5503280002927,34.718179845034754,2915.2742134673695
4826.966342713277,-1111.5503280002927,34.718179845034754,2915.2742134673695
4830.352822898862,-1110.3395389990872,29.592339115775637,2983.6618588382366
4553.731095282049,-878.3311661843647,32.539560874899024,2978.786190748483
4561.387020666541,-879.1608820618621,37.121973587310144,3015.1879481829237
4628.096810097095,-913.2289599189784,43.738485287903316,2854.0682732658993
4743.993940881979,-897.5704844099519,20.6292098343905,3003.981253763605
4710.048666435989,-975.3326695718201,42.71415586922854,2984.0477840570034
4718.317466327668,-984.6896328119736,31.841527200919927,2836.9057053132765
4843.28482918707,-988.4176645335195,26.167743892131323,2909.1242166602256
4957.6919308728075,-1406.2829339850825,22.682635641838086,2950.6333779858796
4963.10723129442,-1268.5597860074743,27.167914631800333,2996.635127188069
4961.124210797868,-1269.9638493674283,29.00329018398937,2999.8715399735
4883.1875369566205,-1299.0634960555076,28.560229701570574,2856.8494936447682
4883.1875369566205,-1299.0634960555076,28.560229701570574,2856.8494936447682
4853.530164364246,-1294.054679092378,15.90515983916902,3023.0069144869913
4862.412432924687,-1295.1867492282013,45.920281593985486,3029.0151709528163
4859.443960091212,-1290.100413962941,30.599464888992223,3035.395753999877
4860.009404701743,-1284.6329391507536,31.66704045963578,3013.667424968651
4855.359716417572,-1282.163105387753,26.825857224808203,2895.8037394804646
4855.359716417572,-1282.163105387753,26.825857224808203,2895.8037394804646
4662.474123915535,-1327.3015056665013,46.200671242489065,2884.6141109147097
4659.299723115307,-1338.973595487148,54.27252070709389,2975.429616556982
4661.8054655368005,-1337.9849115117868,33.301091377640965,2835.547725511172
4753.142478362888,-1547.7752629253596,39.44103590907819,2939.045497486394
4772.294046694321,-1529.4085551041783,45.994409656242325,3053.8271105480926
4763.841621908347,-1521.607193165023,29.190678604392698,2970.170915305976
4767.314563692703,-1523.3039740594038,46.08031909765181,2953.798034719344
4752.7143401212,-1580.1627038959127,40.05543389805658,2888.05948807288
4775.500819253144,-1586.7038311718868,44.774258635431586,3035.685007805645
4810.120793859919,-1593.9164943033572,38.581596634585914,3023.118952950613
4813.551341339824,-1599.839866107088,45.11914531822842,3038.1145292258893
4809.816405284308,-1630.3908969933045,30.93097464595404,3050.4373774131172
4810.734248634199,-1617.721102838196,33.08981396099382,2971.3084899244345
4859.953886177475,-1595.4646386913714,42.10381449866252,2870.9564676477426
5085.1665609639995,-965.3450425474756,3.068806697686245,2928.8677971379075
4484.3244150526425,-761.2505774373832,30.576110807469085,2981.080637895859
4492.1587287548045,-866.9091911203689,39.227711092235,2918.917354729141
4492.1587287548045,-866.9091911203689,39.227711092235,2918.917354729141
4788.593060368319,-1080.2707550056593,30.778799103184497,2902.9321315266866
4788.593060368319,-1080.2707550056593,30.778799103184497,2902.9321315266866
4799.310908257127,-1131.4907096457357,33.323726067362145,2979.6932417134894
4586.94715397646,-948.5098184261348,30.433544248831044,2981.3703424975715
4591.352723678313,-951.2730479447083,43.164007458326395,2906.7603477783437
4580.181890821949,-965.4338950230231,29.862839546835666,2933.543867064926
4286.546430744679,-1108.9008413576298,50.68718134169932,2917.560851070645
4363.938316576622,-1028.6762778566829,47.42394150457087,2876.95274973161
4316.374448971814,-1126.6902173808298,49.24598013699778,2889.6089512992858
4316.836025893251,-954.5466570990528,43.87319283704786,2925.545241329783
4464.562740424785,-1024.1310419589006,35.5029089886828,2984.0689211212016
4458.9411265942945,-1019.5389823135143,46.30611148927142,2985.7781572869185
4453.120370332661,-1030.8482508000568,37.70789195957822,2860.5243430379523
4447.028755418935,-1031.5528730486114,38.50722603182794,3004.7668336924266
4433.933579294501,-1019.3482692117176,41.00148248117669,3041.9706132752954
4432.957101230891,-1034.3840490650412,45.91508481418663,2895.9725142409966
4497.234150011287,-703.9084075972961,24.590571255353108,2932.6081575256344
4504.147495648632,-723.4789046664339,42.56587085081369,2963.563970647651
4429.362080896604,-615.3004308002515,25.8161126642827,2989.5272216406624
4430.680522132084,-601.9363102064328,23.679766960782498,2992.2621378415106
4435.3216216884975,-600.2833490347082,43.32368312328408,2954.59471643326
4537.137867250406,-737.0839023427084,42.34269469228716,2936.6507217898466
4695.027394840476,-632.2748451303055,13.04750076303809,2956.8152465266407
4696.985518823053,-634.6602571165985,23.832975166093142,2978.2915957436044
4552.049709402736,-656.3370371043922,29.629239936681653,2941.2071896202524
