Intercept__0,obs_rt__0,1|setsize_offset__0,1|setsize_offset__1,1|setsize_offset__2,1|setsize_offset__3,obs_rt|setsize_offset__0,obs_rt|setsize_offset__1,obs_rt|setsize_offset__2,obs_rt|setsize_offset__3,1|setsize_sd,1|setsize__0,1|setsize__1,1|setsize__2,1|setsize__3,obs_rt|setsize_sd,obs_rt|setsize__0,obs_rt|setsize__1,obs_rt|setsize__2,obs_rt|setsize__3,pred_rt_sd
-2220.3858879663617,1.2933357933326288,2.081766014223685,1.0880736519270462,0.16074763866904251,-0.47306110523509654,-0.4372016965802367,-0.19390230033963363,-0.08329000801174141,-0.803737955084184,1070.69893305519,2228.9446502998553,1164.9992982037527,172.11232521408505,-506.50602064512685,0.016910777062975182,-0.007393420422422903,-0.0032790385730416013,-0.001408498757059976,-0.013591833375480197,1207.5710827068933
-2259.117632740719,1.2776925950214286,2.0202554377947446,1.0890548786260634,0.20778707435282434,-0.2504607679137355,0.41615853912834144,0.23240152852406581,0.6702652547860805,-0.45700161694440156,1099.7987614712104,2221.874428342138,1197.7412066871238,228.5239670229625,-275.45644234865455,0.015711800674383523,0.006538600015727137,0.003651446492592179,0.010531074082163782,-0.007180318313301409,1156.0526005434135
-2300.617272489523,1.3056271077010333,1.7558542667531454,1.01103730615672,0.47005087301337123,-0.9263993637542068,0.8933676237019409,0.5693626363860449,-1.8283768264663522,1.475649058130923,1081.344947978031,1898.684140739184,1093.280083229887,508.287136825672,-1001.7572718056739,0.03814553583662921,0.03407798670520667,0.02171864285030156,-0.06974441375683463,0.05628942402922126,1146.226210723281
-2315.5641377049983,1.3611893893451457,1.4881574018119645,1.1138528793093676,0.4348852226971019,-0.8011768754653772,0.8936750892770638,-1.0597403616446788,-0.8402735397255268,-0.6722800307931098,1066.3312482985762,1586.868739938918,1187.7361312149212,463.7317023852049,-854.3199377229486,0.08279197532103454,0.07398912593645,-0.08773799786799046,-0.06956790616387415,-0.055659391718247485,1143.503887424436
-2332.8046487851047,1.3892083813553573,1.4887288998793804,1.0701675183465424,0.41679101940987556,-0.7990934310407367,0.5955692414503779,-0.7995090944107636,-1.1775922828964285,-0.5663265776643949,1069.6988022716089,1592.4915211081031,1144.7569126052765,445.8408542603068,-854.7892860873866,0.10863051553522185,0.06469699373567557,-0.0868510851009396,-0.12792245678133785,-0.06152034809298107,1145.7240433495379
-2408.3763901184957,1.2927358638002966,1.6995062986216556,1.1165233980275686,0.5046776860742839,-0.7546908873848057,1.1601528032843569,0.6756534794719113,0.3817786784881081,0.4427317945225535,1014.91606424098,1724.8562437498463,1133.1775327591051,512.205490860757,-765.9479051431197,0.06817435314838426,0.07909266691719571,0.04606223891545268,0.026027514451771733,0.030182953709798458,1251.7763225655247
-2397.597438973345,1.2946220619882056,1.7158003360569556,1.0492619429999746,0.5301169555334633,-0.7896758874009406,2.3729039567843007,0.9347035372571176,0.07121300482900605,1.4666434681783365,1000.3344561718262,1716.3741960689713,1049.6128751326733,530.2942564210312,-789.9399993752243,0.0360617217457342,0.08557100221890715,0.033707018875319676,0.0025680635648212425,0.052889688649645744,1236.591777435014
-2399.035794090261,1.2927679566348007,1.712707249683685,1.0706107090718382,0.5318518666527952,-0.7920388830711149,2.28097277232351,0.9777257546874064,0.04573065371246815,1.1767269242554534,1006.6634616610229,1724.1198087785083,1077.744682485619,535.3958411755796,-797.3166038024987,0.04416948218302519,0.10074938622710884,0.043185640301550254,0.0020198992943709568,0.05197541891518728,1227.3009920456643
-2391.9296028297063,1.2747506955549308,1.6938395280230767,1.0495281685277669,0.5619088232355902,-0.7277237619888753,2.190278141612768,0.2634174019257315,0.43554329270422676,0.46990982929102676,1009.1510417091041,1709.3399241925451,1059.1324445728442,567.0508743137327,-734.3831924875417,0.061501051700389296,0.13470440922555943,0.01620044725461664,0.026786370562360436,0.028899948705748545,1196.078225835771
-2397.5262677787487,1.3598246461108168,1.688034745364373,0.997469381145046,0.3661210245529325,-0.49263617614095345,1.0369732285427045,-0.12487654604020632,0.112002324401301,-0.644500509788684,1002.7524172498099,1692.6809213157924,1000.2148330758669,367.12874237643007,-493.9921164500442,0.0803472010164642,0.08331789644241254,-0.010033480946934204,0.008999073272982565,-0.051783812015205044,1181.7072171036227
-2407.5837807644302,1.3553428887526855,1.7104905118913682,1.0125008098865547,0.44055185537842395,-0.44209129168570555,0.5412410258255458,-0.6033094585575882,-0.10160662417595445,-0.310626435593977,1019.9714973476088,1744.6515686127166,1032.7219671256557,449.3503355895983,-450.92051674500755,0.049613842308471864,0.026853046906184175,-0.029932500340085724,-0.005041095029361969,-0.015411370992402267,1137.8733237307765
-2379.749539378775,1.3513990032416021,1.467252250418357,0.9757909787104182,0.3335415030590576,-0.8225192020585302,1.2564804976409587,0.3567443388596774,0.008826347855670158,0.38990678565408726,1012.449646430881,1485.5190221609798,987.9392313858062,337.6939768421675,-832.7592753067693,0.04260374588625172,0.053530775832526516,0.01519864515913657,0.0003760354811466342,0.016611489615331952,1203.9169773476517
-2382.08621122851,1.3563790831121842,1.4827125174524522,0.8801062622987773,0.25704448286999376,-0.8672333057630568,1.4284582610240946,-0.4246982556252157,-0.7979461741621929,-0.44022073522565536,1042.2257711358654,1545.3211968746823,917.2694279058475,267.898384375399,-903.8529008536076,0.09467559914775577,0.13524014172001744,-0.04020856180832403,-0.07554603212646509,-0.041678161864754475,1177.7016465906097
