Intercept__0,predicted__0,setsize__0,rt_sd
4308.158855535622,-1498.8761384464012,46.53317599108606,2212.1227703202585
4307.908321580051,-1497.595117769027,46.87511087315155,2223.082251947097
4307.908321580051,-1497.595117769027,46.87511087315155,2223.082251947097
4503.033082237404,-1422.362371759518,45.486724660028344,2082.7243571471963
4503.033082237404,-1422.362371759518,45.486724660028344,2082.7243571471963
4521.03026277525,-1390.655037647649,46.98342549388517,2179.781537564559
4535.551972585845,-1399.1177211155734,36.48674726910719,2182.1876502718374
4134.124600831726,-1011.6940344517571,43.422263991288496,2180.7108471309507
4101.386626815854,-1031.871204457885,60.62061063445915,2261.6814839582275
4097.923396291259,-1045.757625436193,59.3932939369703,2130.8335365407415
4103.420431735945,-1044.3946170695378,47.564630580414615,2189.9634879561672
3792.6219610918397,-1078.388859295972,68.35396084961971,2153.4753822713474
3789.7782064754965,-1076.622326967215,58.53958843389032,2271.3306253632586
3607.0576713142686,-1079.449186819151,79.88837752730424,2074.979017425594
3603.9462641813784,-1084.287380618569,77.46178384494924,2183.5435246212455
3604.3143586572305,-1090.1264725117703,84.0356994786494,2163.8774020351943
4511.361775318861,-1261.0887303445977,52.75442882930355,2141.998517837202
4512.762480207858,-1252.3539937800483,44.6947080680219,2243.5062731965963
4546.451358316732,-1267.80248265656,41.722263204075226,2155.1504831850802
4503.833976682996,-1229.8830247359851,43.06198322858381,2164.621676559914
4106.851228268159,-1092.5829218480746,56.647206486482006,2152.9976280146116
4106.851228268159,-1092.5829218480746,56.647206486482006,2152.9976280146116
4293.944785844077,-1064.0966583886916,48.44193422698559,2172.660170258601
3992.088571405518,-1272.067058796439,65.61886503957662,2172.5253826264448
4003.6421067326796,-1262.616778802172,63.36803653565269,2207.707115939854
4003.465284615342,-1259.4177989217949,54.35181782776788,2129.480824799779
4003.465284615342,-1259.4177989217949,54.35181782776788,2129.480824799779
4449.758709186333,-1293.3832288441347,55.255925909341,2198.66499577115
4448.969287091609,-1292.9202854911928,51.99975381575436,2202.5344106653183
4456.308652481331,-1289.6176052764783,41.91376628161429,2181.69764604067
4376.965282642603,-1638.0536297116182,53.33284755231959,2171.9694211481296
4399.469167448791,-1643.0364793201236,46.475428646614844,2211.839710669401
4432.340775392176,-1608.2841608913095,55.86228835505061,2113.0405085962057
4429.753016209514,-1614.0804803682588,53.87997136809788,2269.244036828181
4437.064302385251,-1606.03524601758,47.532695745796616,2318.3446308364946
4427.677582942083,-1541.785446396283,43.600919428438466,2276.209017107387
4420.822943813057,-1539.092909621336,58.914394036397276,2134.418636217264
4453.366864175233,-1532.1158367676856,43.40478247836585,2257.106031073795
4472.186658469933,-1488.4242172712331,42.380600395635746,2101.3821131231107
4411.134660919286,-1469.1779070503865,52.098318928276015,2154.025189209738
4192.672899337102,-1509.981156408441,72.48199203730088,2233.5911984259324
4193.77377026154,-1500.520398861058,61.98552291311883,2132.2339636874517
4188.8638003999795,-1499.354365474677,66.16287514219071,2201.1147130628988
4195.873700262744,-1479.5757576601077,55.780697194589145,2241.833561126767
4199.827144357551,-1465.2824188251361,55.979708048475985,2208.215799005314
4023.183058135295,-1428.1304664078316,70.48788342457986,2150.7780578493166
4007.035284165679,-1419.6836222222576,64.77527842433315,2212.6298369664137
4130.704069135552,-1309.3283442011623,59.72087372708798,2102.0230221153597
4174.605001220892,-1356.5516696034688,63.435726400200195,2322.7461144247936
4170.677301249011,-1357.501742134417,52.78801221575152,2325.811622183769
4163.263024050532,-1316.420610501663,52.62961500529836,2306.0457166303763
4163.398429073166,-1321.2145415428197,50.36726149227112,2277.4821293610303
4123.51055806003,-1292.8943151380754,56.51769563888433,2257.137047222101
4129.875896304082,-1289.2191842695001,65.8612148711449,2146.1910075193036
4148.170740461703,-1290.4089313657985,46.06398167261891,2217.497691434768
4149.09758759703,-1289.5385915530019,47.92501209655214,2250.4801140572104
4149.944397561322,-1291.5857327241495,51.29529527975628,2244.502952832034
4148.400481040123,-1306.7996117862235,58.64390622445285,2179.7991545182967
4151.74980592292,-1307.2077401630454,52.26583712788002,2259.4115858778373
4159.306138971217,-1302.5000809845794,49.61967025791028,2219.4383506130494
4046.4745013254483,-1293.4670305402963,58.076207250151406,2209.960642547102
4331.400572774109,-1038.6697351363882,40.70432526747907,2180.939811079367
4238.2814303427,-1181.2562331746788,48.4766287112425,2180.2429033782396
4238.2814303427,-1181.2562331746788,48.4766287112425,2180.2429033782396
4238.2814303427,-1181.2562331746788,48.4766287112425,2180.2429033782396
4183.939067565983,-1210.6441864630262,49.69634062709605,2148.7373428595406
4157.327376576872,-1164.6305760311845,58.074202820210616,2117.3742887875374
4106.7388280216755,-1198.0148714913173,60.64564365545331,2304.7327445098736
4103.9427094860175,-1203.7059446093224,57.23670172063053,2199.918983189274
3536.1283050139264,-1152.3879672452415,78.64580943545126,2195.9259889408627
3556.320988544784,-1162.0762460731712,77.82625018139578,2226.835012277435
3619.4669012530585,-1119.0605201740623,77.52572804250372,2199.67641101387
3623.578037935155,-1124.6818975904873,75.08483678833291,2200.7086165470773
4104.887103443909,-1169.1212856813306,52.41905225275351,2192.3087322408865
4106.240078748404,-1173.7024616637598,57.4177964556269,2193.175458760139
4119.430994654438,-1327.711781268357,58.44878059260481,2195.0096901598463
3912.8157060243702,-1038.9477802123838,62.53110429946875,2172.1490747687626
3910.0477638373495,-1038.7680789187277,57.55152631492923,2274.936614135835
3890.7565631551097,-1026.3292972501283,58.82036844941835,2264.91531670063
3898.5561858025335,-1022.10572192936,57.52668056586946,2201.618598524781
3931.5301394706876,-1052.8747114246892,64.348347625883,2158.024638916885
3832.330638153383,-1125.8688065845213,64.5506078059122,2130.612359909818
3832.330638153383,-1125.8688065845213,64.5506078059122,2130.612359909818
3789.3056023575823,-1050.932936004062,72.99651820714107,2224.107267641633
3842.7296938748814,-971.7526623044837,59.8839907844677,2306.053705135152
3842.9586285611417,-974.7388246238522,60.668302665577365,2273.901207929378
3845.4498324606875,-967.9430320015422,66.36228894085907,2242.927907091556
4034.5247272986653,-1030.6731673408906,63.85423217738521,2256.24970331489
4028.861384791196,-1031.4462662917301,58.71032415419647,2108.7609684456497
4062.5468762826213,-1033.5092175051157,52.60143474217162,2195.641717307818
4160.442422314886,-861.3926685477147,46.75544087920351,2200.9485972012444
4197.48593891885,-835.9643007270681,45.53041976485567,2202.302383610349
4197.48593891885,-835.9643007270681,45.53041976485567,2202.302383610349
4226.2429175182215,-853.1445207298004,45.22886308623703,2190.463793777739
4226.2429175182215,-853.1445207298004,45.22886308623703,2190.463793777739
4246.51297249674,-844.7111818646329,39.68019368134028,2228.1373948343753
4246.499628970645,-842.9731816993979,38.64591778783564,2158.6727166075575
4256.66256183344,-797.9254010913625,49.130727529643536,2166.225122251112
4131.257653585615,-972.2900253489496,51.624042294663006,2181.120225398492
3754.7970973035867,-1026.0444785981256,69.12419928311516,2123.4778623067405
3761.564089607659,-1028.2604775196305,67.14504644837703,2243.543048829675
3768.198719582535,-1032.506612734737,67.48249980255397,2106.789798170458
3779.9514054193764,-1021.2280064853734,60.716025369833254,2246.6212363707164
3782.2177357057762,-1026.6931038501848,69.20286905514526,2117.3965666502904
3782.2177357057762,-1026.6931038501848,69.20286905514526,2117.3965666502904
3816.0187759843448,-1216.5266383575424,71.85945341593404,2121.3400448931657
3798.726648742603,-1152.6597574173732,63.768909628983515,2114.8558076393247
3854.5108645477144,-1146.5826262655185,56.034586240302986,2225.5339870181306
4277.071405424513,-1411.5168937628116,58.42836121520037,2179.6964415664524
3950.7564413165715,-1209.195928922968,61.99162208704892,2171.5653209560282
4033.1820122865524,-1086.1616253858742,57.68430792096513,2167.908510832642
4021.97401212076,-1082.531081229208,62.96042379214318,2163.9413294401434
4021.97401212076,-1082.531081229208,62.96042379214318,2163.9413294401434
4021.97401212076,-1082.531081229208,62.96042379214318,2163.9413294401434
