Intercept__0,beta_row__0,RT_sd
5.316792364999099,0.2465434870408404,1.9475016565405023
5.564656222475003,0.11077775763747388,1.9416805201906044
5.725675353222554,0.4875996307831373,1.9780063227155644
5.4554092950712985,0.5016348723295543,1.963080966816874
4.649241019569221,-1.5589277485467448,1.92977660421669
4.999459551638755,-3.248145546240936,1.755592710113217
4.999459551638755,-3.248145546240936,1.755592710113217
4.363520743392287,-1.894983065020398,1.8352968406601908
4.796322790876489,-4.359465288706294,1.9173408910110659
4.434986907265507,-3.2706866806202664,1.8549025695745887
5.572100007054262,0.12888042234166663,1.9633709297746367
5.6425463286093125,0.48949992797060426,1.9146968594846978
5.2703405406298485,0.5343385035350671,1.9107788567005353
5.413626879532353,0.39626022749730305,1.7756188911897997
5.4383595274763055,-0.6191704793148787,1.8258398625412928
4.784287041743149,-0.8789170691822084,1.8648904216234805
4.7937423461451525,-4.041310429429982,1.8183511386775768
5.713936221689866,0.9231412568857789,1.9841175604323462
5.462189765211562,1.0738479243364765,1.995139047785161
4.6502759331201835,-1.812546202967944,1.8848703339320723
4.892061213322571,-0.6499583521807832,1.8668616332457126
5.3360332889806426,-0.5059524906149092,1.7863622991570993
5.3360332889806426,-0.5059524906149092,1.7863622991570993
4.789112674716806,-1.909977579446502,1.8241505556560746
4.835844890396991,-2.360452639749882,1.7532930703839502
4.835844890396991,-2.360452639749882,1.7532930703839502
5.063441840330092,-0.7577584032938876,1.8895547399166859
5.609216003378698,-0.7513228826206982,1.9541728173152502
4.930522291447572,-0.2518632886684383,1.9740533428936353
5.85397859186057,1.4027889437856633,1.88366166176523
5.106798494957822,-1.382343842879248,1.8514966350889024
4.758188475273041,-1.1921497525566545,1.8139578287073979
4.758188475273041,-1.1921497525566545,1.8139578287073979
4.929017573140666,-0.2117938440263205,1.9214147559739616
5.085472770903194,-1.162904338614295,1.923645949227892
4.836684226806542,-1.1642760786085078,1.9030516793422418
4.761835221692255,-1.722882980552779,1.883724450713268
4.878047790215863,-1.771989001722397,1.6805589509795147
5.034446376014274,-1.3621496984604333,1.857508514318146
5.059400936509428,-2.4032922647143993,1.8347107804391765
4.931706563645887,-1.4125336667330317,1.9785765052791748
4.961154607784087,-1.5257110769465938,1.6363530673741038
5.240210463744687,-0.3949257571670832,1.8724657260356419
4.604254521363802,-3.1130343265426124,1.7154130330958268
5.0525065852853235,-0.6587840720514258,1.8767037268236024
5.163173787500843,-1.612251363440948,1.9183330006844392
5.021748767229815,-2.0523784752755354,1.802582135655178
5.071892468519038,-0.15280078023517651,1.9338059357439241
4.923062824278352,-3.482215724889374,1.9260111274510066
4.781991976534278,-3.151058613231134,1.9416067460351014
4.88269305017145,-0.9078159866177453,1.946193923679326
5.533739237700527,-0.19981941993262442,1.9875900485764262
4.771925895238094,-1.66355045477694,1.9853668581874928
5.350164751884396,0.2086456218566371,1.9787735925721124
5.654683634115714,1.6410352602906717,1.9064477438116008
