Intercept__0,beta_size__0,gaze_influence_sd
0.27844465876783686,-0.6777071354771965,0.1138249104856189
0.27526584048482294,-0.37071152955266823,0.11402301585852526
0.2848970729056353,-1.0860158171300758,0.11157693743117165
0.2599195895382893,0.1461849713652483,0.12940784211519232
0.2714298975708637,-1.6583250627298463,0.13174178525941196
0.29165607946954764,-1.727889597492921,0.13210072106462548
0.2563369290664073,-0.6880329002610206,0.1320661182355993
0.2720654279869534,-0.7350675316658121,0.1318609974250511
0.283480317176831,-1.3792415214805316,0.1315576490598521
0.26575207274572826,-1.579445775556436,0.13134987237478218
0.23332305120034721,-1.3009524047648109,0.13035921219406263
0.31599477058639186,-1.4654140893557237,0.13036510580045627
0.2776750605670927,0.31536207018332274,0.1320133445663298
0.2656478015067074,0.5833010618203724,0.13201438769973417
0.2501554521238876,0.5880001440536852,0.13200588521707157
0.22515185709785676,0.616514286151435,0.13198854135256155
0.28948881799096166,-1.0616647185640857,0.12500330390689704
0.2464752755247949,-1.2091308138040149,0.12462114942350172
0.25993578407782236,-0.4377246639418063,0.12689563878780716
0.2713776317023464,-0.933631424909877,0.11558529292559323
0.29462705378266435,-1.296342310699333,0.10264551810782628
0.2803838512917329,-1.234561631542793,0.10647703428339482
0.2562035123582128,-1.1982548434113018,0.10599177394576995
0.2954224537380118,-1.2390689181095011,0.11117569918312349
0.22993986727879723,-0.7203887654705214,0.12974287551197572
0.29092034559834445,-1.2814085235784967,0.1238347649279169
0.2171007388687601,-0.6391111400586716,0.1253554701308104
0.27007618275576595,-0.7091768760999383,0.1248462473678858
0.25414315715467006,-0.6270299016040529,0.1280511470728538
0.24184949227222552,0.05212216949676701,0.12479176556821309
0.2700476712049525,-0.662763031668932,0.11856590972882915
0.2600257380113028,-0.6482722182166424,0.11836469540814379
0.2568289301427665,-0.4819294443559645,0.11739285713472287
0.2685444403487561,-0.45111912609301363,0.11137895292822057
0.24404544529374503,-0.9577228540394314,0.11825009616013182
0.2871673094789914,-0.43312109054187303,0.11929719249381929
0.2657906737723109,-0.2297022239367549,0.1184275010723439
0.27793574363234774,-0.21670126852842644,0.11813753746670522
0.2511041605714182,-1.3374148178110468,0.12621017041803276
0.2929417410465049,-1.3741894728912294,0.12639812373166723
0.21415242854594513,-1.1978955023962368,0.1212658440702609
0.23237038546146138,-1.042148833513334,0.1221156709651097
0.24272521148789067,-0.13402750844980066,0.11516777491328749
0.2392214870502876,-0.3333157721645267,0.11152761185974408
0.27593173933720444,-1.1876259164740715,0.12437434260173713
0.25023031166082677,-1.0371585292443004,0.12889253047590762
0.2759185208524436,-0.8806438489242931,0.12851306427826914
0.2673976261322449,-0.45124265097461697,0.12641389565098052
0.27225866795591835,-0.9655587574603922,0.1271748025262934
0.27560586342096954,-1.0355546079933324,0.12473627414519822
0.2618551340067426,-1.2927620505902009,0.12331882438536385
0.24111399393313546,0.01408686505166612,0.10869032079884697
0.2241016546663858,0.15852731359694094,0.10517558180004978
0.24490431796866932,-0.9162158749225213,0.10969600751888463
0.24015640816157174,-0.37619169185321055,0.10351322111829153
