Intercept__0,beta_size__0,RT_sd
5.3482952439955165,-17.21650663462588,1.7611062893124894
5.380551467152029,-13.15521214768296,2.00727275211655
5.499528088724713,-16.130719343224744,2.0091618321824676
5.34987196641407,-12.771543692817845,2.0096135010484817
5.422577591609529,-10.370729225714891,2.0037756889223073
5.520511175846593,-14.994009993043791,2.0074901881495353
5.587441384498325,-9.815969656289722,1.998445611052249
5.523579843575273,-10.367884772359735,1.9975871789650776
5.573792470401583,-18.834427275546215,1.9736719470979647
5.500325806069833,-23.455695782472198,1.9678487666835538
5.8306504411778315,-15.073114968718269,1.907553120627359
5.310122963025302,-5.39350968625229,1.7816081721289958
5.310122963025302,-5.39350968625229,1.7816081721289958
5.1147876626729385,-6.78122381575088,1.9577357328258767
4.683179271683952,-10.888764219411563,1.994303487296235
6.10171068517001,-1.893640378523188,1.8577969857256293
6.397476929108055,-2.0890485521267257,1.9084864106656487
4.477264063719659,-1.9973641268412803,1.8228482022819323
5.032708555533986,0.43410690630512105,1.9308110578461704
5.163720567591844,0.7850584393697218,1.9496786441375433
5.590576072349166,-5.098157003587862,2.0031343576802203
5.511001358733089,-11.869729428651038,1.9886275594026226
5.622350165412913,-13.687687205188988,1.9833844972462118
5.605383972192228,-4.4436363086193165,1.8693317301061503
5.1301624686439915,-4.0421917773243425,1.8109570967491009
5.582637883541812,-14.906652011702636,1.8826055626381264
5.2826655483553875,-42.616284011399536,1.9777850505382137
5.401272003727697,-40.988661812318576,1.9388763230683068
5.221403765895608,-39.92188906837503,1.9388168634131482
5.750221291791029,-35.90405205047995,1.8510465961628908
6.023403697376914,-33.19224109924339,1.7739216890618292
5.618290460061994,-17.693032338900597,1.8943241520219944
5.660875986761596,-24.449699944018626,1.7782731566816534
5.685249131323345,-22.62853893556456,1.813801687578255
6.313624347672699,-36.94333653183402,1.8504020189242094
5.068471225606067,-25.584221121683484,1.8069158719487228
6.274406410874307,-19.04186121615146,1.9082916582129779
6.118112728190215,-20.799614718130996,1.7818245996813071
6.168309748897187,-21.767780045163065,1.7409920667994716
6.168309748897187,-21.767780045163065,1.7409920667994716
5.06458146160149,-17.898392392810806,1.8126223029872643
5.472917471655411,-17.46738838410783,1.9435937500954514
5.43155473791537,-16.939523545444718,1.8140697443560303
5.9206835987318485,-18.072069762182654,1.7754005777048214
5.520723407146081,-27.33328162397183,1.7929356510667658
5.946244727096744,-28.03088084959536,1.8143578057027345
5.784653994117663,-27.89119725148567,1.619695971344874
5.247165603713639,-2.356628084558886,1.9710058219600193
5.975509933763673,-25.93154076057412,1.7783126793811757
5.9432983426617705,-24.45337255484035,1.6914580676050528
5.496963108593266,-27.500609488044013,1.866287719304642
5.87187984249986,-26.39578284639268,1.7617779024033229
5.87187984249986,-26.39578284639268,1.7617779024033229
5.564745889744972,-29.572130777415996,1.9280530791230748
5.5364370654862585,-29.017882438273478,1.7518935268629483
5.692923524200327,-28.475354041874866,1.7010321498304937
5.932498096340135,-31.00971735751224,1.9144782218827183
5.8511351623088395,-25.974289457106575,1.7768124676523538
5.6950379708801,-23.817882436573136,1.9654686437958344
5.792300502927893,-25.269549687827347,1.9967856192876456
5.635051769094823,-26.328587259104772,1.973956723721058
5.74252219559361,-23.67714770243858,1.8520730122493871
5.422368651161425,-14.577406759866161,1.879600704646333
5.495145019287576,-14.634562334315332,1.8053320101717525
5.580468610288412,-18.520293298602347,1.8332331752746318
5.580468610288412,-18.520293298602347,1.8332331752746318
5.5261478032363565,-14.07359242669402,1.7186756616806527
6.015036553358269,-18.9716324452021,1.8932908796202006
5.541974609872827,-26.893741416773548,1.9327799142721558
5.689194842031437,-16.41081259430104,1.8350436965745296
5.510693192410441,-15.266894272905907,1.9475684208087378
5.800974710436631,-23.498438703536646,1.882100446372202
5.406723781284894,-30.770305784663226,1.9982499642012823
5.403428810392532,-28.494262514098104,1.9622838373366716
5.683861424140469,-26.517199069591832,1.662453416658256
5.711688396781074,-14.445347444458175,1.8845918027200395
5.456311925886968,-22.493158454376946,1.7893672867501025
5.550912302395159,-28.41988976563809,1.9376538002965713
5.954872608779978,-26.581179756108902,1.8642360662477193
5.25117346027267,-18.079573334942353,1.7894251268088543
5.834483811082044,-20.30931121338908,1.7832300860832382
5.834483811082044,-20.30931121338908,1.7832300860832382
5.401154648822055,-6.991115954101038,1.8218816754415414
5.341697800228196,-24.32534719923296,1.8131908940168973
5.733640259365189,-22.871402521149328,1.9100335576218979
6.05578422809233,-22.0494497527323,1.8988824827208284
5.528832050445622,-20.554993662928297,1.6708469710258333
5.954750664829055,-15.956136349982883,1.882881882398238
5.747277330330129,-16.213465447287145,1.8556754580283636
5.895135130331452,-14.90915774085572,1.7129809477440672
5.895135130331452,-14.90915774085572,1.7129809477440672
5.688795393750536,-22.48074335929293,2.01143006758829
5.777566376597432,-19.484408658057724,1.9939138459358958
5.523915813213148,-23.42602406735243,1.992044542097794
5.806477844731532,-33.93794554567559,1.5407170164624928
6.043073370192719,-32.821182118857315,1.8580496105843936
5.675904365029508,-14.028579395931844,1.8006599610246212
5.294515266791525,-11.359422935440282,1.8303377620006487
5.294515266791525,-11.359422935440282,1.8303377620006487
5.705889741154982,-12.836006218082296,1.800516552741589
5.270385906071786,-10.009619819175413,1.7449778938312968
5.683933934224313,-21.4358509229383,1.8889174169001997
5.956708162356309,-26.075619429756568,1.6688928194273978
5.689619067399479,-17.232630237487463,1.851351932343913
5.7482713994818395,-20.60230675687496,1.995223674175756
5.7482713994818395,-20.60230675687496,1.995223674175756
5.064364265368217,-12.622093970180394,1.9848600809580268
5.6715893106033874,-14.534974361923998,1.8604265384163825
5.576028283996007,-16.113695277527246,1.7243779479384829
5.576028283996007,-16.113695277527246,1.7243779479384829
5.582515912361352,-17.159307198388603,1.809845895560103
5.672820095684042,-18.156906235181058,1.8048254657464429
5.617949865452573,-16.731002864045486,1.769975717475691
5.617949865452573,-16.731002864045486,1.769975717475691
5.7538931571840815,-26.268168425622232,1.8446441672300988
5.696252683940606,-20.388506455982498,1.7122435935112381
5.730299193529237,-17.63427902642937,1.8011522633048191
5.883542497972618,-19.60545488481457,1.838767590786239
5.422580651623146,-13.059858908897679,1.7490350102425745
5.6286123689860394,-21.88743673449265,1.9168510659284972
5.401479971779937,-17.72051836084322,1.7994156128985141
5.701892100196781,-17.201221471842707,1.748416824217635
5.607362015230228,-19.62662023663201,1.503851851753765
5.693366919711385,-23.756852036830338,1.9051758915663188
5.528853801225322,-26.193771558087946,1.834549939041874
5.950788107657984,-32.13418334419777,1.7447180476643094
5.658099503646664,-33.357171220606304,1.9033829166994036
5.871853019894792,-24.16342220796258,1.727634443869899
5.40565674575239,-25.938517888949512,1.9024915749477342
5.804497575295435,-20.499377260305437,1.936377032331116
6.138839746805787,-19.595670881466948,1.8037857251636895
5.953060832320687,-16.920383806213945,1.7617549105811137
6.128987224011201,-18.507195630711642,1.7887243215014952
5.428486419218064,-23.74073839527834,1.8974661262874166
6.347140026375998,-26.809484009814405,1.910977828059004
5.040090070361565,-10.218683283660969,1.8964299403118179
5.27516691108423,0.5820985746118579,1.9855415210264908
5.619552202233224,-21.456555827412615,1.9338135187721006
5.653659638731045,-26.434926887938783,1.7033204434317366
5.675887461957374,-28.1201976979035,1.8641195668477701
5.696781894874857,-33.540120606607225,1.8058296506645086
5.696781894874857,-33.540120606607225,1.8058296506645086
5.621387113167678,-33.72400438153024,1.77516613831476
6.358348409360959,-32.43829130899264,1.8805397308579328
6.317754891046471,-31.540330378868273,1.9058517328848177
5.889375080780127,-16.732149759917178,1.9502830478510522
5.488280839423501,-13.3589726254378,1.7559674936894292
5.479219655847165,-11.430714459146284,1.9472171968910321
5.5708031439306405,-15.991217964479297,1.9877779055588072
5.621183177896766,-20.22201794792168,1.9845563877660348
5.528424560666911,-21.839819671753258,1.9562700194375426
5.442292078056556,-17.211130497413915,1.9830657167464607
5.899451858761634,-19.97793368395352,1.9977991322536663
5.560749236366979,-18.472789742081,1.9908874533782446
5.8383307595063165,-22.11427790511305,1.753854646150625
5.623077886524716,-13.836826626433133,1.874674106147803
5.36787545229051,-8.11938019817993,1.9739963862424574
5.296176800972608,-16.1962750364142,1.9676546473157104
5.349276277988974,-15.792531819106454,1.8481696984446139
5.349276277988974,-15.792531819106454,1.8481696984446139
5.5990339306981625,-8.789571606615304,1.7662303502373504
5.10266992889358,-8.320950678599111,1.6090748791144025
5.99740767788994,-16.623667126030785,2.009730460622583
5.280397315508635,-18.141666980230465,2.0108630673593764
5.709091821798765,-9.70319296900383,2.011723674509053
5.309947443155241,-7.792798857213997,2.0121417138788034
6.094416034419113,-7.445880374147623,2.012904588563659
4.673660309997755,-8.275321030194203,2.013873178312925
5.181405156112126,-34.37047973490921,2.006795201279181
6.485268262435031,-42.38473706143789,2.0006706450019065
5.85868482687617,-34.51955447250305,2.0039621371048324
5.562280708597256,-16.584014798100778,2.011753201083881
5.646188357066035,-23.702212151392875,2.013728430027761
5.915409588002328,-20.209548567747703,2.013695370389318
5.841506140950206,-20.954647396451723,2.0134904350845
5.541037339365889,-14.139118361028208,2.0134368142235766
5.331069374195324,-10.60247075918048,2.0135176031315027
5.137354910477776,-13.491300399275225,2.0134932550065536
5.583152171267596,-12.16528233207545,2.0136554343065645
5.515923082354632,-14.754335686843344,2.0132339649363984
5.554977361661438,-23.565176558426785,2.005259505041455
5.535138767349989,-19.93350980464437,2.004283355852394
5.589189411396923,-18.9641472582378,1.986376312503418
5.515301579934137,-20.299691772849815,1.4732967797766612
5.838370333931559,-20.998064913618723,1.630254883582536
6.084272028856741,-29.89495606129776,1.9392588096066885
5.706216374385442,-36.33305649543256,1.9625230365964963
5.8895818014303485,-35.69323720277611,1.6715373907282576
5.7589968526128565,-36.67506776416974,1.9597795120560826
5.907799937938318,-32.3767390350285,1.8656163908245167
5.732042867325523,-29.66109413557718,1.739976098680358
5.9030778647118325,-27.77352076521768,1.608252038657052
5.755861294575259,-23.302712437771326,1.9555837838497772
5.668964172755932,-18.704462891564035,1.892242143415462
5.486942812011064,-17.75251714708,1.6318054865835125
5.6494226604125055,-11.869820296899348,1.9246280357122005
5.513051190947064,-6.919495510659032,1.8903481228103813
6.241597950945524,-29.44869398196298,1.890518441958148
5.8812667771187375,-43.31525044501798,1.764166458363689
5.622173428091228,-19.031608489540144,1.9071760331716165
5.839097013323405,-30.515705559850304,1.7892016351013502
5.524487817109057,-17.051126323025674,1.8485896319448356
6.0482436220459075,-9.427787904401619,1.9497458439582789
5.80173576830125,-10.097492500100547,1.8592107890739928
5.347124409856334,-16.31789145570267,1.8890154334532765
5.8283678222336714,-13.906336330701302,1.8372736135225325
5.875175686422921,-28.902277264112215,1.9070431689997722
6.070379677539297,-44.10116412572103,1.9940251386801713
5.7929298354039345,-23.69077127606919,1.9514669910961944
5.5050274424738,-10.956036222594978,1.8384654668998108
5.500829117022196,-14.854802804589895,1.7388436211703326
5.534887121381919,-12.404376333162343,1.5812231332359608
5.895331636238595,-10.636947734773091,1.74505066157897
5.57539762850168,-7.074270838366822,1.8111173351670722
5.590872401074046,-8.238236631370674,1.8275755568659517
5.3834750428446965,-16.604177999798605,1.7161265007036668
6.180871124849172,-27.481608428223304,1.8681151003168037
5.46375200198249,-23.658835836583176,1.7397420052449095
5.5605905090864916,-26.454886284778173,1.9653400122173468
5.805591986753907,-33.10740228096279,1.8661736810925185
5.906967650225112,-32.3442773052606,1.85863805700745
5.913403070154446,-30.336954079032637,1.9058849528015198
5.989413815931044,-28.3204193640847,1.6873645462671825
5.413268260539466,-24.54900492702199,1.8550029247078577
5.927130668272621,-20.463586795536127,1.9149497638352744
5.473820654106913,-12.756500273951895,1.7608149745724797
5.62161193778848,-21.630908942973658,1.7731496773158681
5.652942769802905,-24.713141815325383,1.7774495156972885
5.398947549685157,-8.856493139650528,1.7596238522724386
5.290751842201558,-10.045628820159454,1.8192199190520888
5.2439440433376365,-4.92920266319666,1.9243254191130932
5.2439440433376365,-4.92920266319666,1.9243254191130932
5.504956197425344,-5.951017741049522,1.6733611147801641
5.504956197425344,-5.951017741049522,1.6733611147801641
5.312063806130222,-23.298206582323164,1.9179835364511975
5.618770788651229,-20.239374702884824,1.661849588473648
