Intercept__0,predicted__0,setsize__0,p_choose_best_sd
81.80100476816683,-11.225103239785568,-0.113550954033758,13.073193853911985
83.20595257063913,-10.264707520902846,-0.10263913987402137,12.884405127621747
82.28026306592217,-9.69661432823952,-0.07823427380006395,12.878564748304381
82.60894884056131,-9.884319378274212,-0.12103615402087538,13.123867698181892
81.2642209391527,-10.233071037949209,-0.04404319086282699,13.146521119182312
81.1951049653169,-10.326675709700249,-0.06415579578880468,13.704507895530865
81.16006050831757,-9.460140620547568,-0.00036312941662523107,13.644922917125939
81.78225324399098,-9.453315458695986,-0.09425072362653102,13.679235218571332
82.88786958203805,-8.512886530326481,-0.09470172574369509,12.285041988287288
82.57549062307987,-12.470841838919362,-0.09867956765799109,13.850199588470756
82.79798372256481,-12.3642985355637,-0.06615637299298043,13.363325817008615
85.65776866200196,-9.624066674524466,-0.26126926366825654,13.630060813088415
85.49264177431711,-8.851805554957863,-0.22228531487782335,12.741430245891264
83.49536483796562,-7.57636675324981,-0.14285675877684703,14.057024665213968
83.28907060962604,-9.771667949737564,-0.14645885398253092,14.051014764271601
83.52215686859215,-8.834358886064477,-0.1320155197127078,13.5878725109007
87.55867213382977,-11.959076020558788,-0.2440572519427599,13.609147595914548
87.96455315479035,-12.524847787507037,-0.23223633338970648,12.99467168822373
87.00102668830809,-12.45494262536135,-0.23736103082668386,12.361177431997223
85.14921700599932,-11.859572625579766,-0.1672945761444043,13.757255671637191
80.77573808517148,-10.601887298174601,0.04420337940650556,13.552844881209843
80.87467264885878,-12.071221843050811,0.011505265722885637,12.353845075080365
83.60193557999753,-9.00489860814114,-0.19182181536957488,13.52412753425726
84.66826435024883,-9.037572921315618,-0.137448508707615,12.39271165288049
82.2089123496599,-10.107591036845772,-0.011689876836789695,13.593247931581693
81.887619492571,-10.277992098287374,-0.023391171701342455,13.51797808522683
79.5859213492327,-10.029037733295231,0.04016062583567769,13.30106048965965
84.88226386436362,-10.289032278957107,-0.225541361533258,13.317119866059814
85.78191683955109,-8.94172277834004,-0.2042064871835273,12.886329373085601
85.645242693043,-8.624717043950055,-0.20288695192885817,12.821567752693177
85.13780853287933,-10.869768433166366,-0.20481026501925897,13.22374294063367
87.67895968654695,-10.281867279276385,-0.22460856536431237,13.298877138756046
86.35196079808006,-11.587894863146051,-0.2459871634256564,13.402478908068423
86.50389385454666,-11.649028470321651,-0.2467200508032054,13.398128740472169
86.20871680682605,-12.012964967464912,-0.2607424509148895,13.30118786924423
86.38433253854642,-11.673645880546553,-0.25409086861294955,13.40833018473815
85.81656292666051,-10.299363915403086,-0.18457897518371882,13.18463133820148
84.92326401667708,-10.490899051726144,-0.20398546498406686,12.986016035996723
83.17177639802046,-8.943817747419267,-0.16946745875174496,13.35084532297322
83.3886011774611,-8.600176408475718,-0.10992525116541102,12.855277043773025
84.77369769248318,-10.751815782293782,-0.16889510838852012,13.456904250551968
84.77369769248318,-10.751815782293782,-0.16889510838852012,13.456904250551968
85.8925842443543,-10.509434724609417,-0.17105114249716347,13.17036585336759
85.8925842443543,-10.509434724609417,-0.17105114249716347,13.17036585336759
85.55042919697117,-11.265079636556012,-0.19887309941409714,13.309929594566995
84.14867810881613,-9.667258392983856,-0.17886691157459833,12.722203276419899
84.14867810881613,-9.667258392983856,-0.17886691157459833,12.722203276419899
