,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],8.485,0.569,7.4,9.539,0.02,0.014,782.0,782.0,784.0,1340.0,1.0
row[0],0.147,0.089,-0.017,0.314,0.001,0.001,4927.0,3537.0,4922.0,2984.0,1.0
column[0],-0.078,0.09,-0.25,0.081,0.001,0.001,3995.0,2511.0,3944.0,2517.0,1.0
size[0],-0.015,0.01,-0.036,0.003,0.0,0.0,1344.0,1344.0,1344.0,2215.0,1.0
rating[0],1.095,0.074,0.956,1.231,0.001,0.001,3831.0,3818.0,3836.0,2804.0,1.0
setsize[0],-0.197,0.015,-0.224,-0.168,0.0,0.0,2968.0,2964.0,2972.0,2502.0,1.0
gaze_sd,7.746,0.09,7.584,7.928,0.001,0.001,4768.0,4701.0,5031.0,2095.0,1.0
