Intercept__0,obs_rt__0,pred_rt_sd
-612.1257689072286,1.1973398652109792,3587.981427105619
-197.9524312868731,1.0550481716708224,3611.604776995611
-260.1304448505663,1.151342959036625,3764.4514282321343
-261.9632916131428,1.022300150316813,3486.79943671148
772.8611260533813,0.9020382788039248,3739.644620416681
770.5048327960486,0.8728260683085274,3470.4777121058446
763.8818721112989,0.8762792924656604,4038.121103260349
781.4370798386686,0.8998806621395207,3947.3123163560444
780.4569678352799,0.979065442296549,4118.4275601633435
606.9856036605734,1.00610977470264,4025.8043160862644
606.9852988162496,0.9085622981979867,3802.329964452075
608.2211729974277,1.0111111566591156,3913.196442545242
607.4716194279557,1.018021475346829,3889.3790615081716
609.1414985627033,0.90452150374401,3745.1857118725934
678.5935759035588,0.9841982866689079,3756.4204328294854
680.4274231802252,0.966646488892358,3756.1388934630877
-186.8026685546113,1.0877113867359023,3804.8626387860504
60.465150722526246,1.0520607448562744,3608.8355489556075
350.00544089014306,1.0307562706634559,3702.634238083116
27.14922951002119,1.1207601951724624,3612.941199564222
26.67550552341265,1.1856419035618515,3770.7859428970096
160.3119166956202,1.1762017553725934,3811.2126946454405
-55.29064067594163,1.031797955962099,3691.1228190568163
-444.31310543053064,1.1480641469933295,3710.032732221755
-157.7245349215691,1.0309765171595018,3801.239931216697
-331.268349921285,1.0512088539889057,3692.4757227393193
76.46871120637444,1.1044607605206949,3648.3028297503834
76.0211411128927,1.0962017008866365,3670.3587384274524
-744.5015331982061,1.2357612634942488,3894.5174938329737
-745.8490237434579,1.116813973128809,3873.8235742548163
-805.9185621522329,1.202596214839006,4007.7729463576725
-608.951475118891,1.15806391223325,3989.8311859404994
-363.7787341597822,1.0424887798882903,3211.709667015689
-369.01196708920713,1.0449278483769973,4111.342692425322
-353.8459109949382,1.0272241159695037,3293.9897705722483
-356.8287457310471,1.020460633606369,3913.8093149752285
-358.7455086119918,1.2157581787475862,3954.6614145437047
-350.14479733174187,1.0457957948508163,4036.854304054403
1031.1140501269717,0.7975945909651875,4096.102707074704
1028.658512281941,0.9610905393877127,3676.989049233013
1028.755487265053,0.8534631007202135,3375.832609009269
1029.3344669648623,0.9181513903845396,3335.1160759967916
1029.3344669648623,0.9181513903845396,3335.1160759967916
1035.026686858247,0.9664422868006127,4091.8772403246026
1035.1648328279948,0.9906352046122552,4090.3387461779907
1036.0034433675635,0.9003851502970699,4089.489377845889
1035.3873100466153,0.9034442484022106,4169.316827558717
1034.3865829630352,0.8888928253939951,4261.267260999584
1023.7087093355775,0.8606027007649122,3268.138007398391
1023.7087093355775,0.8606027007649122,3268.138007398391
1016.6283412299058,0.9347487086645931,3928.1601124008403
785.4513824808464,0.8867953153281546,3455.62919939028
784.9476000489518,0.9194042865627018,3363.9919383265365
193.15874605061717,1.0231623021650424,3775.9618006761175
193.68481230705987,1.0296075046681195,3784.3875320917527
197.18727513375035,1.0353517366271132,3890.784515011146
824.237155914099,0.9332007189403759,3435.95544072999
976.8911002167611,0.9328269743874009,3518.719501823295
976.093710382598,0.8826467492380958,3634.7182175293947
975.3318153250802,0.9085006136188286,3708.753325517403
615.1804530750773,0.8928102984899164,3671.717638130482
592.9723892045185,1.0179073217083703,3651.6687807030103
592.6992435491849,0.8609214115256181,3787.969888348053
-361.53600124557704,1.1130909558838231,3784.568897253941
480.6326292488376,0.9833576022737193,3701.3636613144163
-449.2309563963644,1.1308678360119937,3711.822240476383
625.3634781544931,0.982785203449339,3720.0636723545595
442.81660071124315,0.9978439652322989,3634.611209322346
442.81660071124315,0.9978439652322989,3634.611209322346
440.93507715467393,0.9671016705122768,3881.9218645466012
-1410.1325388579226,1.3143758648260764,3776.02674599828
-1409.96245881233,1.3068700000289253,3964.5943000609636
-1411.6378592874237,1.2547956709885,3608.859464282174
-693.8085192515491,1.2193848646808454,3546.8147819559827
-738.5249465975851,1.1252381173885198,3694.8735945528892
-631.2827604286473,1.0844861166359425,3635.5649174433634
-324.3126994793971,1.0713454450091657,3285.1688041009857
-327.02667078102803,1.1300541212972088,3642.1201733810462
-410.5656987195293,1.1470937678103275,3401.353950880406
-270.4472862329969,1.0633194035835214,3441.4676391104204
-28.872476948644678,1.104694295687976,3663.9082506351497
-27.443404825755472,0.9883255834349471,3547.8310157644532
-27.443404825755472,0.9883255834349471,3547.8310157644532
-29.08853384940139,0.983823746024809,3659.026259220124
360.54287887335863,0.9739327917058104,3717.039547045864
420.62215200833776,1.0031221061444653,3750.4515285799976
420.62215200833776,1.0031221061444653,3750.4515285799976
420.84397819480824,0.9380044298395604,3602.800310672415
422.86722506954715,1.018351539524276,3626.179730324176
-264.2605059283691,1.0707785920109107,3604.324035683234
-155.30265812541683,1.0626574908951785,4005.61087925724
-160.19987194229134,1.1038014346710818,3356.7845236261523
-168.14210305608526,1.1025991727616775,4159.478058445141
-168.13649228561906,1.18045553441918,4158.473331258082
-164.96749185306808,1.0399450609659684,4005.52335558695
-436.6510136056479,1.1665397093827372,4082.8803825612054
-436.05542886577126,1.155846336264554,4130.645616221419
-660.7434910928748,1.162670671206807,4131.562229816095
-662.3497878206751,1.1576576513544512,3945.4890745477896
-264.5760089003958,1.0949885703286486,3898.46702560587
130.1221956735496,0.9758578822680791,3882.707747844741
586.3134723992571,0.941230478592477,3582.7523984316363
505.7534279396229,0.9403199719838291,4095.6403584411173
509.9829986824163,1.0639372371847542,3895.822861135597
512.6198111447517,0.915579376477094,3731.926965026265
-365.33568557775624,1.1503910753786732,3640.464641319404
279.1522892577566,0.9757558054552516,3536.887963618635
