Intercept__0,obs_p_choose_best__0,1|setsize_offset__0,1|setsize_offset__1,1|setsize_offset__2,1|setsize_offset__3,obs_p_choose_best|setsize_offset__0,obs_p_choose_best|setsize_offset__1,obs_p_choose_best|setsize_offset__2,obs_p_choose_best|setsize_offset__3,1|setsize_sd,1|setsize__0,1|setsize__1,1|setsize__2,1|setsize__3,obs_p_choose_best|setsize_sd,obs_p_choose_best|setsize__0,obs_p_choose_best|setsize__1,obs_p_choose_best|setsize__2,obs_p_choose_best|setsize__3,pred_p_choose_best_sd
8.212757950679611,0.49175677492582753,1.1160766382809881,-0.052739979219391164,0.32751972117326794,-0.9675297278064481,-0.7260984529618749,-0.5752527023435127,-0.9631839139607145,-0.580426840807529,4.92916319305656,5.501323886044947,-0.2599639643707908,1.6143981546074195,-4.769111922491576,0.20007620433210163,-0.14527502244002297,-0.11509437721667427,-0.1927101815789973,-0.11612959920124341,11.55063274098536
8.212757950679611,0.49175677492582753,1.1160766382809881,-0.052739979219391164,0.32751972117326794,-0.9675297278064481,-0.7260984529618749,-0.5752527023435127,-0.9631839139607145,-0.580426840807529,4.92916319305656,5.501323886044947,-0.2599639643707908,1.6143981546074195,-4.769111922491576,0.20007620433210163,-0.14527502244002297,-0.11509437721667427,-0.1927101815789973,-0.11612959920124341,11.55063274098536
6.003421036070857,0.49909525400393834,1.0490049099219982,-0.27581710884369415,0.5485660618814245,-0.5404252047772243,-0.698635452381338,-0.4604853887578722,-1.0796588647375724,-1.0051196536880522,6.672874881841754,6.999878514347174,-1.8404930575852996,3.6605126953594067,-3.6061897744721265,0.19235376344337404,-0.1343851585405145,-0.08857609753826189,-0.2076764458672728,-0.19333854809779763,10.751306573335848
6.003421036070857,0.49909525400393834,1.0490049099219982,-0.27581710884369415,0.5485660618814245,-0.5404252047772243,-0.698635452381338,-0.4604853887578722,-1.0796588647375724,-1.0051196536880522,6.672874881841754,6.999878514347174,-1.8404930575852996,3.6605126953594067,-3.6061897744721265,0.19235376344337404,-0.1343851585405145,-0.08857609753826189,-0.2076764458672728,-0.19333854809779763,10.751306573335848
6.003421036070857,0.49909525400393834,1.0490049099219982,-0.27581710884369415,0.5485660618814245,-0.5404252047772243,-0.698635452381338,-0.4604853887578722,-1.0796588647375724,-1.0051196536880522,6.672874881841754,6.999878514347174,-1.8404930575852996,3.6605126953594067,-3.6061897744721265,0.19235376344337404,-0.1343851585405145,-0.08857609753826189,-0.2076764458672728,-0.19333854809779763,10.751306573335848
6.003421036070857,0.49909525400393834,1.0490049099219982,-0.27581710884369415,0.5485660618814245,-0.5404252047772243,-0.698635452381338,-0.4604853887578722,-1.0796588647375724,-1.0051196536880522,6.672874881841754,6.999878514347174,-1.8404930575852996,3.6605126953594067,-3.6061897744721265,0.19235376344337404,-0.1343851585405145,-0.08857609753826189,-0.2076764458672728,-0.19333854809779763,10.751306573335848
6.377269551674173,0.5078118750795365,0.8935979176425056,-0.5368040782315143,0.36562094323621946,-0.4355073181714805,-0.7330630376431291,-0.393792756055357,-1.187781292660897,-0.7729127379039664,5.797961099816399,5.1810459653681855,-3.112369163809119,2.11985600616178,-2.5250544894436073,0.18221642333681168,-0.13357612479974953,-0.07175550754435274,-0.21643325885504341,-0.1408373946523233,10.110246711304294
6.377269551674173,0.5078118750795365,0.8935979176425056,-0.5368040782315143,0.36562094323621946,-0.4355073181714805,-0.7330630376431291,-0.393792756055357,-1.187781292660897,-0.7729127379039664,5.797961099816399,5.1810459653681855,-3.112369163809119,2.11985600616178,-2.5250544894436073,0.18221642333681168,-0.13357612479974953,-0.07175550754435274,-0.21643325885504341,-0.1408373946523233,10.110246711304294
6.377269551674173,0.5078118750795365,0.8935979176425056,-0.5368040782315143,0.36562094323621946,-0.4355073181714805,-0.7330630376431291,-0.393792756055357,-1.187781292660897,-0.7729127379039664,5.797961099816399,5.1810459653681855,-3.112369163809119,2.11985600616178,-2.5250544894436073,0.18221642333681168,-0.13357612479974953,-0.07175550754435274,-0.21643325885504341,-0.1408373946523233,10.110246711304294
6.530749003289946,0.5106808136116634,1.2708396463337026,-0.8538309390546828,0.185389962647574,-0.43981133639608855,-0.6399202957399086,-0.29864955928665404,-0.7581269943160515,-1.0154414336024438,5.223018307208591,6.637618738327419,-4.459574625943711,0.9682951688809959,-2.2971426617146466,0.21428073692907174,-0.13712259254701714,-0.06399484764748672,-0.1624520110278657,-0.2175895387006447,11.165660083101486
6.725020154132092,0.4978590098951294,1.4650967135380888,-0.8965691698213591,-0.06381046702301019,-0.5437523368161097,-0.6979254192770434,-0.3799427013529564,-0.8224178733398136,-0.9205686511559282,4.906216365332926,7.188081472756058,-4.398762333630508,-0.31306795758782957,-2.667766613575219,0.1944603486229752,-0.13571882034545,-0.07388379016185086,-0.15992766636342604,-0.17901410083516384,10.475623056363908
7.208644441445954,0.49890976060954895,1.4535581807001428,-0.6976940828565694,-0.06537860191842795,-0.6690622700148109,-0.7078855443812021,-0.34287192927724175,-0.7430717828124731,-0.7948748569871613,4.432901649130753,6.44348045633316,-3.0928092504836546,-0.2898169122620623,-2.9658872401198204,0.22304557786578835,-0.15789074030934339,-0.0764760675996001,-0.16573887519316963,-0.17729332180768728,10.823288440317274
