Intercept__0,beta_size__0,frac_items_seen_sd
64.75597349157971,-119.62153785447921,12.46477502720414
61.29536661158533,-86.53458165717603,13.186495409773368
63.38268811383605,-95.02287422817876,11.509150896331938
59.80408374825094,-91.49449275455599,13.05852937384496
59.069472541456435,-89.36419593058555,12.077023067965898
62.7785462293413,-164.8923904975569,12.312534150078223
64.78264672790793,-97.4994205697394,13.203245539892672
58.89462570331142,-153.14019291920656,12.673034739280935
59.818390609363725,-94.07073257904882,12.15141993751603
59.566041363778936,-75.68186629436515,12.799605960851371
62.18588094158972,-166.5450226165244,12.76480514400349
63.05290828169753,-168.4572135378362,11.83101636925251
60.662392011591876,-25.19020140590315,12.175307799110495
60.38121943095563,-47.81923252486561,12.854164448299924
60.44080737346546,-40.781194067790864,12.506895016172136
61.036314356779016,-36.595571348995584,12.588690557680023
61.036314356779016,-36.595571348995584,12.588690557680023
58.55571874872259,-27.825038425591092,13.636275901298315
61.40999990202273,-47.159039040607986,11.680418684379534
57.982567274523106,-56.76136779552216,13.16984526400784
61.136806891854576,-56.7643199640666,12.91913388864628
60.002433147207135,-66.69032441474585,11.878778449929058
62.75656167796452,-95.03840950315666,11.76145667332008
61.987710174971376,-67.73553373211675,13.426109989987046
61.24724197012654,-68.56972977984664,13.713243736801788
61.89606575843765,-69.92752744681006,13.600527572081576
63.43327681415319,-75.02998101077986,13.453410799357963
60.149370049330784,-72.21072173697551,11.33073941762831
61.54331735714171,-93.23020620263199,13.527533960158397
56.42933818458651,-91.00622942020898,13.53118649715541
64.18170412654966,-84.28615900576376,12.395633258605264
62.593271775651615,-57.512432100890926,12.892887203794855
65.53342730554581,-65.75547997421553,11.480624681412715
64.02477852351348,-63.79199605249299,12.443119660938535
61.41412518316288,-36.83266734870168,13.87166034483261
59.235318347792024,-31.299177052787876,13.487879405074661
57.91994449108729,-72.71836238391239,12.628461398067504
66.08551884712094,-127.94138488281193,12.597692088253245
66.08551884712094,-127.94138488281193,12.597692088253245
66.3574803544141,-129.60933727877116,12.21313641989862
64.16275417916421,-131.46499961202494,12.644039942851217
59.918009883833086,-129.7008300230041,12.834116767369848
63.40788536625761,-123.7333080846825,12.721102549676479
60.99120261014986,-132.6611683854756,13.3426195090861
57.94352878974793,-168.6369237386531,13.586095264145232
58.258695128138484,-164.906615437771,12.563233086925202
60.31123931034916,-161.20045961652042,12.818895210570552
