,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
b,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
p_error,0.05000000447034836,3.725476371840841e-09,0.05000000074505806,0.05000000074505806,3.7254763718408414e-11,2.6343864464297942e-11,10000.0,10000.0,10000.0,10000.0,
v,0.00010815403404449846,1.1832312488523298e-05,8.665016163792008e-05,0.0001296060946071279,4.0595300669332014e-07,2.871507323073483e-07,849.547638068968,849.547638068968,852.5203196148477,1470.494204141838,1.0003918185020686
s,0.003953797129681607,0.00022713947191805542,0.003526132293648233,0.004388401062751386,8.9541134188255e-06,6.334386354705567e-06,643.4873906799515,643.4873906799515,644.1912658847489,815.7603730045856,1.0015420284585324
tau,0.7474124666936235,0.28501468091479226,0.38174549384596684,1.1376012005689704,0.009393582487399762,0.006644371427161944,920.6020864832747,920.6020864832747,968.0713592517282,1326.4609628414923,1.0030612717388194
gamma,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
zeta,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
