,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
b,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
p_error,0.05000000447034836,3.725476371840841e-09,0.05000000074505806,0.05000000074505806,3.7254763718408414e-11,2.6343864464297942e-11,10000.0,10000.0,10000.0,10000.0,
v,0.00028501711240000216,2.8354745005494382e-05,0.00022959367343107576,0.0003344629892724096,7.102155488934929e-07,5.022901542373278e-07,1593.9369548850516,1593.9369548850516,1581.8669242552476,2161.790063243021,1.0035536301240933
s,0.005876562609506393,0.0002878629373589831,0.00534960011037623,0.006433423709747713,8.079473029938443e-06,5.714363333934797e-06,1269.4202855057215,1269.4202855057215,1270.2416545842655,1710.3264862300043,1.0042249118677606
tau,1.3512292926404659,0.4894004539882447,0.7949872343955421,1.9244612767731752,0.017971350673860235,0.013623494841567697,741.5958631384392,645.8239729837809,1267.3854360128487,1329.7438079995848,1.0056071576021481
gamma,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
zeta,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
