,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
b,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
p_error,0.05000000447034836,3.725476371840841e-09,0.05000000074505806,0.05000000074505806,3.7254763718408414e-11,2.6343864464297942e-11,10000.0,10000.0,10000.0,10000.0,
v,0.00025379813986599797,1.9278110221183445e-05,0.0002186176311836443,0.0002898414456049313,8.204887429534831e-07,5.81192298356016e-07,552.0566733844053,550.7056597036539,553.6921815129888,1123.4849546602659,1.0079271104631524
s,0.004332072160779254,0.0003677631793647169,0.0036031336570399634,0.004953712128650945,1.8580449807758997e-05,1.314815595176243e-05,391.76356553590597,391.76356553590597,395.98689066482893,800.2174775733062,1.004935084610792
tau,2.3836870164291466,2.000300154561363,0.6712705401136919,7.264920731256121,0.09755086434300439,0.06902678354653399,420.4632989432258,420.4632989432258,425.9489799496113,797.7300167515552,1.0048891430290632
gamma,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
zeta,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
