,Unnamed: 0,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
0,b,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
1,p_error,0.050000004470348365,3.725476371840841e-09,0.05000000074505806,0.05000000074505806,3.7254763718408414e-11,2.6343864464297942e-11,10000.0,10000.0,10000.0,10000.0,
2,v,0.00017728848642570126,1.6519466039403126e-05,0.00014641286841228382,0.00020796384886776547,5.158652780913103e-07,3.6487563675290214e-07,1025.4616332858195,1025.4616332858195,1023.2275001530486,1550.326970131073,1.0016781052082877
3,s,0.005446764779375243,0.00034690652677643564,0.0047935647113019975,0.006098799856710604,1.1253777765070135e-05,7.989062679735867e-06,950.2289822584712,943.3480183891647,950.4806167005198,1409.9682846467804,1.0019133728510632
4,tau,4.904550946961163,2.5550494809638566,1.529819294847249,9.55389666465156,0.08377718063612531,0.0592579983938467,930.1374878622796,930.1374878622796,824.3669189216953,878.8116786861598,1.0009439036286765
5,gamma,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
6,zeta,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
