b,p_error,v,s,tau,gamma,zeta
1.0,0.05,0.00020670883260555468,0.005332073410748553,1.660194999470805,1.0,0.0
1.0,0.05,0.00020670883260555468,0.005332073410748553,1.660194999470805,1.0,0.0
1.0,0.05,0.00020670883260555468,0.005332073410748553,1.660194999470805,1.0,0.0
1.0,0.05,0.00020670883260555468,0.005332073410748553,1.660194999470805,1.0,0.0
1.0,0.05,0.00020670883260555468,0.005332073410748553,1.660194999470805,1.0,0.0
1.0,0.05,0.0002259905165325941,0.005332073410748553,1.660194999470805,1.0,0.0
1.0,0.05,0.0002259905165325941,0.00460892403442444,1.531730496760196,1.0,0.0
1.0,0.05,0.0002259905165325941,0.00460892403442444,1.531730496760196,1.0,0.0
1.0,0.05,0.0002259905165325941,0.00460892403442444,1.531730496760196,1.0,0.0
1.0,0.05,0.0002259905165325941,0.0053317311858749284,1.6453174402735855,1.0,0.0
1.0,0.05,0.0002259905165325941,0.0053317311858749284,1.6453174402735855,1.0,0.0
1.0,0.05,0.0002259905165325941,0.0053317311858749284,1.6453174402735855,1.0,0.0
1.0,0.05,0.0002259905165325941,0.005497180855780878,1.6453174402735855,1.0,0.0
1.0,0.05,0.00024285935640829489,0.0054707305697663045,1.6453174402735855,1.0,0.0
1.0,0.05,0.00024285935640829489,0.0054707305697663045,1.6453174402735855,1.0,0.0
1.0,0.05,0.00018656595550715658,0.004590485632770301,1.6453174402735855,1.0,0.0
1.0,0.05,0.0002216188485852881,0.004590485632770301,1.6453174402735855,1.0,0.0
1.0,0.05,0.0002216188485852881,0.004978793673750678,1.229795062625186,1.0,0.0
1.0,0.05,0.0002216188485852881,0.004978793673750678,1.229795062625186,1.0,0.0
1.0,0.05,0.0002216188485852881,0.004978793673750678,1.229795062625186,1.0,0.0
1.0,0.05,0.0002216188485852881,0.004978793673750678,1.4511858370595143,1.0,0.0
1.0,0.05,0.0002216188485852881,0.004975911305690969,1.4066939157712892,1.0,0.0
1.0,0.05,0.00022013482880370167,0.004975911305690969,1.4655921246751544,1.0,0.0
1.0,0.05,0.00021429502229363111,0.004975911305690969,1.4655921246751544,1.0,0.0
1.0,0.05,0.00022434381377410865,0.004975911305690969,1.4655921246751544,1.0,0.0
1.0,0.05,0.00020916478992289008,0.004975911305690969,1.4655921246751544,1.0,0.0
1.0,0.05,0.00020916478992289008,0.004975911305690969,1.4655921246751544,1.0,0.0
1.0,0.05,0.000209721110291321,0.004975911305690969,1.1376174656430966,1.0,0.0
1.0,0.05,0.000209721110291321,0.004975911305690969,1.1376174656430966,1.0,0.0
1.0,0.05,0.0002007598977548235,0.004975911305690969,1.1376174656430966,1.0,0.0
1.0,0.05,0.0002007598977548235,0.004975911305690969,2.8190319402612696,1.0,0.0
1.0,0.05,0.00024331308071772758,0.004975911305690969,1.607011710080561,1.0,0.0
1.0,0.05,0.00024331308071772758,0.004975911305690969,1.607011710080561,1.0,0.0
1.0,0.05,0.00019602105577216377,0.004975911305690969,1.607011710080561,1.0,0.0
1.0,0.05,0.00023115143879661717,0.004975911305690969,1.607011710080561,1.0,0.0
1.0,0.05,0.00023115143879661717,0.004822684964550813,1.7158189235875725,1.0,0.0
1.0,0.05,0.0002213216854519103,0.004912532301865037,1.7158189235875725,1.0,0.0
1.0,0.05,0.00019454448829642643,0.004912532301865037,1.5710944218464105,1.0,0.0
1.0,0.05,0.00019454448829642643,0.004912532301865037,1.5710944218464105,1.0,0.0
1.0,0.05,0.00019454448829642643,0.004912532301865037,1.5710944218464105,1.0,0.0
1.0,0.05,0.00019694148705099105,0.004912532301865037,1.5710944218464105,1.0,0.0
1.0,0.05,0.00019694148705099105,0.00514235870776664,1.5710944218464105,1.0,0.0
1.0,0.05,0.00022545812785146801,0.00514235870776664,1.5710944218464105,1.0,0.0
1.0,0.05,0.00022545812785146801,0.00514235870776664,1.8138119198741116,1.0,0.0
1.0,0.05,0.00022545812785146801,0.004657581068426265,1.914662714206276,1.0,0.0
1.0,0.05,0.00022545812785146801,0.00499705470528526,1.914662714206276,1.0,0.0
1.0,0.05,0.00022029321591542715,0.00499705470528526,1.334804874708785,1.0,0.0
1.0,0.05,0.00022854903800335587,0.00499705470528526,1.334804874708785,1.0,0.0
1.0,0.05,0.000219486438490656,0.00499705470528526,1.334804874708785,1.0,0.0
1.0,0.05,0.000219486438490656,0.005370723777760947,1.334804874708785,1.0,0.0
1.0,0.05,0.000219486438490656,0.005370723777760947,1.334804874708785,1.0,0.0
1.0,0.05,0.000219486438490656,0.005370723777760947,1.334804874708785,1.0,0.0
1.0,0.05,0.00020001887142610136,0.005015573244026782,1.334804874708785,1.0,0.0
1.0,0.05,0.00020001887142610136,0.005015573244026782,1.334804874708785,1.0,0.0
1.0,0.05,0.00020001887142610136,0.005015573244026782,1.334804874708785,1.0,0.0
1.0,0.05,0.00020001887142610136,0.004855166620087711,1.334804874708785,1.0,0.0
1.0,0.05,0.00022095803112008307,0.004855166620087711,1.334804874708785,1.0,0.0
1.0,0.05,0.00022226588333499722,0.004855166620087711,1.334804874708785,1.0,0.0
1.0,0.05,0.00022226588333499722,0.004855166620087711,1.4209635183656852,1.0,0.0
1.0,0.05,0.00022226588333499722,0.004855166620087711,1.4209635183656852,1.0,0.0
1.0,0.05,0.00022226588333499722,0.004855166620087711,1.4209635183656852,1.0,0.0
1.0,0.05,0.00022226588333499722,0.005464684295254426,1.4209635183656852,1.0,0.0
1.0,0.05,0.00022226588333499722,0.005464684295254426,1.4209635183656852,1.0,0.0
1.0,0.05,0.00022226588333499722,0.005464684295254426,1.4209635183656852,1.0,0.0
1.0,0.05,0.00022226588333499722,0.005464684295254426,1.4209635183656852,1.0,0.0
1.0,0.05,0.00022226588333499722,0.005464684295254426,1.4209635183656852,1.0,0.0
1.0,0.05,0.00022226588333499722,0.004664280837894449,1.4209635183656852,1.0,0.0
1.0,0.05,0.00022226588333499722,0.004664280837894449,1.4209635183656852,1.0,0.0
1.0,0.05,0.0002338575042337272,0.004664280837894449,1.4209635183656852,1.0,0.0
1.0,0.05,0.0002338575042337272,0.004664280837894449,1.4209635183656852,1.0,0.0
1.0,0.05,0.00022157676428462435,0.004664280837894449,1.0845566665076891,1.0,0.0
1.0,0.05,0.00022157676428462435,0.004664280837894449,1.0845566665076891,1.0,0.0
1.0,0.05,0.00022157676428462435,0.004664280837894449,1.0541172583849756,1.0,0.0
1.0,0.05,0.00022157676428462435,0.005182478737179605,0.9295810400955808,1.0,0.0
1.0,0.05,0.00022157676428462435,0.005182478737179605,0.9295810400955808,1.0,0.0
1.0,0.05,0.00020459935911836788,0.005182478737179605,0.9295810400955808,1.0,0.0
1.0,0.05,0.00020459935911836788,0.004901113566446336,0.9295810400955808,1.0,0.0
1.0,0.05,0.00020459935911836788,0.004901113566446336,0.9295810400955808,1.0,0.0
1.0,0.05,0.00020875626189258224,0.004904681001622759,0.9295810400955808,1.0,0.0
1.0,0.05,0.00020875626189258224,0.004904681001622759,0.9295810400955808,1.0,0.0
1.0,0.05,0.00020875626189258224,0.004904681001622759,1.5082084610035618,1.0,0.0
1.0,0.05,0.00023004291768901694,0.004904681001622759,1.5082084610035618,1.0,0.0
1.0,0.05,0.00023004291768901694,0.004904681001622759,1.5082084610035618,1.0,0.0
1.0,0.05,0.00023004291768901694,0.004489990462254121,1.5082084610035618,1.0,0.0
1.0,0.05,0.00023004291768901694,0.004679933843890281,1.5082084610035618,1.0,0.0
1.0,0.05,0.00023004291768901694,0.004679933843890281,1.5082084610035618,1.0,0.0
1.0,0.05,0.0002158595759316376,0.004679933843890281,1.5082084610035618,1.0,0.0
1.0,0.05,0.0002158595759316376,0.004679933843890281,2.2755374967930355,1.0,0.0
1.0,0.05,0.00020422969610436637,0.004679933843890281,2.2755374967930355,1.0,0.0
1.0,0.05,0.00021495188617701608,0.005307828126755399,1.578331941069259,1.0,0.0
1.0,0.05,0.00021495188617701608,0.005307828126755399,1.578331941069259,1.0,0.0
