,Unnamed: 0,WAIC,WAIC_se,p_WAIC,WAIC_i,WAIC_scale
0,0,-444.86150505689903,10.697871484518897,1.8113372990463528,-11.309273201528976,log
1,1,-444.86150505689903,10.697871484518897,1.8113372990463528,-9.660832120359137,log
2,2,-444.86150505689903,10.697871484518897,1.8113372990463528,-8.909438722545097,log
3,3,-444.86150505689903,10.697871484518897,1.8113372990463528,-7.932898754247942,log
4,4,-444.86150505689903,10.697871484518897,1.8113372990463528,-9.028698148529235,log
5,5,-444.86150505689903,10.697871484518897,1.8113372990463528,-10.860142215682304,log
6,6,-444.86150505689903,10.697871484518897,1.8113372990463528,-7.894349805130088,log
7,7,-444.86150505689903,10.697871484518897,1.8113372990463528,-8.713558294238943,log
8,8,-444.86150505689903,10.697871484518897,1.8113372990463528,-8.083337093981049,log
9,9,-444.86150505689903,10.697871484518897,1.8113372990463528,-8.922251338218416,log
10,10,-444.86150505689903,10.697871484518897,1.8113372990463528,-9.32388623254367,log
11,11,-444.86150505689903,10.697871484518897,1.8113372990463528,-7.967047401486324,log
12,12,-444.86150505689903,10.697871484518897,1.8113372990463528,-10.06233019349018,log
13,13,-444.86150505689903,10.697871484518897,1.8113372990463528,-9.339509398688405,log
14,14,-444.86150505689903,10.697871484518897,1.8113372990463528,-8.079028604908608,log
15,15,-444.86150505689903,10.697871484518897,1.8113372990463528,-7.911741752410845,log
16,16,-444.86150505689903,10.697871484518897,1.8113372990463528,-8.158551907311137,log
17,17,-444.86150505689903,10.697871484518897,1.8113372990463528,-10.268312211153178,log
18,18,-444.86150505689903,10.697871484518897,1.8113372990463528,-8.209055782792271,log
19,19,-444.86150505689903,10.697871484518897,1.8113372990463528,-7.863748962873608,log
20,20,-444.86150505689903,10.697871484518897,1.8113372990463528,-7.893442581406246,log
21,21,-444.86150505689903,10.697871484518897,1.8113372990463528,-9.204944599049275,log
22,22,-444.86150505689903,10.697871484518897,1.8113372990463528,-10.88725617160491,log
23,23,-444.86150505689903,10.697871484518897,1.8113372990463528,-8.701967277004089,log
24,24,-444.86150505689903,10.697871484518897,1.8113372990463528,-7.892198344241375,log
25,25,-444.86150505689903,10.697871484518897,1.8113372990463528,-10.92122943609802,log
26,26,-444.86150505689903,10.697871484518897,1.8113372990463528,-9.126163593699193,log
27,27,-444.86150505689903,10.697871484518897,1.8113372990463528,-8.294730431238015,log
28,28,-444.86150505689903,10.697871484518897,1.8113372990463528,-7.856841621291532,log
29,29,-444.86150505689903,10.697871484518897,1.8113372990463528,-8.227526285474037,log
30,30,-444.86150505689903,10.697871484518897,1.8113372990463528,-7.934360715576184,log
31,31,-444.86150505689903,10.697871484518897,1.8113372990463528,-14.34751740982496,log
32,32,-444.86150505689903,10.697871484518897,1.8113372990463528,-7.933856055266464,log
33,33,-444.86150505689903,10.697871484518897,1.8113372990463528,-8.087040975264777,log
34,34,-444.86150505689903,10.697871484518897,1.8113372990463528,-7.843692814105514,log
35,35,-444.86150505689903,10.697871484518897,1.8113372990463528,-8.294887671428754,log
36,36,-444.86150505689903,10.697871484518897,1.8113372990463528,-8.095127028588356,log
37,37,-444.86150505689903,10.697871484518897,1.8113372990463528,-8.118539842540466,log
38,38,-444.86150505689903,10.697871484518897,1.8113372990463528,-8.60967234751856,log
39,39,-444.86150505689903,10.697871484518897,1.8113372990463528,-8.424666713622099,log
40,40,-444.86150505689903,10.697871484518897,1.8113372990463528,-8.530218449541746,log
41,41,-444.86150505689903,10.697871484518897,1.8113372990463528,-7.9919032569563555,log
42,42,-444.86150505689903,10.697871484518897,1.8113372990463528,-7.895163842984665,log
43,43,-444.86150505689903,10.697871484518897,1.8113372990463528,-7.934000187349959,log
44,44,-444.86150505689903,10.697871484518897,1.8113372990463528,-10.112996725797094,log
45,45,-444.86150505689903,10.697871484518897,1.8113372990463528,-7.692124138003749,log
46,46,-444.86150505689903,10.697871484518897,1.8113372990463528,-15.0786386847099,log
47,47,-444.86150505689903,10.697871484518897,1.8113372990463528,-7.865293756029072,log
48,48,-444.86150505689903,10.697871484518897,1.8113372990463528,-8.494627935857169,log
49,49,-444.86150505689903,10.697871484518897,1.8113372990463528,-8.072884022707044,log
