,WAIC,WAIC_se,p_WAIC,WAIC_i,WAIC_scale
0,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.892514253812116,log
1,-466.6435084905415,12.171748619617649,2.0040762839388324,-10.257768940082611,log
2,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.630087586623846,log
3,-466.6435084905415,12.171748619617649,2.0040762839388324,-9.354241522466447,log
4,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.713108113916492,log
5,-466.6435084905415,12.171748619617649,2.0040762839388324,-15.750595934943826,log
6,-466.6435084905415,12.171748619617649,2.0040762839388324,-9.217956255500276,log
7,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.46377363499994,log
8,-466.6435084905415,12.171748619617649,2.0040762839388324,-10.40576654710051,log
9,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.489336134441581,log
10,-466.6435084905415,12.171748619617649,2.0040762839388324,-9.808887492150905,log
11,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.597871534455832,log
12,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.55297809632391,log
13,-466.6435084905415,12.171748619617649,2.0040762839388324,-9.269541042399545,log
14,-466.6435084905415,12.171748619617649,2.0040762839388324,-9.316227223036961,log
15,-466.6435084905415,12.171748619617649,2.0040762839388324,-15.226201545128603,log
16,-466.6435084905415,12.171748619617649,2.0040762839388324,-9.21171415619722,log
17,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.470948444391329,log
18,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.677295962160056,log
19,-466.6435084905415,12.171748619617649,2.0040762839388324,-10.049397712536264,log
20,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.797616659559964,log
21,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.998503627756689,log
22,-466.6435084905415,12.171748619617649,2.0040762839388324,-9.460026077018025,log
23,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.529294767909612,log
24,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.512848866098324,log
25,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.459020760846862,log
26,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.53055684570462,log
27,-466.6435084905415,12.171748619617649,2.0040762839388324,-15.969920443667139,log
28,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.573551819003676,log
29,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.507330325671578,log
30,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.501162298188667,log
31,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.521179923001858,log
32,-466.6435084905415,12.171748619617649,2.0040762839388324,-9.605741111751396,log
33,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.808302051136835,log
34,-466.6435084905415,12.171748619617649,2.0040762839388324,-9.24456207197316,log
35,-466.6435084905415,12.171748619617649,2.0040762839388324,-9.160151779842503,log
36,-466.6435084905415,12.171748619617649,2.0040762839388324,-9.9012341855222,log
37,-466.6435084905415,12.171748619617649,2.0040762839388324,-9.201455932576156,log
38,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.868837300390831,log
39,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.676211670236354,log
40,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.792503040484835,log
41,-466.6435084905415,12.171748619617649,2.0040762839388324,-9.195639986152829,log
42,-466.6435084905415,12.171748619617649,2.0040762839388324,-12.842557241773086,log
43,-466.6435084905415,12.171748619617649,2.0040762839388324,-10.044464177863135,log
44,-466.6435084905415,12.171748619617649,2.0040762839388324,-10.230849297795814,log
45,-466.6435084905415,12.171748619617649,2.0040762839388324,-9.031795104574666,log
46,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.646022754210584,log
47,-466.6435084905415,12.171748619617649,2.0040762839388324,-8.51818260403446,log
48,-466.6435084905415,12.171748619617649,2.0040762839388324,-9.157773633127357,log
