subject,setsize,trial,item,dur,onset,stimulus,gaze_num,is_returning,returning_gaze_count,is_last,is_first,item_value,choice,is_last_to_choice
5,25,2,12,492.0,76.0,nr12.png,1.0,0.0,0.0,0.0,1.0,0.0,6,0.0
5,25,2,13,138.0,676.0,nr65.png,2.0,0.0,0.0,0.0,0.0,-3.0,6,0.0
5,25,2,8,100.0,846.0,nr45.png,3.0,0.0,0.0,0.0,0.0,-3.0,6,0.0
5,25,2,20,262.0,1362.0,nr92.png,4.0,0.0,0.0,0.0,0.0,0.0,6,0.0
5,25,2,6,354.0,1942.0,nr53.png,5.0,0.0,0.0,0.0,0.0,3.0,6,0.0
5,25,2,1,144.0,2324.0,nr11.png,6.0,0.0,0.0,1.0,0.0,2.0,6,0.0
5,25,5,12,486.0,75.0,nr120.png,1.0,0.0,0.0,0.0,1.0,-3.0,0,1.0
5,25,5,20,166.0,1441.0,nr69.png,2.0,0.0,0.0,0.0,0.0,-2.0,0,1.0
5,25,5,10,184.0,1659.0,nr19.png,3.0,0.0,0.0,0.0,0.0,-3.0,0,1.0
5,25,5,5,196.0,1881.0,nr75.png,4.0,0.0,0.0,0.0,0.0,2.0,0,1.0
5,25,5,0,35.0,2429.0,nr10.png,5.0,0.0,0.0,1.0,0.0,3.0,0,1.0
5,25,10,12,354.0,74.0,nr88.png,1.0,0.0,0.0,0.0,1.0,2.0,7,0.0
5,25,10,13,92.0,468.0,nr19.png,2.0,0.0,0.0,0.0,0.0,-3.0,7,0.0
5,25,10,7,132.0,610.0,nr53.png,3.0,0.0,0.0,0.0,0.0,3.0,7,0.0
5,25,10,13,140.0,1090.0,nr19.png,4.0,1.0,1.0,0.0,0.0,-3.0,7,0.0
5,25,10,18,150.0,1284.0,nr42.png,5.0,0.0,0.0,0.0,0.0,3.0,7,0.0
5,25,10,23,166.0,1458.0,nr63.png,6.0,0.0,0.0,0.0,0.0,1.0,7,0.0
5,25,10,20,137.0,1906.0,nr45.png,7.0,0.0,0.0,1.0,0.0,-3.0,7,0.0
5,25,15,12,266.0,74.0,nr91.png,1.0,0.0,0.0,0.0,1.0,-3.0,19,0.0
5,25,15,11,108.0,376.0,nr9.png,2.0,0.0,0.0,0.0,0.0,3.0,19,0.0
5,25,15,6,116.0,522.0,nr31.png,3.0,0.0,0.0,0.0,0.0,-3.0,19,0.0
5,25,15,7,128.0,670.0,nr106.png,4.0,0.0,0.0,0.0,0.0,-3.0,19,0.0
5,25,15,0,250.0,854.0,nr49.png,5.0,0.0,0.0,0.0,0.0,2.0,19,0.0
5,25,15,8,202.0,1452.0,nr50.png,6.0,0.0,0.0,0.0,0.0,-3.0,19,0.0
5,25,15,3,114.0,1692.0,nr57.png,7.0,0.0,0.0,0.0,0.0,-3.0,19,0.0
5,25,15,19,118.0,1870.0,nr53.png,8.0,0.0,0.0,0.0,0.0,3.0,19,0.0
5,25,15,24,11.0,2008.0,nr18.png,9.0,0.0,0.0,1.0,0.0,3.0,19,0.0
5,25,21,12,262.0,75.0,nr109.png,1.0,0.0,0.0,0.0,1.0,-1.0,6,1.0
5,25,21,6,172.0,513.0,nr53.png,2.0,0.0,0.0,0.0,0.0,3.0,6,1.0
5,25,21,1,128.0,713.0,nr54.png,3.0,0.0,0.0,0.0,0.0,2.0,6,1.0
5,25,21,2,206.0,881.0,nr27.png,4.0,0.0,0.0,0.0,0.0,3.0,6,1.0
5,25,21,22,136.0,1183.0,nr42.png,5.0,0.0,0.0,0.0,0.0,3.0,6,1.0
5,25,21,1,170.0,1933.0,nr54.png,6.0,1.0,1.0,0.0,0.0,2.0,6,1.0
5,25,21,11,156.0,2145.0,nr83.png,7.0,0.0,0.0,0.0,0.0,3.0,6,1.0
5,25,21,6,312.0,2319.0,nr53.png,8.0,1.0,1.0,1.0,0.0,3.0,6,1.0
5,25,28,12,390.0,76.0,nr112.png,1.0,0.0,0.0,0.0,1.0,3.0,6,1.0
5,25,28,13,150.0,526.0,nr95.png,2.0,0.0,0.0,0.0,0.0,2.0,6,1.0
5,25,28,2,226.0,736.0,nr56.png,3.0,0.0,0.0,0.0,0.0,-3.0,6,1.0
5,25,28,16,114.0,1050.0,nr87.png,4.0,0.0,0.0,0.0,0.0,-3.0,6,1.0
5,25,28,21,178.0,1186.0,nr19.png,5.0,0.0,0.0,0.0,0.0,-3.0,6,1.0
5,25,28,15,230.0,1792.0,nr109.png,6.0,0.0,0.0,0.0,0.0,-1.0,6,1.0
5,25,28,5,270.0,2074.0,nr48.png,7.0,0.0,0.0,0.0,0.0,-3.0,6,1.0
5,25,28,1,330.0,2386.0,nr89.png,8.0,0.0,0.0,0.0,0.0,-3.0,6,1.0
5,25,28,6,242.0,2778.0,nr10.png,9.0,0.0,0.0,1.0,0.0,3.0,6,1.0
5,25,29,12,414.0,75.0,nr106.png,1.0,0.0,0.0,0.0,1.0,-3.0,4,1.0
5,25,29,7,202.0,571.0,nr98.png,2.0,0.0,0.0,0.0,0.0,-3.0,4,1.0
5,25,29,15,256.0,839.0,nr88.png,3.0,0.0,0.0,0.0,0.0,2.0,4,1.0
5,25,29,20,478.0,1363.0,nr92.png,4.0,0.0,0.0,0.0,0.0,0.0,4,1.0
5,25,29,14,180.0,2723.0,nr100.png,5.0,0.0,0.0,0.0,0.0,1.0,4,1.0
5,25,29,8,162.0,2941.0,nr81.png,6.0,0.0,0.0,0.0,0.0,3.0,4,1.0
5,25,29,7,130.0,3143.0,nr98.png,7.0,1.0,1.0,0.0,0.0,-3.0,4,1.0
5,25,29,24,52.0,3343.0,nr75.png,8.0,0.0,0.0,0.0,0.0,2.0,4,1.0
5,25,29,4,99.0,3473.0,nr54.png,9.0,0.0,0.0,1.0,0.0,2.0,4,1.0
5,25,45,12,478.0,75.0,nr101.png,1.0,0.0,0.0,0.0,1.0,-3.0,1,0.0
5,25,45,11,194.0,627.0,nr41.png,2.0,0.0,0.0,0.0,0.0,2.0,1,0.0
5,25,45,2,176.0,1055.0,nr93.png,3.0,0.0,0.0,0.0,0.0,-3.0,1,0.0
5,25,45,1,208.0,1279.0,nr54.png,4.0,0.0,0.0,0.0,0.0,2.0,1,0.0
