,subject,setsize,trial,item,dur,onset,stimulus,fixnum,is_refixation,refixnum,is_last,is_first,value,choice,is_last_to_choice
0,38,36,1,15,342,76,nr92.png,1,0,0.0,0.0,1.0,-1,20,0
1,38,36,1,14,222,440,nr4.png,2,0,0.0,0.0,0.0,-2,20,0
2,38,36,1,15,238,692,nr92.png,3,1,1.0,0.0,0.0,-1,20,0
3,38,36,1,1,170,1180,nr41.png,4,0,0.0,0.0,0.0,2,20,0
4,38,36,1,0,176,1388,nr65.png,5,0,0.0,0.0,0.0,1,20,0
5,38,36,1,1,430,1744,nr41.png,6,1,1.0,0.0,0.0,2,20,0
6,38,36,1,2,276,2222,nr31.png,7,0,0.0,0.0,0.0,-1,20,0
7,38,36,1,3,212,2532,nr60.png,8,0,0.0,0.0,0.0,-1,20,0
8,38,36,1,4,162,2782,nr12.png,9,0,0.0,0.0,0.0,0,20,0
9,38,36,1,5,198,2978,nr121.png,10,0,0.0,0.0,0.0,-2,20,0
10,38,36,1,9,772,3232,nr80.png,11,0,0.0,0.0,0.0,1,20,0
11,38,36,1,8,246,4092,nr83.png,12,0,0.0,0.0,0.0,1,20,0
12,38,36,1,7,196,4376,nr29.png,13,0,0.0,0.0,0.0,1,20,0
13,38,36,1,6,450,4606,nr3.png,14,0,0.0,0.0,0.0,2,20,0
14,38,36,1,12,322,5166,nr52.png,15,0,0.0,0.0,0.0,1,20,0
15,38,36,1,13,176,5538,nr87.png,16,0,0.0,0.0,0.0,-2,20,0
16,38,36,1,14,278,5752,nr4.png,17,1,1.0,0.0,0.0,-2,20,0
17,38,36,1,15,248,6078,nr92.png,18,1,2.0,0.0,0.0,-1,20,0
18,38,36,1,16,208,6366,nr11.png,19,0,0.0,0.0,0.0,1,20,0
19,38,36,1,14,406,6632,nr4.png,20,1,2.0,0.0,0.0,-2,20,0
20,38,36,1,17,310,7106,nr97.png,21,0,0.0,0.0,0.0,-2,20,0
21,38,36,1,23,256,7474,nr19.png,22,0,0.0,0.0,0.0,-2,20,0
22,38,36,1,22,366,7764,nr107.png,23,0,0.0,0.0,0.0,0,20,0
23,38,36,1,21,134,8168,nr69.png,24,0,0.0,0.0,0.0,-1,20,0
24,38,36,1,20,1724,8554,nr93.png,25,0,0.0,0.0,0.0,3,20,0
25,38,36,1,26,164,10882,nr18.png,26,0,0.0,0.0,0.0,3,20,0
26,38,36,1,24,214,11422,nr114.png,27,0,0.0,0.0,0.0,1,20,0
27,38,36,1,30,960,12102,nr62.png,28,0,0.0,0.0,0.0,2,20,0
28,38,36,1,27,278,13286,nr106.png,29,0,0.0,0.0,0.0,0,20,0
29,38,36,1,28,222,13600,nr72.png,30,0,0.0,0.0,0.0,1,20,0
30,38,36,1,29,408,13856,nr20.png,31,0,0.0,0.0,0.0,0,20,0
31,38,36,1,35,308,14302,nr95.png,32,0,0.0,0.0,0.0,2,20,0
32,38,36,1,34,296,14638,nr76.png,33,0,0.0,0.0,0.0,1,20,0
33,38,36,1,33,524,14972,nr90.png,34,0,0.0,0.0,0.0,-1,20,0
34,38,36,1,32,450,15534,nr96.png,35,0,0.0,0.0,0.0,1,20,0
35,38,36,1,31,280,16016,nr15.png,36,0,0.0,0.0,0.0,1,20,0
36,38,36,1,30,304,16330,nr62.png,37,1,1.0,0.0,0.0,2,20,0
