subject,setsize,trial,item,dur,onset,stimulus,fixnum,is_refixation,refixnum,is_last,is_first,value,choice,is_last_to_choice
16,16,5,5,338,156,nr121.png,1,0,0.0,0.0,1.0,-3,9,1
16,16,5,0,260,598,nr102.png,2,0,0.0,0.0,0.0,-3,9,1
16,16,5,1,196,932,nr120.png,3,0,0.0,0.0,0.0,-2,9,1
16,16,5,2,244,1178,nr52.png,4,0,0.0,0.0,0.0,-3,9,1
16,16,5,3,392,1472,nr112.png,5,0,0.0,0.0,0.0,-3,9,1
16,16,5,7,182,1918,nr79.png,6,0,0.0,0.0,0.0,-2,9,1
16,16,5,6,194,2166,nr57.png,7,0,0.0,0.0,0.0,-3,9,1
16,16,5,5,324,2414,nr121.png,8,1,1.0,0.0,0.0,-3,9,1
16,16,5,4,320,2826,nr92.png,9,0,0.0,0.0,0.0,-3,9,1
16,16,5,5,504,3196,nr121.png,10,1,2.0,0.0,0.0,-3,9,1
16,16,5,8,286,3808,nr42.png,11,0,0.0,0.0,0.0,0,9,1
16,16,5,9,186,4164,nr88.png,12,0,0.0,0.0,0.0,2,9,1
16,16,5,10,224,4404,nr99.png,13,0,0.0,0.0,0.0,-3,9,1
16,16,5,11,242,4668,nr55.png,14,0,0.0,0.0,0.0,-3,9,1
16,16,5,15,246,4962,nr11.png,15,0,0.0,0.0,0.0,0,9,1
16,16,5,14,162,5278,nr76.png,16,0,0.0,0.0,0.0,-3,9,1
16,16,5,13,316,5496,nr20.png,17,0,0.0,0.0,0.0,0,9,1
16,16,5,12,284,5866,nr60.png,18,0,0.0,0.0,0.0,-3,9,1
16,16,5,8,372,6198,nr42.png,19,1,1.0,0.0,0.0,0,9,1
16,16,5,4,178,6642,nr92.png,20,1,1.0,0.0,0.0,-3,9,1
16,16,5,9,588,6906,nr88.png,21,1,1.0,0.0,0.0,2,9,1
16,16,5,8,194,7606,nr42.png,22,1,2.0,0.0,0.0,0,9,1
16,16,5,4,1192,7852,nr92.png,23,1,2.0,0.0,0.0,-3,9,1
16,16,5,9,398,9130,nr88.png,24,1,2.0,0.0,0.0,2,9,1
16,16,5,10,248,9588,nr99.png,25,1,1.0,0.0,0.0,-3,9,1
16,16,5,9,1258,9882,nr88.png,26,1,3.0,0.0,0.0,2,9,1
16,16,5,11,282,11288,nr55.png,27,1,1.0,0.0,0.0,-3,9,1
16,16,5,10,144,11646,nr99.png,28,1,2.0,0.0,0.0,-3,9,1
16,16,5,7,268,11846,nr79.png,29,1,1.0,0.0,0.0,-2,9,1
16,16,5,3,342,12320,nr112.png,30,1,1.0,0.0,0.0,-3,9,1
16,16,5,2,158,12716,nr52.png,31,1,1.0,0.0,0.0,-3,9,1
16,16,5,1,228,12930,nr120.png,32,1,1.0,0.0,0.0,-2,9,1
16,16,5,0,56,13218,nr102.png,33,1,1.0,0.0,0.0,-3,9,1
16,16,5,3,570,13346,nr112.png,34,1,2.0,0.0,0.0,-3,9,1
