unnamed: 0,subject,trial,rt,stimulus,rating
0,30,1,2311.876932,nr11.png,1.0
1,30,2,1299.686325,nr107.png,0.0
2,30,3,1392.6472039999999,nr88.png,0.0
3,30,4,1539.6463410000001,nr76.png,1.0
4,30,5,1307.368451,nr7.png,1.0
5,30,6,2046.302879,nr50.png,-1.0
6,30,7,2544.67323,nr54.png,0.0
7,30,8,1141.12823,nr30.png,2.0
8,30,9,825.4764799999997,nr9.png,2.0
9,30,10,950.374306,nr10.png,2.0
10,30,11,1351.445319,nr112.png,1.0
11,30,12,1267.242519,nr90.png,0.0
12,30,13,1095.0062810000004,nr75.png,2.0
13,30,14,934.84773,nr69.png,1.0
14,30,15,1439.82233,nr52.png,-1.0
15,30,16,2102.634513,nr15.png,1.0
16,30,17,1198.83833,nr63.png,1.0
17,30,18,2001.254637,nr124.png,1.0
18,30,19,1299.64013,nr14.png,0.0
19,30,20,1521.845956,nr62.png,2.0
20,30,21,1013.1603769999999,nr125.png,-2.0
21,30,22,1000.2094800000001,nr81.png,1.0
22,30,23,1075.301325,nr74.png,0.0
23,30,24,1123.520003,nr113.png,1.0
24,30,25,1126.166899,nr100.png,0.0
25,30,26,877.5674990000001,nr39.png,2.0
26,30,27,1207.3901369999999,nr29.png,1.0
27,30,28,952.142539,nr42.png,1.0
28,30,29,1032.1509179999996,nr21.png,2.0
29,30,30,1359.106593,nr98.png,0.0
30,30,31,1055.144044,nr3.png,1.0
31,30,32,1004.6271759999997,nr109.png,2.0
32,30,33,692.931494,nr28.png,2.0
33,30,34,851.9415920000001,nr57.png,1.0
34,30,35,745.09758,nr89.png,1.0
35,30,36,483.762859,nr18.png,3.0
36,30,37,776.9812740000001,nr83.png,2.0
37,30,38,1510.585339,nr97.png,1.0
38,30,39,658.082673,nr120.png,1.0
39,30,40,839.6210619999998,nr27.png,2.0
40,30,41,1566.899651,nr56.png,-1.0
41,30,42,1900.000834,nr79.png,-2.0
42,30,43,1327.1131859999996,nr8.png,2.0
43,30,44,981.193275,nr55.png,2.0
44,30,45,1008.11424,nr84.png,1.0
45,30,46,1701.5343079999998,nr101.png,0.0
46,30,47,757.626628,nr87.png,3.0
47,30,48,889.1290230000002,nr12.png,3.0
48,30,49,765.8146509999997,nr65.png,2.0
49,30,50,768.938573,nr46.png,3.0
50,30,51,1630.6468289999998,nr96.png,0.0
51,30,52,1069.470839,nr91.png,2.0
52,30,53,792.7077059999997,nr99.png,1.0
53,30,54,979.196955,nr48.png,1.0
54,30,55,1115.733297,nr72.png,0.0
55,30,56,841.1772480000002,nr58.png,2.0
56,30,57,1390.1279849999999,nr4.png,2.0
57,30,58,1340.053496,nr80.png,1.0
58,30,59,1554.880349,nr51.png,0.0
59,30,60,1511.746945,nr121.png,0.0
60,30,61,850.389576,nr1.png,3.0
61,30,62,777.484284,nr41.png,2.0
62,30,63,812.5814019999998,nr114.png,2.0
63,30,64,978.911767,nr49.png,3.0
64,30,65,894.379508,nr92.png,2.0
65,30,66,866.27769,nr93.png,2.0
66,30,67,913.128489,nr19.png,1.0
67,30,68,846.1380529999999,nr20.png,1.0
68,30,69,1912.224804,nr85.png,1.0
69,30,70,1047.271686,nr106.png,-1.0
70,30,71,1009.8475059999997,nr45.png,1.0
71,30,72,987.050708,nr31.png,2.0
72,30,73,1310.829851,nr95.png,2.0
73,30,74,1367.835159,nr102.png,-1.0
74,30,75,1212.8501019999999,nr94.png,0.0
75,30,76,902.8540029999999,nr53.png,2.0
76,30,77,1274.952554,nr44.png,2.0
77,30,78,633.6793240000002,nr60.png,1.0
78,30,79,1036.968648,nr111.png,1.0
79,30,80,809.384018,nr2.png,1.0
