subject,setsize,trial,item,dur,onset,stimulus,gaze_num,is_returning,returning_gaze_count,is_last,is_first,item_value,choice,is_last_to_choice
4,25,5,18,358.0,6615.0,nr121.png,15.0,0.0,0.0,0.0,0.0,0.0,8,1.0
4,25,5,17,234.0,7035.0,nr8.png,16.0,0.0,0.0,0.0,0.0,1.0,8,1.0
4,25,5,16,230.0,7313.0,nr11.png,17.0,0.0,0.0,0.0,0.0,1.0,8,1.0
4,25,5,15,208.0,7583.0,nr87.png,18.0,0.0,0.0,0.0,0.0,-1.0,8,1.0
4,25,5,20,278.0,7837.0,nr72.png,19.0,0.0,0.0,0.0,0.0,-2.0,8,1.0
4,25,5,22,520.0,8161.0,nr48.png,20.0,0.0,0.0,0.0,0.0,1.0,8,1.0
4,25,5,24,208.0,9011.0,nr94.png,21.0,1.0,1.0,0.0,0.0,-2.0,8,1.0
4,25,5,8,265.0,9277.0,nr28.png,22.0,1.0,1.0,1.0,0.0,3.0,8,1.0
4,25,7,12,316.0,76.0,nr18.png,1.0,0.0,0.0,0.0,1.0,2.0,14,0.0
4,25,7,0,214.0,458.0,nr88.png,2.0,0.0,0.0,0.0,0.0,1.0,14,0.0
4,25,7,2,176.0,718.0,nr11.png,3.0,0.0,0.0,0.0,0.0,1.0,14,0.0
4,25,7,1,180.0,926.0,nr15.png,4.0,0.0,0.0,0.0,0.0,1.0,14,0.0
4,25,7,2,238.0,1152.0,nr11.png,5.0,1.0,1.0,0.0,0.0,1.0,14,0.0
4,25,7,3,210.0,1430.0,nr90.png,6.0,0.0,0.0,0.0,0.0,0.0,14,0.0
4,25,7,4,578.0,1684.0,nr21.png,7.0,0.0,0.0,0.0,0.0,2.0,14,0.0
4,25,7,9,274.0,2314.0,nr93.png,8.0,0.0,0.0,0.0,0.0,3.0,14,0.0
4,25,7,8,182.0,2626.0,nr125.png,9.0,0.0,0.0,0.0,0.0,1.0,14,0.0
4,25,7,7,194.0,2854.0,nr60.png,10.0,0.0,0.0,0.0,0.0,0.0,14,0.0
4,25,7,6,272.0,3084.0,nr92.png,11.0,0.0,0.0,0.0,0.0,1.0,14,0.0
4,25,7,10,204.0,3398.0,nr109.png,12.0,0.0,0.0,0.0,0.0,0.0,14,0.0
4,25,7,11,222.0,3642.0,nr91.png,13.0,0.0,0.0,0.0,0.0,1.0,14,0.0
4,25,7,12,224.0,3906.0,nr18.png,14.0,1.0,1.0,0.0,0.0,2.0,14,0.0
