subject,trial,rt,stimulus,rating
34,1,2193.718929,nr30.png,1.0
34,2,1199.959451,nr72.png,1.0
34,3,1905.88498,nr124.png,-1.0
34,4,900.2963229999997,nr95.png,2.0
34,5,1459.2078740000006,nr81.png,2.0
34,6,1979.301663,nr76.png,-1.0
34,7,2299.825774,nr83.png,0.0
34,8,1765.893956,nr57.png,1.0
34,9,1761.564439,nr79.png,2.0
34,10,1198.158159,nr18.png,1.0
34,11,1440.978735,nr65.png,1.0
34,12,2873.185836,nr42.png,2.0
34,13,1934.52055,nr14.png,0.0
34,14,1203.96111,nr102.png,-1.0
34,15,2684.459839,nr106.png,0.0
34,16,1671.1084630000007,nr15.png,2.0
34,17,983.956792,nr56.png,1.0
34,18,1727.236914,nr52.png,1.0
34,19,924.285105,nr121.png,-1.0
34,20,1171.203581,nr8.png,1.0
34,21,1369.063716,nr12.png,2.0
34,22,2699.946458000001,nr51.png,1.0
34,23,2678.199106,nr91.png,0.0
34,24,1112.592459,nr45.png,1.0
34,25,1549.4104180000006,nr19.png,-1.0
34,26,2740.731687,nr84.png,0.0
34,27,787.797217,nr120.png,-1.0
34,28,1509.032284,nr99.png,2.0
34,29,1031.9741359999996,nr55.png,1.0
34,30,2127.420155,nr20.png,2.0
34,31,2442.7149050000007,nr62.png,2.0
34,32,2725.440434,nr87.png,1.0
34,33,3293.7549539999995,nr63.png,1.0
34,34,1448.4511290000007,nr94.png,-1.0
34,35,4908.2181580000015,nr111.png,2.0
34,36,2252.965235,nr1.png,2.0
34,37,1110.951246,nr107.png,0.0
34,38,1974.583979,nr93.png,-1.0
34,39,7241.007734999999,nr114.png,2.0
34,40,1711.9995559999998,nr97.png,1.0
34,41,3172.110803,nr88.png,1.0
34,42,1806.441471,nr54.png,0.0
34,43,1356.9762930000004,nr98.png,1.0
34,44,932.812611,nr39.png,2.0
34,45,1857.735466,nr74.png,1.0
34,46,1835.636196,nr100.png,3.0
34,47,3456.262289,nr101.png,0.0
34,48,2849.5396680000013,nr69.png,1.0
34,49,896.062725,nr89.png,0.0
34,50,2779.7675930000005,nr60.png,1.0
34,51,2167.659061,nr75.png,2.0
34,52,2660.868527,nr2.png,0.0
34,53,1187.1162229999998,nr3.png,0.0
34,54,763.3622019999998,nr48.png,0.0
34,55,1341.6519979999996,nr31.png,1.0
34,56,1997.197491,nr27.png,0.0
34,57,1664.8092350000006,nr125.png,2.0
34,58,1604.261443,nr53.png,1.0
34,59,2724.4687310000004,nr109.png,2.0
34,60,1683.4599050000006,nr85.png,2.0
34,61,2811.039177,nr7.png,1.0
34,62,1018.48225,nr80.png,3.0
34,63,1390.4318830000002,nr41.png,1.0
34,64,4508.8782999999985,nr112.png,2.0
34,65,1706.8475079999996,nr21.png,1.0
34,66,2088.209092,nr28.png,2.0
34,67,2688.2863410000004,nr9.png,0.0
34,68,1889.439489,nr4.png,0.0
34,69,1589.6371330000006,nr96.png,1.0
34,70,1056.811113,nr46.png,0.0
34,71,1472.537435,nr44.png,2.0
34,72,1251.011883,nr10.png,1.0
34,73,2244.402762,nr92.png,2.0
34,74,3031.571211,nr113.png,3.0
34,75,2508.626793,nr50.png,0.0
34,76,2539.962858,nr29.png,0.0
34,77,1369.409539,nr58.png,1.0
34,78,2020.758005,nr90.png,0.0
34,79,1870.695145,nr49.png,1.0
34,80,1578.111431,nr11.png,1.0
