,subject,setsize,trial,item,dur,onset,stimulus,fixnum,is_refixation,refixnum,is_last,is_first,value,choice,is_last_to_choice
0,25,25,13,12,32,76,nr114.png,1,0,0.0,0.0,1.0,-2,6,0
1,25,25,13,11,198,148,nr125.png,2,0,0.0,0.0,0.0,-1,6,0
2,25,25,13,6,48,394,nr87.png,3,0,0.0,0.0,0.0,3,6,0
3,25,25,13,0,460,486,nr109.png,4,0,0.0,0.0,0.0,2,6,0
4,25,25,13,1,306,1030,nr8.png,5,0,0.0,0.0,0.0,-2,6,0
5,25,25,13,2,226,1398,nr79.png,6,0,0.0,0.0,0.0,-1,6,0
6,25,25,13,3,138,1668,nr21.png,7,0,0.0,0.0,0.0,-2,6,0
7,25,25,13,4,158,1972,nr42.png,8,0,0.0,0.0,0.0,1,6,0
8,25,25,13,9,278,2176,nr106.png,9,0,0.0,0.0,0.0,-2,6,0
9,25,25,13,14,232,2498,nr51.png,10,0,0.0,0.0,0.0,0,6,0
10,25,25,13,8,192,2810,nr10.png,11,0,0.0,0.0,0.0,-2,6,0
11,25,25,13,6,110,3052,nr87.png,12,1,1.0,0.0,0.0,3,6,0
12,25,25,13,5,368,3218,nr75.png,13,0,0.0,0.0,0.0,2,6,0
13,25,25,13,10,228,3688,nr121.png,14,0,0.0,0.0,0.0,0,6,0
14,25,25,13,11,94,3966,nr125.png,15,1,1.0,0.0,0.0,-1,6,0
15,25,25,13,6,474,4090,nr87.png,16,1,2.0,0.0,0.0,3,6,0
16,25,25,13,7,182,4626,nr12.png,17,0,0.0,0.0,0.0,1,6,0
17,25,25,13,11,536,4840,nr125.png,18,1,2.0,0.0,0.0,-1,6,0
18,25,25,13,12,190,5460,nr114.png,19,1,1.0,0.0,0.0,-2,6,0
19,25,25,13,13,124,5690,nr113.png,20,0,0.0,0.0,0.0,2,6,0
20,25,25,13,14,184,5928,nr51.png,21,1,1.0,0.0,0.0,0,6,0
21,25,25,13,19,350,6292,nr99.png,22,0,0.0,0.0,0.0,-2,6,0
22,25,25,13,18,228,6704,nr53.png,23,0,0.0,0.0,0.0,2,6,0
23,25,25,13,17,256,6982,nr28.png,24,0,0.0,0.0,0.0,3,6,0
24,25,25,13,16,324,7280,nr1.png,25,0,0.0,0.0,0.0,1,6,0
25,25,25,13,15,214,7668,nr90.png,26,0,0.0,0.0,0.0,-3,6,0
26,25,25,13,20,178,7914,nr52.png,27,0,0.0,0.0,0.0,-1,6,0
27,25,25,13,21,174,8144,nr107.png,28,0,0.0,0.0,0.0,-1,6,0
28,25,25,13,22,288,8360,nr91.png,29,0,0.0,0.0,0.0,-1,6,0
29,25,25,13,23,148,8680,nr81.png,30,0,0.0,0.0,0.0,2,6,0
30,25,25,13,24,250,8872,nr30.png,31,0,0.0,1.0,0.0,-2,6,0
31,25,25,23,12,94,74,nr109.png,1,0,0.0,0.0,1.0,2,23,0
32,25,25,23,6,186,248,nr10.png,2,0,0.0,0.0,0.0,-2,23,0
33,25,25,23,0,352,492,nr48.png,3,0,0.0,0.0,0.0,-1,23,0
