subject,setsize,trial,item,dur,onset,stimulus,fixnum,is_refixation,refixnum,is_last,is_first,value,choice,is_last_to_choice
45,9,3,4,152,75,nr60.png,1,0,0.0,0.0,1.0,2,5,0
45,9,3,0,342,283,nr21.png,2,0,0.0,0.0,0.0,1,5,0
45,9,3,1,188,705,nr62.png,3,0,0.0,0.0,0.0,1,5,0
45,9,3,2,178,941,nr44.png,4,0,0.0,0.0,0.0,2,5,0
45,9,3,8,270,1175,nr99.png,5,0,0.0,0.0,0.0,2,5,0
45,9,3,7,480,1503,nr92.png,6,0,0.0,0.0,0.0,-1,5,0
45,9,3,6,186,2073,nr107.png,7,0,0.0,0.0,0.0,-1,5,0
45,9,3,5,464,2327,nr109.png,8,0,0.0,0.0,0.0,3,5,0
45,9,3,4,116,2851,nr60.png,9,1,1.0,1.0,0.0,2,5,0
45,9,4,4,332,74,nr76.png,1,0,0.0,0.0,1.0,1,6,1
45,9,4,1,150,486,nr53.png,2,0,0.0,0.0,0.0,3,6,1
45,9,4,2,190,682,nr14.png,3,0,0.0,0.0,0.0,-1,6,1
45,9,4,1,146,918,nr53.png,4,1,1.0,0.0,0.0,3,6,1
45,9,4,7,230,1132,nr63.png,5,0,0.0,0.0,0.0,1,6,1
45,9,4,6,238,1440,nr95.png,6,0,0.0,1.0,0.0,2,6,1
45,9,12,4,330,75,nr83.png,1,0,0.0,0.0,1.0,1,1,0
45,9,12,1,110,485,nr53.png,2,0,0.0,0.0,0.0,3,1,0
45,9,12,0,182,635,nr52.png,3,0,0.0,0.0,0.0,-2,1,0
45,9,12,2,182,883,nr69.png,4,0,0.0,0.0,0.0,-1,1,0
45,9,12,5,224,1107,nr98.png,5,0,0.0,0.0,0.0,2,1,0
45,9,12,8,196,1367,nr8.png,6,0,0.0,0.0,0.0,1,1,0
45,9,12,6,256,1621,nr97.png,7,0,0.0,0.0,0.0,2,1,0
45,9,12,7,216,1955,nr72.png,8,0,0.0,0.0,0.0,-3,1,0
45,9,12,4,216,2227,nr83.png,9,1,1.0,0.0,0.0,1,1,0
45,9,12,5,242,2489,nr98.png,10,1,1.0,0.0,0.0,2,1,0
