,subject,setsize,trial,item,dur,onset,stimulus,fixnum,is_refixation,refixnum,is_last,is_first,value,choice,is_last_to_choice
0,48,36,2,21,328,75,nr49.png,1,0,0.0,0.0,1.0,1,12,0
1,48,36,2,15,424,443,nr94.png,2,0,0.0,0.0,0.0,-1,12,0
2,48,36,2,16,164,923,nr27.png,3,0,0.0,0.0,0.0,2,12,0
3,48,36,2,10,204,1111,nr54.png,4,0,0.0,0.0,0.0,1,12,0
4,48,36,2,4,224,1351,nr12.png,5,0,0.0,0.0,0.0,2,12,0
5,48,36,2,5,178,1611,nr125.png,6,0,0.0,0.0,0.0,0,12,0
6,48,36,2,2,224,1843,nr55.png,7,0,0.0,0.0,0.0,1,12,0
7,48,36,2,0,226,2113,nr2.png,8,0,0.0,0.0,0.0,2,12,0
8,48,36,2,12,312,3053,nr3.png,9,0,0.0,0.0,0.0,3,12,0
9,48,36,2,26,252,3415,nr111.png,10,0,0.0,0.0,0.0,1,12,0
10,48,36,2,20,256,3695,nr52.png,11,0,0.0,0.0,0.0,1,12,0
11,48,36,2,19,154,3995,nr81.png,12,0,0.0,0.0,0.0,1,12,0
12,48,36,2,28,222,4215,nr88.png,13,0,0.0,0.0,0.0,3,12,0
13,48,36,2,17,290,4481,nr51.png,14,0,0.0,0.0,0.0,0,12,0
14,48,36,2,11,160,4801,nr74.png,15,0,0.0,0.0,0.0,-1,12,0
15,48,36,2,3,234,5305,nr18.png,16,0,0.0,0.0,0.0,1,12,0
16,48,36,2,32,386,5619,nr96.png,17,0,0.0,0.0,0.0,1,12,0
17,48,36,2,25,368,6069,nr31.png,18,0,0.0,0.0,0.0,1,12,0
18,48,36,2,24,164,6497,nr109.png,19,0,0.0,0.0,0.0,3,12,0
19,48,36,2,29,302,6727,nr21.png,20,0,0.0,0.0,0.0,1,12,0
20,48,36,2,24,164,7121,nr109.png,21,1,1.0,1.0,0.0,3,12,0
21,48,36,14,20,342,75,nr11.png,1,0,0.0,0.0,1.0,2,25,1
22,48,36,14,22,224,475,nr107.png,2,0,0.0,0.0,0.0,0,25,1
23,48,36,14,28,246,727,nr94.png,3,0,0.0,0.0,0.0,-1,25,1
24,48,36,14,24,188,1037,nr72.png,4,0,0.0,0.0,0.0,1,25,1
25,48,36,14,25,320,1247,nr95.png,5,0,0.0,1.0,0.0,3,25,1
26,48,36,16,20,344,75,nr120.png,1,0,0.0,0.0,1.0,0,3,1
