,WAIC,WAIC_se,p_WAIC,WAIC_i,WAIC_scale
0,-453.0518560596513,13.130018425270332,3.38931153915587,-7.980709431535868,log
1,-453.0518560596513,13.130018425270332,3.38931153915587,-10.233771388812352,log
2,-453.0518560596513,13.130018425270332,3.38931153915587,-9.571289727608521,log
3,-453.0518560596513,13.130018425270332,3.38931153915587,-7.958191279480749,log
4,-453.0518560596513,13.130018425270332,3.38931153915587,-12.274544644730193,log
5,-453.0518560596513,13.130018425270332,3.38931153915587,-7.591338400228435,log
6,-453.0518560596513,13.130018425270332,3.38931153915587,-9.576639399450409,log
7,-453.0518560596513,13.130018425270332,3.38931153915587,-7.609126440374031,log
8,-453.0518560596513,13.130018425270332,3.38931153915587,-10.87418285757834,log
9,-453.0518560596513,13.130018425270332,3.38931153915587,-8.002583867396734,log
10,-453.0518560596513,13.130018425270332,3.38931153915587,-14.860015660480078,log
11,-453.0518560596513,13.130018425270332,3.38931153915587,-8.903473475825095,log
12,-453.0518560596513,13.130018425270332,3.38931153915587,-7.9138932900186765,log
13,-453.0518560596513,13.130018425270332,3.38931153915587,-14.317251264543676,log
14,-453.0518560596513,13.130018425270332,3.38931153915587,-10.34774662819757,log
15,-453.0518560596513,13.130018425270332,3.38931153915587,-10.617444853312783,log
16,-453.0518560596513,13.130018425270332,3.38931153915587,-7.917358767996802,log
17,-453.0518560596513,13.130018425270332,3.38931153915587,-10.381549984956605,log
18,-453.0518560596513,13.130018425270332,3.38931153915587,-7.904054487787205,log
19,-453.0518560596513,13.130018425270332,3.38931153915587,-8.466372146874658,log
20,-453.0518560596513,13.130018425270332,3.38931153915587,-7.902941049827208,log
21,-453.0518560596513,13.130018425270332,3.38931153915587,-7.874707483043519,log
22,-453.0518560596513,13.130018425270332,3.38931153915587,-7.948811147145251,log
23,-453.0518560596513,13.130018425270332,3.38931153915587,-9.258038570329404,log
24,-453.0518560596513,13.130018425270332,3.38931153915587,-7.904975693020668,log
25,-453.0518560596513,13.130018425270332,3.38931153915587,-7.961953530438358,log
26,-453.0518560596513,13.130018425270332,3.38931153915587,-8.018883609544883,log
27,-453.0518560596513,13.130018425270332,3.38931153915587,-7.633089145851536,log
28,-453.0518560596513,13.130018425270332,3.38931153915587,-8.716775460335937,log
29,-453.0518560596513,13.130018425270332,3.38931153915587,-12.034502933667628,log
30,-453.0518560596513,13.130018425270332,3.38931153915587,-10.698589578190386,log
31,-453.0518560596513,13.130018425270332,3.38931153915587,-10.824715496589155,log
32,-453.0518560596513,13.130018425270332,3.38931153915587,-7.622708934123434,log
33,-453.0518560596513,13.130018425270332,3.38931153915587,-10.59383670271303,log
34,-453.0518560596513,13.130018425270332,3.38931153915587,-8.796796897643734,log
35,-453.0518560596513,13.130018425270332,3.38931153915587,-8.855113678141171,log
36,-453.0518560596513,13.130018425270332,3.38931153915587,-7.9499257156576375,log
37,-453.0518560596513,13.130018425270332,3.38931153915587,-10.534482207257197,log
38,-453.0518560596513,13.130018425270332,3.38931153915587,-11.422599966035987,log
39,-453.0518560596513,13.130018425270332,3.38931153915587,-9.54910804538672,log
40,-453.0518560596513,13.130018425270332,3.38931153915587,-11.123025476014007,log
41,-453.0518560596513,13.130018425270332,3.38931153915587,-14.77055401870596,log
42,-453.0518560596513,13.130018425270332,3.38931153915587,-12.369748952679688,log
43,-453.0518560596513,13.130018425270332,3.38931153915587,-10.091317339964343,log
44,-453.0518560596513,13.130018425270332,3.38931153915587,-8.77046782105825,log
45,-453.0518560596513,13.130018425270332,3.38931153915587,-11.5633062310826,log
46,-453.0518560596513,13.130018425270332,3.38931153915587,-8.959342378014789,log
