b,p_error,v,s,gamma,zeta
1.0,0.05,4.337544167800277e-06,0.043743742015775126,1.0,0.0
1.0,0.05,4.337544167800277e-06,0.043743742015775126,1.0,0.0
1.0,0.05,4.337544167800277e-06,0.04373913620411933,1.0,0.0
1.0,0.05,2.592373890861994e-06,0.04373913620411933,1.0,0.0
1.0,0.05,2.592373890861994e-06,0.03597787277555378,1.0,0.0
1.0,0.05,1.1038215393477562e-06,0.03597787277555378,1.0,0.0
1.0,0.05,5.908085061925233e-06,0.03597787277555378,1.0,0.0
1.0,0.05,2.410297858598021e-05,0.04919127837510428,1.0,0.0
1.0,0.05,8.154273512653465e-07,0.04827719723613042,1.0,0.0
1.0,0.05,1.0303143665817249e-05,0.04827719723613042,1.0,0.0
1.0,0.05,1.0303143665817249e-05,0.047944427073230635,1.0,0.0
1.0,0.05,1.0303143665817249e-05,0.04744483187151686,1.0,0.0
1.0,0.05,1.0303143665817249e-05,0.04744483187151686,1.0,0.0
1.0,0.05,1.0303143665817249e-05,0.046900246052274386,1.0,0.0
1.0,0.05,1.8814459993126688e-05,0.046900246052274386,1.0,0.0
1.0,0.05,1.7829161682471195e-05,0.046900246052274386,1.0,0.0
1.0,0.05,2.2250344638098715e-05,0.046900246052274386,1.0,0.0
1.0,0.05,2.2250344638098715e-05,0.046900246052274386,1.0,0.0
1.0,0.05,2.2250344638098715e-05,0.046900246052274386,1.0,0.0
1.0,0.05,3.24908214776047e-05,0.046900246052274386,1.0,0.0
1.0,0.05,3.24908214776047e-05,0.046900246052274386,1.0,0.0
1.0,0.05,3.24908214776047e-05,0.04801711426670429,1.0,0.0
1.0,0.05,3.24908214776047e-05,0.04801711426670429,1.0,0.0
1.0,0.05,1.2542644709844025e-05,0.04801711426670429,1.0,0.0
1.0,0.05,1.2542644709844025e-05,0.04801711426670429,1.0,0.0
1.0,0.05,1.4006456410499466e-05,0.04801711426670429,1.0,0.0
1.0,0.05,1.4006456410499466e-05,0.04801711426670429,1.0,0.0
1.0,0.05,1.5188548290438512e-06,0.04136283928796328,1.0,0.0
1.0,0.05,4.93493882209199e-06,0.04136283928796328,1.0,0.0
1.0,0.05,4.93493882209199e-06,0.04851927456423933,1.0,0.0
1.0,0.05,2.3506270626156046e-06,0.04851927456423933,1.0,0.0
1.0,0.05,7.192314772932893e-07,0.04955998336246189,1.0,0.0
1.0,0.05,1.8071808230553075e-05,0.04973190681516979,1.0,0.0
1.0,0.05,1.8071808230553075e-05,0.04378233801726447,1.0,0.0
1.0,0.05,3.1062404654154368e-06,0.04378233801726447,1.0,0.0
1.0,0.05,3.1062404654154368e-06,0.04378233801726447,1.0,0.0
1.0,0.05,3.1062404654154368e-06,0.04378233801726447,1.0,0.0
1.0,0.05,3.1062404654154368e-06,0.04378233801726447,1.0,0.0
1.0,0.05,3.1062404654154368e-06,0.04378233801726447,1.0,0.0
1.0,0.05,3.8458061587937175e-06,0.04378233801726447,1.0,0.0
1.0,0.05,3.8458061587937175e-06,0.04378233801726447,1.0,0.0
1.0,0.05,3.8458061587937175e-06,0.046153629431710974,1.0,0.0
1.0,0.05,9.642746031426782e-07,0.04442941077337694,1.0,0.0
1.0,0.05,3.3584127386613215e-06,0.04442941077337694,1.0,0.0
1.0,0.05,2.966462743447753e-06,0.04442941077337694,1.0,0.0
1.0,0.05,2.966462743447753e-06,0.04442941077337694,1.0,0.0
1.0,0.05,2.966462743447753e-06,0.049445673736291086,1.0,0.0
1.0,0.05,2.966462743447753e-06,0.049445673736291086,1.0,0.0
1.0,0.05,2.966462743447753e-06,0.04963474882305663,1.0,0.0
1.0,0.05,4.04887731861186e-06,0.04903353944819103,1.0,0.0
1.0,0.05,1.2073967617797508e-05,0.04903353944819103,1.0,0.0
1.0,0.05,1.2073967617797508e-05,0.04903353944819103,1.0,0.0
1.0,0.05,1.2073967617797508e-05,0.04912326179730813,1.0,0.0
1.0,0.05,1.2073967617797508e-05,0.04912326179730813,1.0,0.0
1.0,0.05,1.8132901096176705e-05,0.04941639800079059,1.0,0.0
1.0,0.05,3.8263876195905425e-05,0.049778643499220454,1.0,0.0
1.0,0.05,3.8263876195905425e-05,0.049778643499220454,1.0,0.0
1.0,0.05,3.8263876195905425e-05,0.049778643499220454,1.0,0.0
1.0,0.05,3.8263876195905425e-05,0.049778643499220454,1.0,0.0
1.0,0.05,3.8263876195905425e-05,0.04866006388206152,1.0,0.0
1.0,0.05,3.8263876195905425e-05,0.04830486778944592,1.0,0.0
1.0,0.05,1.4332355925705265e-06,0.04929281971849498,1.0,0.0
1.0,0.05,2.0749796397124507e-05,0.04733467324024621,1.0,0.0
1.0,0.05,2.0749796397124507e-05,0.04733467324024621,1.0,0.0
1.0,0.05,2.0749796397124507e-05,0.049815209366151934,1.0,0.0
1.0,0.05,4.67062409517663e-05,0.049815209366151934,1.0,0.0
1.0,0.05,4.67062409517663e-05,0.049815209366151934,1.0,0.0
1.0,0.05,4.67062409517663e-05,0.04996780825029187,1.0,0.0
1.0,0.05,4.67062409517663e-05,0.04998104660124522,1.0,0.0
1.0,0.05,5.8479081858095576e-06,0.049551693121561845,1.0,0.0
1.0,0.05,5.8479081858095576e-06,0.039587509102114775,1.0,0.0
1.0,0.05,5.8479081858095576e-06,0.039587509102114775,1.0,0.0
1.0,0.05,2.243739570324106e-05,0.047983829491571206,1.0,0.0
1.0,0.05,2.243739570324106e-05,0.047983829491571206,1.0,0.0
1.0,0.05,2.7672687311144536e-06,0.04529030563430335,1.0,0.0
1.0,0.05,2.7672687311144536e-06,0.04529030563430335,1.0,0.0
1.0,0.05,2.7672687311144536e-06,0.04739390023418561,1.0,0.0
1.0,0.05,2.5660774365660873e-05,0.04949983373980565,1.0,0.0
1.0,0.05,5.797219247470836e-06,0.04355889777867521,1.0,0.0
