,Unnamed: 0,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
0,b,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
1,p_error,0.050000004470348365,3.725476371840841e-09,0.05000000074505806,0.05000000074505806,3.7254763718408414e-11,2.6343864464297942e-11,10000.0,10000.0,10000.0,10000.0,
2,v,6.266867637686938e-06,5.524011201771946e-06,1.0601291771049508e-07,1.598711815086756e-05,1.272280795710567e-07,9.181065562127952e-08,1885.1380418486679,1810.6431737435755,1828.6469353843445,2218.9722995093766,1.00106485120149
3,s,0.02322181146359541,0.0018938490580732762,0.01934094821498656,0.02657266318980892,4.4955447978376236e-05,3.1793527877969044e-05,1774.704559514467,1774.704559514467,1739.6645778105717,1908.5714375559326,1.003990878916557
4,gamma,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
5,zeta,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
