,Unnamed: 0,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
0,b,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
1,p_error,0.050000004470348365,3.725476371840841e-09,0.05000000074505806,0.05000000074505806,3.7254763718408414e-11,2.6343864464297942e-11,10000.0,10000.0,10000.0,10000.0,
2,v,1.9431526150439577e-05,1.725510740533173e-05,1.0541549447820026e-07,5.148544427652235e-05,3.9017131467345584e-07,2.759339364927727e-07,1955.8009821967664,1955.8009821967664,1610.69819511293,1869.0875135676192,1.0010070559197537
3,s,0.0317127419575628,0.0037228775796220672,0.024709692875817174,0.03849369843631142,8.957556734989735e-05,6.395922389751057e-05,1727.342170223831,1694.6135400727344,1777.097454261413,2085.213690457916,1.0035683927753865
4,gamma,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
5,zeta,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
