,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
b,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
p_error,0.05000000447034836,3.725476371840841e-09,0.05000000074505806,0.05000000074505806,3.7254763718408414e-11,2.6343864464297942e-11,10000.0,10000.0,10000.0,10000.0,
v,8.660725334755762e-06,7.456709985008146e-06,1.0002318109616696e-07,2.266954519396589e-05,1.7201248416443893e-07,1.2165007706297562e-07,1879.2067724232418,1879.2067724232418,1530.4523265844325,1652.4763123276196,1.0012885762329797
s,0.026535235852203857,0.0020263795629989617,0.022954380470321514,0.030374418568087144,4.849600216987744e-05,3.4582043144070614e-05,1745.9416147514614,1717.3461822528375,1806.602064629257,1875.976295232089,1.0012649909368068
gamma,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
zeta,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
