,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
b,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
p_error,0.05000000447034836,3.725476371840841e-09,0.05000000074505806,0.05000000074505806,3.7254763718408414e-11,2.6343864464297942e-11,10000.0,10000.0,10000.0,10000.0,
v,1.9484149644329866e-06,1.268689263624133e-06,1.0507725965477453e-07,4.1033442492466425e-06,5.337784413950148e-08,3.776333969045311e-08,564.9219776680853,564.9219776680853,585.1648763729173,1027.5050275995227,1.0048346138511983
s,0.00670239487459078,0.00038181033484338723,0.005988754581884383,0.007388738244443573,1.6422278935191137e-05,1.161857636799156e-05,540.5408379622013,540.5408379622013,542.7544520513339,1231.5409508235082,1.006437687108936
gamma,1.0,0.0,1.0,1.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
zeta,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,
