,Unnamed: 0,WAIC,WAIC_se,p_WAIC,WAIC_i,WAIC_scale
0,0,-551.7446101164965,8.993312650604171,5.213259826346292,-11.982015607430368,log
1,1,-551.7446101164965,8.993312650604171,5.213259826346292,-10.230092149289339,log
2,2,-551.7446101164965,8.993312650604171,5.213259826346292,-13.19565397725745,log
3,3,-551.7446101164965,8.993312650604171,5.213259826346292,-11.056435594153397,log
4,4,-551.7446101164965,8.993312650604171,5.213259826346292,-12.511992211949124,log
5,5,-551.7446101164965,8.993312650604171,5.213259826346292,-10.34638595236923,log
6,6,-551.7446101164965,8.993312650604171,5.213259826346292,-10.861883006465876,log
7,7,-551.7446101164965,8.993312650604171,5.213259826346292,-12.146484369099946,log
8,8,-551.7446101164965,8.993312650604171,5.213259826346292,-9.037939009268486,log
9,9,-551.7446101164965,8.993312650604171,5.213259826346292,-10.211456223822507,log
10,10,-551.7446101164965,8.993312650604171,5.213259826346292,-13.047324750567993,log
11,11,-551.7446101164965,8.993312650604171,5.213259826346292,-12.726869829312555,log
12,12,-551.7446101164965,8.993312650604171,5.213259826346292,-10.434562979593506,log
13,13,-551.7446101164965,8.993312650604171,5.213259826346292,-10.602632540918624,log
14,14,-551.7446101164965,8.993312650604171,5.213259826346292,-10.33598722056915,log
15,15,-551.7446101164965,8.993312650604171,5.213259826346292,-10.996375681919535,log
16,16,-551.7446101164965,8.993312650604171,5.213259826346292,-10.351818413834085,log
17,17,-551.7446101164965,8.993312650604171,5.213259826346292,-12.251298605480935,log
18,18,-551.7446101164965,8.993312650604171,5.213259826346292,-13.09379395735908,log
19,19,-551.7446101164965,8.993312650604171,5.213259826346292,-10.196633089821423,log
20,20,-551.7446101164965,8.993312650604171,5.213259826346292,-10.820633780931633,log
21,21,-551.7446101164965,8.993312650604171,5.213259826346292,-11.932083488078305,log
22,22,-551.7446101164965,8.993312650604171,5.213259826346292,-12.299448371975329,log
23,23,-551.7446101164965,8.993312650604171,5.213259826346292,-9.571559074764465,log
24,24,-551.7446101164965,8.993312650604171,5.213259826346292,-10.339151147438749,log
25,25,-551.7446101164965,8.993312650604171,5.213259826346292,-9.52361414182576,log
26,26,-551.7446101164965,8.993312650604171,5.213259826346292,-9.243575356957656,log
27,27,-551.7446101164965,8.993312650604171,5.213259826346292,-13.838846217041946,log
28,28,-551.7446101164965,8.993312650604171,5.213259826346292,-9.420736688822954,log
29,29,-551.7446101164965,8.993312650604171,5.213259826346292,-12.546562076759741,log
30,30,-551.7446101164965,8.993312650604171,5.213259826346292,-12.16323831528499,log
31,31,-551.7446101164965,8.993312650604171,5.213259826346292,-12.670729990672484,log
32,32,-551.7446101164965,8.993312650604171,5.213259826346292,-11.857595025134122,log
33,33,-551.7446101164965,8.993312650604171,5.213259826346292,-11.78395937607093,log
34,34,-551.7446101164965,8.993312650604171,5.213259826346292,-9.651158656467986,log
35,35,-551.7446101164965,8.993312650604171,5.213259826346292,-11.447189543718956,log
36,36,-551.7446101164965,8.993312650604171,5.213259826346292,-13.910591800418745,log
37,37,-551.7446101164965,8.993312650604171,5.213259826346292,-14.496128952188467,log
38,38,-551.7446101164965,8.993312650604171,5.213259826346292,-11.238822085776443,log
39,39,-551.7446101164965,8.993312650604171,5.213259826346292,-10.762901306513774,log
40,40,-551.7446101164965,8.993312650604171,5.213259826346292,-10.841703673367395,log
41,41,-551.7446101164965,8.993312650604171,5.213259826346292,-10.93901527643358,log
42,42,-551.7446101164965,8.993312650604171,5.213259826346292,-10.634032093633538,log
43,43,-551.7446101164965,8.993312650604171,5.213259826346292,-11.332277476797245,log
44,44,-551.7446101164965,8.993312650604171,5.213259826346292,-10.142107320871792,log
45,45,-551.7446101164965,8.993312650604171,5.213259826346292,-11.310559672535613,log
46,46,-551.7446101164965,8.993312650604171,5.213259826346292,-11.051228839611175,log
47,47,-551.7446101164965,8.993312650604171,5.213259826346292,-10.43616652731174,log
48,48,-551.7446101164965,8.993312650604171,5.213259826346292,-9.921358668608347,log
